id,weight (female),weight (male),feed
1,136,179,Horsebean
2,217,160,Horsebean
3,108,227,Horsebean
4,124,168,Horsebean
5,140,143,Horsebean
6,229,309,Linseed
7,181,203,Linseed
8,141,169,Linseed
9,260,213,Linseed
10,148,257,Linseed
11,243,244,Linseed
12,250,271,Linseed
13,193,230,Soybean
14,271,248,Soybean
15,267,327,Soybean
16,171,329,Soybean
17,158,316,Soybean
18,340,199,Soybean
19,341,248,Sunflower
20,226,423,Sunflower
21,295,392,Sunflower
22,297,339,Sunflower
23,318,320,Sunflower
24,257,334,Sunflower
25,303,322,Meatmeal
26,315,325,Meatmeal
27,153,380,Meatmeal
28,206,263,Meatmeal
29,368,242,Meatmeal
30,379,344,Casein
31,318,258,Casein
32,352,390,Casein
33,216,260,Casein
34,222,404,Casein
35,250,359,Casein
36,295,283,Casein
37,307,332,Casein
