id,Artwork ID,Artist Last Name,Artist First Name,Artist ID,Artwork Title,Medium,Year Created,Acquisition,Acquisition Year,Image,Webpage
1,1048.0,Blake,William,39.0,Job’s Sons and Daughters Overwhelmed by Satan,Line engraving on paper,1825.0,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1919.0,http://www.tate.org.uk/art/images/work/A/A00/A00014_8.jpg,http://www.tate.org.uk/art/artworks/blake-jobs-sons-and-daughters-overwhelmed-by-satan-a00014
2,1049.0,Blake,William,39.0,The Messengers tell Job of his Misfortunes,Line engraving on paper,1825.0,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1919.0,http://www.tate.org.uk/art/images/work/A/A00/A00015_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-messengers-tell-job-of-his-misfortunes-a00015
3,1052.0,Blake,William,39.0,Job’s Comforters,Line engraving on paper,1825.0,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1919.0,http://www.tate.org.uk/art/images/work/A/A00/A00018_8.jpg,http://www.tate.org.uk/art/artworks/blake-jobs-comforters-a00018
4,1053.0,Blake,William,39.0,Job’s Despair,Line engraving on paper,1825.0,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the Art Fund 1919",1919.0,http://www.tate.org.uk/art/images/work/A/A00/A00019_8.jpg,http://www.tate.org.uk/art/artworks/blake-jobs-despair-a00019
5,1054.0,Blake,William,39.0,The Vision of Eliphaz,Line engraving on paper,1825.0,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1919.0,http://www.tate.org.uk/art/images/work/A/A00/A00020_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-vision-of-eliphaz-a00020
6,1057.0,Blake,William,39.0,The Wrath of Elihu,Line engraving on paper,1825.0,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1919.0,http://www.tate.org.uk/art/images/work/A/A00/A00023_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-wrath-of-elihu-a00023
7,1060.0,Blake,William,39.0,Behemoth and Leviathan,Line engraving on paper,1825.0,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1919.0,http://www.tate.org.uk/art/images/work/A/A00/A00026_8.jpg,http://www.tate.org.uk/art/artworks/blake-behemoth-and-leviathan-a00026
8,1061.0,Blake,William,39.0,The Fall of Satan,Line engraving on paper,1825.0,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1919.0,http://www.tate.org.uk/art/images/work/A/A00/A00027_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-fall-of-satan-a00027
9,1063.0,Blake,William,39.0,Job’s Sacrifice,Line engraving on paper,1825.0,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1919.0,http://www.tate.org.uk/art/images/work/A/A00/A00029_8.jpg,http://www.tate.org.uk/art/artworks/blake-jobs-sacrifice-a00029
10,1065.0,Blake,William,39.0,Job and his Daughters,Line engraving on paper,1825.0,"Purchased with the assistance of a special grant from the National Gallery and donations from the Art Fund, Lord Duveen and others, and presented through the the Art Fund 1919",1919.0,http://www.tate.org.uk/art/images/work/A/A00/A00031_8.jpg,http://www.tate.org.uk/art/artworks/blake-job-and-his-daughters-a00031
11,1080.0,Blake,William,39.0,The Crucifixion,Graphite on paper,1825.0,Presented by Mrs John Richmond 1922,1922.0,http://www.tate.org.uk/art/images/work/A/A00/A00046_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-crucifixion-a00046
