id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL
1,Gloomhaven,1.0,4.0,150.0,2017.0,"Action / Movement Programming, Co-operative Play, Grid Movement, Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Miniatures",Isaac Childres,https://boardgamegeek.com/boardgame/174430/gloomhaven
2,Pandemic Legacy: Season 1,2.0,4.0,60.0,2015.0,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Environmental, Medical","Rob Daviau, Matt Leacock",https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1
3,Through the Ages: A New Story of Civilization,2.0,4.0,240.0,2015.0,"Action Point Allowance System, Auction/Bidding, Card Drafting","Card Game, Civilization, Economic",Vlaada Chvátil,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization
4,Twilight Struggle,2.0,2.0,180.0,2005.0,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection","Modern Warfare, Political, Wargame","Ananda Gupta, Jason Matthews",https://boardgamegeek.com/boardgame/12333/twilight-struggle
5,Terraforming Mars,1.0,5.0,120.0,2016.0,"Card Drafting, Hand Management, Tile Placement, Variable Player Powers","Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",Jacob Fryxelius,https://boardgamegeek.com/boardgame/167791/terraforming-mars
6,Star Wars: Rebellion,2.0,4.0,240.0,2016.0,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Variable Player Powers","Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Corey Konieczka,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion
7,Terra Mystica,2.0,5.0,150.0,2012.0,"Area Control / Area Influence, Route/Network Building, Variable Phase Order, Variable Player Powers","Civilization, Economic, Fantasy, Territory Building","Jens Drögemüller, Helge Ostertag",https://boardgamegeek.com/boardgame/120677/terra-mystica
8,Scythe,1.0,5.0,115.0,2016.0,"Area Control / Area Influence, Grid Movement, Simultaneous Action Selection, Variable Player Powers","Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building",Jamey Stegmaier,https://boardgamegeek.com/boardgame/169786/scythe
9,7 Wonders Duel,2.0,2.0,30.0,2015.0,"Card Drafting, Set Collection","Ancient, Card Game, City Building, Civilization","Antoine Bauza, Bruno Cathala",https://boardgamegeek.com/boardgame/173346/7-wonders-duel
10,Great Western Trail,2.0,4.0,150.0,2016.0,"Deck / Pool Building, Hand Management, Point to Point Movement, Tile Placement",American West,Alexander Pfister,https://boardgamegeek.com/boardgame/193738/great-western-trail
11,The Castles of Burgundy,2.0,4.0,90.0,2011.0,"Dice Rolling, Set Collection, Tile Placement, Variable Phase Order","Dice, Medieval, Territory Building",Stefan Feld,https://boardgamegeek.com/boardgame/84876/castles-burgundy
