id,Year,Category,Nominee
1,1959.0,Album of the Year,The Music from Peter Gunn.
2,1959.0,Best Album Cover,Only the Lonely
3,1959.0,Best Arrangement,The Music From Peter Gunn
4,1959.0,Best Classical Performance - Chamber Music (including Chamber Orchestra),Beethoven: Quartet 130
5,1959.0,Best Classical Performance - Instrumentalist (other than Concerto Scale Accompaniment),Segovia Golden Jubilee
6,1959.0,Best Classical Performance - Instrumentalist (other than concerto-scale accompaniment),Segovia Golden Jubilee
7,1959.0,Best Classical Performance - Instrumentalist (with Concerto Scale Accompaniment),"Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23"
8,1959.0,Best Classical Performance - Operatic or Choral,Virtuoso
9,1959.0,Best Classical Performance - Orchestra,Gaiete Parisienne
10,1959.0,Best Classical Performance - Vocal Soloist (with or without Orchestra),Operatic Recital
11,1959.0,Best Comedy Performance,The Chipmunk Song
12,1959.0,Best Country & Western Performance,Tom Dooley
13,1959.0,Best Country and Western Performance,Tom Dooley.
14,1959.0,Best Engineered Record (Classical),Duets with a Spanish Guitar
15,1959.0,Best Engineered Record - Non-Classical,The Chipmunk Song
16,1959.0,Best Instrumental Arrangement,The Music from Peter Gunn.
17,1959.0,Best Instrumental Composition,Cross Country Suite.
18,1959.0,"Best Jazz Performance, Group",Basie.
19,1959.0,"Best Jazz Performance, Individual",Ella Fitzgerald Sings the Duke Ellington Songbook.
20,1959.0,Best Musical Composition First Recorded and Released in 1958 (over 5 minutes duration),Cross Country Suite
21,1959.0,Best Original Cast Album (Broadway or TV),The Music Man
22,1959.0,Best Performance by a Dance Band,Basie
23,1959.0,Best Performance by a Vocal Group or Chorus,That Old Black Magic
24,1959.0,Best Performance by an Orchestra - for Other Than Dancing,Billy May's Big Fat Brass
25,1959.0,"Best Performance, Documentary or Spoken Word",The Best Of The Stan Freberg Shows
26,1959.0,Best R&B Vocal Performance by a Duo or Group,Tequila
27,1959.0,Best Recording for Children,The Chipmunk Song (Christmas Don't Be Late)
28,1959.0,Best Rhythm & Blues Performance,Tequila
29,1959.0,"Best Sound Track Album, Dramatic Picture Score or Original Cast",Gigi
30,1959.0,"Best Soundtrack Album, Dramatic Picture Score or Original Cast",Gigi
