id,Year,Category,Nominee
1,1975.0,Actor,Jack Nicholson
2,1975.0,Actor in a Supporting Role,George Burns
3,1975.0,Actress,Louise Fletcher
4,1975.0,Actress in a Supporting Role,Lee Grant
5,1975.0,Art Direction,Barry Lyndon
6,1975.0,Cinematography,Barry Lyndon
7,1975.0,Costume Design,Barry Lyndon
8,1975.0,Directing,One Flew over the Cuckoo's Nest
9,1975.0,Documentary (Feature),The Man Who Skied down Everest
10,1975.0,Documentary (Short Subject),The End of the Game
11,1975.0,Film Editing,Jaws
12,1975.0,Foreign Language Film,Dersu Uzala
13,1975.0,Music (Original Score),Jaws
14,1975.0,Music (Scoring: Original Song Score and Adaptation -Or- Scoring: Adaptation),Barry Lyndon
15,1975.0,Music (Original Song),"""I'm Easy"" from Nashville"
16,1975.0,Best Picture,One Flew over the Cuckoo's Nest
17,1975.0,Short Film (Animated),Great
18,1975.0,Short Film (Live Action),Angel and Big Joe
19,1975.0,Sound,Jaws
20,1975.0,Writing (Original Screenplay),Dog Day Afternoon
21,1975.0,Writing (Screenplay Adapted from Other Material),One Flew over the Cuckoo's Nest
22,1975.0,Special Achievement Award (Sound Effects),The Hindenburg
23,1975.0,Special Achievement Award (Visual Effects),The Hindenburg
24,1975.0,Jean Hersholt Humanitarian Award,Dr. Jules C. Stein
25,1975.0,Honorary Award,Mary Pickford
26,1975.0,Irving G. Thalberg Memorial Award,Mervyn LeRoy
27,1976.0,Actor in a Leading Role,Peter Finch
28,1976.0,Actor in a Supporting Role,Jason Robards
29,1976.0,Actress in a Leading Role,Faye Dunaway
30,1976.0,Actress in a Supporting Role,Beatrice Straight
31,1976.0,Art Direction,All the President's Men
32,1976.0,Cinematography,Bound for Glory
33,1976.0,Costume Design,Fellini's Casanova
34,1976.0,Directing,Rocky
35,1976.0,Documentary (Feature),"Harlan County, U.S.A. "
36,1976.0,Documentary (Short Subject),Number Our Days
37,1976.0,Film Editing,Rocky
38,1976.0,Foreign Language Film,Black and White in Color
39,1976.0,Music (Original Score),The Omen
40,1976.0,Music (Original Song Score and Its Adaptation or Adaptation Score),Bound for Glory
41,1976.0,Music (Original Song),"""Evergreen (Love Theme From A Star Is Born)"" from A Star Is Born"
42,1976.0,Best Picture,Rocky
43,1976.0,Short Film (Animated),Leisure
44,1976.0,Short Film (Live Action),In the Region of Ice
45,1976.0,Sound,All the President's Men
46,1976.0,"Writing (Screenplay, Based on Material from Another Medium)",All the President's Men
47,1976.0,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",Network
48,1976.0,Special Achievement Award (Visual Effects),King Kong
49,1976.0,Special Achievement Award (Visual Effects),Logan's Run
50,1976.0,Irving G. Thalberg Memorial Award,Pandro S. Berman
51,1977.0,Actor in a Leading Role,Richard Dreyfuss
52,1977.0,Actor in a Supporting Role,Jason Robards
53,1977.0,Actress in a Leading Role,Diane Keaton
54,1977.0,Actress in a Supporting Role,Vanessa Redgrave
55,1977.0,Art Direction,Star Wars
56,1977.0,Cinematography,Close Encounters of the Third Kind
57,1977.0,Costume Design,Star Wars
58,1977.0,Directing,Annie Hall
59,1977.0,Documentary (Feature),Who Are the DeBolts? And Where Did They Get Nineteen Kids?
60,1977.0,Documentary (Short Subject),Gravity Is My Enemy
61,1977.0,Film Editing,Star Wars
62,1977.0,Foreign Language Film,Madame Rosa
63,1977.0,Music (Original Score),Star Wars
64,1977.0,Music (Original Song Score and Its Adaptation or Adaptation Score),A Little Night Music
65,1977.0,Music (Original Song),"""You Light Up My Life"" from You Light Up My Life"
66,1977.0,Best Picture,Annie Hall
67,1977.0,Short Film (Animated),The Sand Castle
68,1977.0,Short Film (Live Action),I'll Find a Way
69,1977.0,Sound,Star Wars
70,1977.0,Visual Effects,Star Wars
71,1977.0,"Writing (Screenplay, Based on Material from Another Medium)",Julia
72,1977.0,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",Annie Hall
73,1977.0,Special Achievement Award,"Benjamin Burtt, Jr."
74,1977.0,Special Achievement Award (Sound Effects Editing),Close Encounters of the Third Kind
75,1977.0,Jean Hersholt Humanitarian Award,Charlton Heston
76,1977.0,Honorary Award,Margaret Booth
77,1977.0,Irving G. Thalberg Memorial Award,Walter Mirisch
78,1977.0,Medal of Commendation,Gordon E. Sawyer
79,1977.0,Medal of Commendation,Sidney Paul Solow
80,1978.0,Actor in a Leading Role,Jon Voight
81,1978.0,Actor in a Supporting Role,Christopher Walken
82,1978.0,Actress in a Leading Role,Jane Fonda
83,1978.0,Actress in a Supporting Role,Maggie Smith
84,1978.0,Art Direction,Heaven Can Wait
85,1978.0,Cinematography,Days of Heaven
86,1978.0,Costume Design,Death on the Nile
87,1978.0,Directing,The Deer Hunter
88,1978.0,Documentary (Feature),Scared Straight!
89,1978.0,Documentary (Short Subject),The Flight of the Gossamer Condor
90,1978.0,Film Editing,The Deer Hunter
91,1978.0,Foreign Language Film,Get Out Your Handkerchiefs
92,1978.0,Music (Adaptation Score),The Buddy Holly Story
93,1978.0,Music (Original Score),Midnight Express
94,1978.0,Music (Original Song),"""Last Dance"" from Thank God It's Friday"
95,1978.0,Best Picture,The Deer Hunter
96,1978.0,Short Film (Animated),Special Delivery
97,1978.0,Short Film (Live Action),Teenage Father
98,1978.0,Sound,The Deer Hunter
99,1978.0,Writing (Screenplay Based on Material from Another Medium),Midnight Express
100,1978.0,Writing (Screenplay Written Directly for the Screen),Coming Home
101,1978.0,Special Achievement Award (Visual Effects),Superman
102,1978.0,Jean Hersholt Humanitarian Award,Leo Jaffe
103,1978.0,Honorary Award,Walter Lantz
104,1978.0,Honorary Award,The Museum of Modern Art Department of Film
105,1978.0,Honorary Award,Laurence Olivier
106,1978.0,Honorary Award,King Vidor
107,1978.0,Medal of Commendation,Linwood G. Dunn
108,1978.0,Medal of Commendation,Loren L. Ryder
109,1978.0,Medal of Commendation,Waldon O. Watson
110,1979.0,Actor in a Leading Role,Dustin Hoffman
111,1979.0,Actor in a Supporting Role,Melvyn Douglas
112,1979.0,Actress in a Leading Role,Sally Field
113,1979.0,Actress in a Supporting Role,Meryl Streep
114,1979.0,Art Direction,All That Jazz
115,1979.0,Cinematography,Apocalypse Now
116,1979.0,Costume Design,All That Jazz
117,1979.0,Directing,Kramer vs. Kramer
118,1979.0,Documentary (Feature),Best Boy
119,1979.0,Documentary (Short Subject),Paul Robeson: Tribute to an Artist
120,1979.0,Film Editing,All That Jazz
121,1979.0,Foreign Language Film,The Tin Drum
122,1979.0,Music (Original Score),A Little Romance
123,1979.0,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),All That Jazz
124,1979.0,Music (Original Song),"""It Goes Like It Goes"" from Norma Rae"
125,1979.0,Best Picture,Kramer vs. Kramer
126,1979.0,Short Film (Animated),Every Child
127,1979.0,Short Film (Live Action),Board and Care
128,1979.0,Sound,Apocalypse Now
129,1979.0,Visual Effects,Alien
130,1979.0,Writing (Screenplay Based on Material from Another Medium),Kramer vs. Kramer
131,1979.0,Writing (Screenplay Written Directly for the Screen),Breaking Away
132,1979.0,Special Achievement Award (Sound Editing),The Black Stallion
133,1979.0,Jean Hersholt Humanitarian Award,Robert Benjamin
134,1979.0,Honorary Award,Alec Guinness
135,1979.0,Honorary Award,Hal Elias
136,1979.0,Irving G. Thalberg Memorial Award,Ray Stark
137,1979.0,Medal of Commendation,John O. Aalberg
138,1979.0,Medal of Commendation,Charles G. Clarke
139,1979.0,Medal of Commendation,John G. Frayne
140,1980.0,Actor in a Leading Role,Robert De Niro
141,1980.0,Actor in a Supporting Role,Timothy Hutton
142,1980.0,Actress in a Leading Role,Sissy Spacek
143,1980.0,Actress in a Supporting Role,Mary Steenburgen
144,1980.0,Art Direction,Tess
145,1980.0,Cinematography,Tess
146,1980.0,Costume Design,Tess
147,1980.0,Directing,Ordinary People
148,1980.0,Documentary (Feature),From Mao to Mozart: Isaac Stern in China
149,1980.0,Documentary (Short Subject),Karl Hess: Toward Liberty
150,1980.0,Film Editing,Raging Bull
151,1980.0,Foreign Language Film,Moscow Does Not Believe in Tears
152,1980.0,Music (Original Score),Fame
153,1980.0,Music (Original Song),"""Fame"" from Fame"
154,1980.0,Best Picture,Ordinary People
155,1980.0,Short Film (Animated),The Fly
156,1980.0,Short Film (Dramatic Live Action),The Dollar Bottom
157,1980.0,Sound,The Empire Strikes Back
158,1980.0,Writing (Screenplay Based on Material from Another Medium),Ordinary People
159,1980.0,Writing (Screenplay Written Directly for the Screen),Melvin and Howard
160,1980.0,Special Achievement Award (Visual Effects),The Empire Strikes Back
161,1980.0,Honorary Award,Henry Fonda
162,1980.0,Medal of Commendation,Fred Hynes
163,1981.0,Actor in a Leading Role,Henry Fonda
164,1981.0,Actor in a Supporting Role,John Gielgud
165,1981.0,Actress in a Leading Role,Katharine Hepburn
166,1981.0,Actress in a Supporting Role,Maureen Stapleton
167,1981.0,Art Direction,Raiders of the Lost Ark
168,1981.0,Cinematography,Reds
169,1981.0,Costume Design,Chariots of Fire
170,1981.0,Directing,Reds
171,1981.0,Documentary (Feature),Genocide
172,1981.0,Documentary (Short Subject),Close Harmony
173,1981.0,Film Editing,Raiders of the Lost Ark
174,1981.0,Foreign Language Film,Mephisto
175,1981.0,Makeup,An American Werewolf in London
176,1981.0,Music (Original Score),Chariots of Fire
177,1981.0,Music (Original Song),"""Arthur's Theme (Best That You Can Do)"" from Arthur"
178,1981.0,Best Picture,Chariots of Fire
179,1981.0,Short Film (Animated),Crac
180,1981.0,Short Film (Live Action),Violet
181,1981.0,Sound,Raiders of the Lost Ark
182,1981.0,Visual Effects,Raiders of the Lost Ark
183,1981.0,Writing (Screenplay Based on Material from Another Medium),On Golden Pond
184,1981.0,Writing (Screenplay Written Directly for the Screen),Chariots of Fire
185,1981.0,Special Achievement Award (Sound Effects Editing),Raiders of the Lost Ark
186,1981.0,Jean Hersholt Humanitarian Award,Danny Kaye
187,1981.0,Honorary Award,Barbara Stanwyck
188,1981.0,Irving G. Thalberg Memorial Award,Albert R. Broccoli
189,1981.0,Gordon E. Sawyer Award,Joseph B. Walker
190,1982.0,Actor in a Leading Role,Ben Kingsley
191,1982.0,Actor in a Supporting Role,"Louis Gossett, Jr."
192,1982.0,Actress in a Leading Role,Meryl Streep
193,1982.0,Actress in a Supporting Role,Jessica Lange
194,1982.0,Art Direction,Gandhi
195,1982.0,Cinematography,Gandhi
196,1982.0,Costume Design,Gandhi
197,1982.0,Directing,Gandhi
198,1982.0,Documentary (Feature),Just Another Missing Kid
199,1982.0,Documentary (Short Subject),If You Love This Planet
200,1982.0,Film Editing,Gandhi
201,1982.0,Foreign Language Film,Volver a Empezar ('To Begin Again')
202,1982.0,Makeup,Quest for Fire
203,1982.0,Music (Original Score),E.T. The Extra-Terrestrial
204,1982.0,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),Victor/Victoria
205,1982.0,Music (Original Song),"""Up Where We Belong"" from An Officer and a Gentleman"
206,1982.0,Best Picture,Gandhi
207,1982.0,Short Film (Animated),Tango
208,1982.0,Short Film (Live Action),A Shocking Accident
209,1982.0,Sound,E.T. The Extra-Terrestrial
210,1982.0,Sound Effects Editing,E.T. The Extra-Terrestrial
211,1982.0,Visual Effects,E.T. The Extra-Terrestrial
212,1982.0,Writing (Screenplay Based on Material from Another Medium),Missing
213,1982.0,Writing (Screenplay Written Directly for the Screen),Gandhi
214,1982.0,Jean Hersholt Humanitarian Award,Walter Mirisch
215,1982.0,Honorary Award,Mickey Rooney
216,1982.0,Gordon E. Sawyer Award,John O. Aalberg
217,1983.0,Actor in a Leading Role,Robert Duvall
218,1983.0,Actor in a Supporting Role,Jack Nicholson
219,1983.0,Actress in a Leading Role,Shirley MacLaine
220,1983.0,Actress in a Supporting Role,Linda Hunt
221,1983.0,Art Direction,Fanny & Alexander
222,1983.0,Cinematography,Fanny & Alexander
223,1983.0,Costume Design,Fanny & Alexander
224,1983.0,Directing,Terms of Endearment
225,1983.0,Documentary (Feature),He Makes Me Feel Like Dancin'
226,1983.0,Documentary (Short Subject),Flamenco at 5:15
227,1983.0,Film Editing,The Right Stuff
228,1983.0,Foreign Language Film,Fanny & Alexander
229,1983.0,Music (Original Score),The Right Stuff
230,1983.0,Music (Original Song Score or Adaptation Score),Yentl
231,1983.0,Music (Original Song),"""Flashdance...What A Feeling"" from Flashdance"
232,1983.0,Best Picture,Terms of Endearment
233,1983.0,Short Film (Animated),Sundae in New York
234,1983.0,Short Film (Live Action),Boys and Girls
235,1983.0,Sound,The Right Stuff
236,1983.0,Sound Effects Editing,The Right Stuff
237,1983.0,Writing (Screenplay Based on Material from Another Medium),Terms of Endearment
238,1983.0,Writing (Screenplay Written Directly for the Screen),Tender Mercies
239,1983.0,Special Achievement Award (Visual Effects),Return of the Jedi
240,1983.0,Jean Hersholt Humanitarian Award,M. J. Frankovich
241,1983.0,Honorary Award,Hal Roach
242,1983.0,Gordon E. Sawyer Award,Dr. John G. Frayne
243,1984.0,Actor in a Leading Role,F. Murray Abraham
244,1984.0,Actor in a Supporting Role,Haing S. Ngor
245,1984.0,Actress in a Leading Role,Sally Field
246,1984.0,Actress in a Supporting Role,Peggy Ashcroft
247,1984.0,Art Direction,Amadeus
248,1984.0,Cinematography,The Killing Fields
249,1984.0,Costume Design,Amadeus
250,1984.0,Directing,Amadeus
251,1984.0,Documentary (Feature),The Times of Harvey Milk
252,1984.0,Documentary (Short Subject),The Stone Carvers
253,1984.0,Film Editing,The Killing Fields
254,1984.0,Foreign Language Film,Dangerous Moves
255,1984.0,Makeup,Amadeus
256,1984.0,Music (Original Score),A Passage to India
257,1984.0,Music (Original Song Score),Purple Rain
258,1984.0,Music (Original Song),"""I Just Called To Say I Love You"" from The Woman in Red"
259,1984.0,Best Picture,Amadeus
260,1984.0,Short Film (Animated),Charade
261,1984.0,Short Film (Live Action),Up
262,1984.0,Sound,Amadeus
263,1984.0,Visual Effects,Indiana Jones and the Temple of Doom
264,1984.0,Writing (Screenplay Based on Material from Another Medium),Amadeus
265,1984.0,Writing (Screenplay Written Directly for the Screen),Places in the Heart
266,1984.0,Special Achievement Award (Sound Effects Editing),The River
267,1984.0,Jean Hersholt Humanitarian Award,David L. Wolper
268,1984.0,Honorary Award,James Stewart
269,1984.0,Honorary Award,The National Endowment for the Arts
270,1984.0,Gordon E. Sawyer Award,Linwood G. Dunn
271,1985.0,Actor in a Leading Role,William Hurt
272,1985.0,Actor in a Supporting Role,Don Ameche
273,1985.0,Actress in a Leading Role,Geraldine Page
274,1985.0,Actress in a Supporting Role,Anjelica Huston
275,1985.0,Art Direction,Out of Africa
276,1985.0,Cinematography,Out of Africa
277,1985.0,Costume Design,Ran
278,1985.0,Directing,Out of Africa
279,1985.0,Documentary (Feature),Broken Rainbow
280,1985.0,Documentary (Short Subject),Witness to War: Dr. Charlie Clements
281,1985.0,Film Editing,Witness
282,1985.0,Foreign Language Film,The Official Story
283,1985.0,Makeup,Mask
284,1985.0,Music (Original Score),Out of Africa
285,1985.0,Music (Original Song),"""Say You, Say Me"" from White Nights"
286,1985.0,Best Picture,Out of Africa
287,1985.0,Short Film (Animated),Anna & Bella
288,1985.0,Short Film (Live Action),Molly's Pilgrim
289,1985.0,Sound,Out of Africa
290,1985.0,Sound Effects Editing,Back to the Future
291,1985.0,Visual Effects,Cocoon
292,1985.0,Writing (Screenplay Based on Material from Another Medium),Out of Africa
293,1985.0,Writing (Screenplay Written Directly for the Screen),Witness
294,1985.0,Jean Hersholt Humanitarian Award,Charles 'Buddy' Rogers
295,1985.0,Honorary Award,Paul Newman
296,1985.0,Honorary Award,Alex North
297,1985.0,Medal of Commendation,"John H. Whitney, Sr."
298,1986.0,Actor in a Leading Role,Paul Newman
299,1986.0,Actor in a Supporting Role,Michael Caine
300,1986.0,Actress in a Leading Role,Marlee Matlin
301,1986.0,Actress in a Supporting Role,Dianne Wiest
302,1986.0,Art Direction,A Room with a View
303,1986.0,Cinematography,The Mission
304,1986.0,Costume Design,A Room with a View
305,1986.0,Directing,Platoon
306,1986.0,Documentary (Feature),Artie Shaw: Time Is All You've Got
307,1986.0,Documentary (Feature),Down and Out in America
308,1986.0,Documentary (Short Subject),"Women--for America, for the World "
309,1986.0,Film Editing,Platoon
310,1986.0,Foreign Language Film,The Assault
311,1986.0,Makeup,The Fly
312,1986.0,Music (Original Score),Round Midnight
313,1986.0,Music (Original Song),"""Take My Breath Away"" from Top Gun"
314,1986.0,Best Picture,Platoon
315,1986.0,Short Film (Animated),A Greek Tragedy
316,1986.0,Short Film (Live Action),Precious Images
317,1986.0,Sound,Platoon
318,1986.0,Sound Effects Editing,Aliens
319,1986.0,Visual Effects,Aliens
320,1986.0,Writing (Screenplay Based on Material from Another Medium),A Room with a View
321,1986.0,Writing (Screenplay Written Directly for the Screen),Hannah and Her Sisters
322,1986.0,Honorary Award,Ralph Bellamy
323,1986.0,Irving G. Thalberg Memorial Award,Steven Spielberg
324,1986.0,Medal of Commendation,E. M. (Al) Lewis
325,1987.0,Actor in a Leading Role,Michael Douglas
326,1987.0,Actor in a Supporting Role,Sean Connery
327,1987.0,Actress in a Leading Role,Cher
328,1987.0,Actress in a Supporting Role,Olympia Dukakis
329,1987.0,Art Direction,The Last Emperor
330,1987.0,Cinematography,The Last Emperor
331,1987.0,Costume Design,The Last Emperor
332,1987.0,Directing,The Last Emperor
333,1987.0,Documentary (Feature),The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table
334,1987.0,Documentary (Short Subject),Young at Heart
335,1987.0,Film Editing,The Last Emperor
336,1987.0,Foreign Language Film,Babette's Feast
337,1987.0,Makeup,Harry and the Hendersons
338,1987.0,Music (Original Score),The Last Emperor
339,1987.0,Music (Original Song),"""(I've Had) The Time Of My Life"" from Dirty Dancing"
340,1987.0,Best Picture,The Last Emperor
341,1987.0,Short Film (Animated),The Man Who Planted Trees
342,1987.0,Short Film (Live Action),Ray's Male Heterosexual Dance Hall
343,1987.0,Sound,The Last Emperor
344,1987.0,Visual Effects,Innerspace
345,1987.0,Writing (Screenplay Based on Material from Another Medium),The Last Emperor
346,1987.0,Writing (Screenplay Written Directly for the Screen),Moonstruck
347,1987.0,Special Achievement Award (Sound Effects Editing),RoboCop
348,1987.0,Irving G. Thalberg Memorial Award,Billy Wilder
349,1987.0,Gordon E. Sawyer Award,Fred Hynes
350,1988.0,Actor in a Leading Role,Dustin Hoffman
351,1988.0,Actor in a Supporting Role,Kevin Kline
352,1988.0,Actress in a Leading Role,Jodie Foster
353,1988.0,Actress in a Supporting Role,Geena Davis
354,1988.0,Art Direction,Dangerous Liaisons
355,1988.0,Cinematography,Mississippi Burning
356,1988.0,Costume Design,Dangerous Liaisons
357,1988.0,Directing,Rain Man
358,1988.0,Documentary (Feature),Hotel Terminus: The Life and Times of Klaus Barbie
359,1988.0,Documentary (Short Subject),You Don't Have to Die
360,1988.0,Film Editing,Who Framed Roger Rabbit
361,1988.0,Foreign Language Film,Pelle the Conqueror
362,1988.0,Makeup,Beetlejuice
363,1988.0,Music (Original Score),The Milagro Beanfield War
364,1988.0,Music (Original Song),"""Let The River Run"" from Working Girl"
365,1988.0,Best Picture,Rain Man
366,1988.0,Short Film (Animated),Tin Toy
367,1988.0,Short Film (Live Action),The Appointments of Dennis Jennings
368,1988.0,Sound,Bird
369,1988.0,Sound Effects Editing,Who Framed Roger Rabbit
370,1988.0,Visual Effects,Who Framed Roger Rabbit
371,1988.0,Writing (Screenplay Based on Material from Another Medium),Dangerous Liaisons
372,1988.0,Writing (Screenplay Written Directly for the Screen),Rain Man
373,1988.0,Special Achievement Award,Richard Williams
374,1988.0,Honorary Award,The National Film Board of Canada
375,1988.0,Honorary Award,Eastman Kodak Company
376,1988.0,Gordon E. Sawyer Award,Gordon Henry Cook
377,1989.0,Actor in a Leading Role,Daniel Day Lewis
378,1989.0,Actor in a Supporting Role,Denzel Washington
379,1989.0,Actress in a Leading Role,Jessica Tandy
380,1989.0,Actress in a Supporting Role,Brenda Fricker
381,1989.0,Art Direction,Batman
382,1989.0,Cinematography,Glory
383,1989.0,Costume Design,Henry V
384,1989.0,Directing,Born on the Fourth of July
385,1989.0,Documentary (Feature),Common Threads: Stories from the Quilt
386,1989.0,Documentary (Short Subject),The Johnstown Flood
387,1989.0,Film Editing,Born on the Fourth of July
388,1989.0,Foreign Language Film,Cinema Paradiso
389,1989.0,Makeup,Driving Miss Daisy
390,1989.0,Music (Original Score),The Little Mermaid
391,1989.0,Music (Original Song),"""Under The Sea"" from The Little Mermaid"
392,1989.0,Best Picture,Driving Miss Daisy
393,1989.0,Short Film (Animated),Balance
394,1989.0,Short Film (Live Action),Work Experience
395,1989.0,Sound,Glory
396,1989.0,Sound Effects Editing,Indiana Jones and the Last Crusade
397,1989.0,Visual Effects,The Abyss
398,1989.0,Writing (Screenplay Based on Material from Another Medium),Driving Miss Daisy
399,1989.0,Writing (Screenplay Written Directly for the Screen),Dead Poets Society
400,1989.0,Jean Hersholt Humanitarian Award,Howard W. Koch
401,1989.0,Honorary Award,Akira Kurosawa
402,1989.0,Gordon E. Sawyer Award,Pierre Angenieux
403,1989.0,Award of Commendation,The Academy of Motion Picture Arts and Sciences' Board of Governors
404,1990.0,Actor in a Leading Role,Jeremy Irons
405,1990.0,Actor in a Supporting Role,Joe Pesci
406,1990.0,Actress in a Leading Role,Kathy Bates
407,1990.0,Actress in a Supporting Role,Whoopi Goldberg
408,1990.0,Art Direction,Dick Tracy
409,1990.0,Cinematography,Dances With Wolves
410,1990.0,Costume Design,Cyrano de Bergerac
411,1990.0,Directing,Dances With Wolves
412,1990.0,Documentary (Feature),American Dream
413,1990.0,Documentary (Short Subject),Days of Waiting
414,1990.0,Film Editing,Dances With Wolves
415,1990.0,Foreign Language Film,Journey of Hope
416,1990.0,Makeup,Dick Tracy
417,1990.0,Music (Original Score),Dances With Wolves
418,1990.0,Music (Original Song),"""Sooner Or Later (I Always Get My Man)"" from Dick Tracy"
419,1990.0,Best Picture,Dances With Wolves
420,1990.0,Short Film (Animated),Creature Comforts
421,1990.0,Short Film (Live Action),The Lunch Date
422,1990.0,Sound,Dances With Wolves
423,1990.0,Sound Effects Editing,The Hunt for Red October
424,1990.0,Writing (Screenplay Based on Material from Another Medium),Dances With Wolves
425,1990.0,Writing (Screenplay Written Directly for the Screen),Ghost
426,1990.0,Special Achievement Award (Visual Effects),Total Recall
427,1990.0,Honorary Award,Sophia Loren
428,1990.0,Honorary Award,Myrna Loy
429,1990.0,Irving G. Thalberg Memorial Award,David Brown and Richard D. Zanuck
430,1990.0,Gordon E. Sawyer Award,Stefan Kudelski
431,1990.0,Medal of Commendation,Roderick T. Ryan
432,1990.0,Medal of Commendation,Don Trumbull
433,1990.0,Medal of Commendation,Geoffrey H. Williamson
434,1991.0,Actor in a Leading Role,Anthony Hopkins
435,1991.0,Actor in a Supporting Role,Jack Palance
436,1991.0,Actress in a Leading Role,Jodie Foster
437,1991.0,Actress in a Supporting Role,Mercedes Ruehl
438,1991.0,Art Direction,Bugsy
439,1991.0,Cinematography,JFK
440,1991.0,Costume Design,Bugsy
441,1991.0,Directing,The Silence of the Lambs
442,1991.0,Documentary (Feature),In the Shadow of the Stars
443,1991.0,Documentary (Short Subject),"Deadly Deception: General Electric, Nuclear Weapons and Our Environment "
444,1991.0,Film Editing,JFK
445,1991.0,Foreign Language Film,Mediterraneo
446,1991.0,Makeup,Terminator 2: Judgment Day
447,1991.0,Music (Original Score),Beauty and the Beast
