Player,Tier,LP,Level,Win Ratio,Kills/Deaths/Assists
jianhun,Challenger,1170,53,156-112,4/33/11
TES 77,Challenger,1134,60,209-161,4/33/11
Shadow BongBong,Challenger,1121,241,312-253,4/33/11
KING MIR,Challenger,1084,654,406-355,4/33/11
FLY Yuuji,Challenger,1491,221,239-192,4/33/11
Topo,Challenger,1373,852,156-106,4/33/11
Rose Thorn,Challenger,1324,465,161-108,4/33/11
The Tank Man,Challenger,1250,513,401-371,4/33/11
MrBrobo,Challenger,1196,531,182-136,4/33/11
ScaryyJerrr,Grandmaster,761,159,169-128,4/33/11
tommytomato52,Grandmaster,755,185,122-93,4/33/11
Dragowski,Grandmaster,753,124,185-166,4/33/11
HeartBroken,Grandmaster,740,276,102-81,4/33/11
5word,Grandmaster,736,145,102-82,4/33/11
AMERICAS CHAMP,Grandmaster,722,393,184-161,4/33/11
Winter Day,Grandmaster,705,507,191-167,4/33/11
Starbucks WiFi,Grandmaster,686,585,239-172,4/33/11
Shiba Inu,Grandmaster,676,634,320-307,4/33/11
Options,Grandmaster,662,435,82-58,4/33/11
play better ,Grandmaster,474,847,134-117,4/33/11
Yetzu,Grandmaster,473,686,159-142,4/33/11
Yoshi,Grandmaster,468,468,100-92,4/33/11
corgi dorgi,Grandmaster,464,443,138-126,4/33/11
Seven,Grandmaster,385,483,234-192,4/33/11
Baby Song,Grandmaster,382,155,157-132,4/33/11
SeoRiWom,Grandmaster,362,52,137-108,4/33/11
Canna00,Master,358,481,159-126,4/33/11
Enosh,Master,333,368,413-393,4/33/11
Love rainy days,Master,299,161,90-77,4/33/11
elole,Master,293,260,187-167,4/33/11
Imagine Legends,Master,291,320,184-155,4/33/11
Elderwood,Master,289,439,299-284,4/33/11
uglyOvO,Master,284,56,117-103,4/33/11
qezc,Master,283,92,192-167,4/33/11
FEMALE CHEETAH,Master,277,79,203-161,4/33/11
Arrest Lux,Master,260,538,382-361,4/33/11
who do you love,Master,253,122,180-156,4/33/11
rui zai,Master,252,86,304-265,4/33/11
Violet Aurora,Diamond 1,100,618,169-171,4/33/11
Falling In loves,Diamond 1,100,189,314-304,4/33/11
Carrot,Diamond 1,100,283,140-95,4/33/11
chan sae EE,Diamond 1,100,580,240-237,4/33/11
LAY COLOR,Diamond 1,100,107,89-47,4/33/11
Doctor23,Diamond1,96,354,111-78,4/33/11
