id,Crop Code,Crop,2000 Yield,2001 Yield,2002 Yield,2003 Yield,2004 Yield,2005 Yield,2006 Yield,2007 Yield,2008 Yield,2009 Yield,2010 Yield,2011 Yield,2012 Yield,2013 Yield,2014 Yield,2015 Yield,2016 Yield,2017 Yield,2018 Yield
1,221.0,"Almonds, with shell",26342.0,28402.0,36275.0,35325.0,34074.0,29969.0,36049.0,46830.0,51238.0,39887.0,45371.0,56883.0,49871.0,50375.0,43897.0,34998.0,35061.0,35422.0,42450.0
2,515.0,Apples,273483.0,258045.0,241996.0,253215.0,305621.0,293587.0,305857.0,290344.0,309247.0,314830.0,309087.0,319842.0,309933.0,362135.0,416171.0,347767.0,391856.0,394569.0,394802.0
3,526.0,Apricots,106579.0,95477.0,116406.0,132242.0,152752.0,131308.0,76408.0,156767.0,146953.0,124732.0,122471.0,126072.0,120089.0,126099.0,134508.0,97072.0,130584.0,90613.0,83636.0
4,366.0,Artichokes,128933.0,140000.0,128825.0,157113.0,123092.0,123188.0,96761.0,123136.0,145758.0,140115.0,134674.0,151299.0,162847.0,151568.0,145932.0,151418.0,162618.0,145697.0,162543.0
5,367.0,Asparagus,32901.0,33202.0,31723.0,35616.0,37581.0,34876.0,29914.0,38416.0,33139.0,34501.0,31986.0,34294.0,33711.0,34874.0,34995.0,36390.0,36050.0,35855.0,40387.0
6,572.0,Avocados,82247.0,77450.0,68087.0,78207.0,58564.0,103595.0,84967.0,65052.0,35704.0,100978.0,65208.0,84676.0,95398.0,67067.0,75023.0,86599.0,53635.0,72365.0,77638.0
7,486.0,Bananas,222572.0,210630.0,168587.0,187747.0,185926.0,238791.0,190370.0,220760.0,177303.0,188539.0,181438.0,194889.0,181845.0,181923.0,187701.0,161994.0,115204.0,158413.0,163756.0
8,44.0,Barley,32881.0,31267.0,29609.0,31673.0,37429.0,34873.0,32846.0,32279.0,34072.0,39150.0,39339.0,37160.0,35986.0,38358.0,39115.0,37083.0,41931.0,39283.0,41637.0
9,176.0,"Beans, dry",18404.0,17584.0,19538.0,18717.0,16404.0,19512.0,17677.0,19387.0,19822.0,19429.0,19343.0,19089.0,21168.0,20927.0,19655.0,19729.0,20648.0,19927.0,20843.0
10,414.0,"Beans, green",53643.0,59423.0,57173.0,58921.0,57696.0,61172.0,55454.0,30258.0,28786.0,30989.0,32877.0,31766.0,41585.0,37669.0,40712.0,47282.0,33480.0,31221.0,32175.0
11,558.0,Berries nes,76896.0,73157.0,76474.0,70523.0,82281.0,81628.0,67894.0,103339.0,75624.0,81901.0,81098.0,81317.0,81469.0,81872.0,81690.0,81741.0,81390.0,81658.0,81926.0
12,552.0,Blueberries,51253.0,53454.0,51417.0,50511.0,57218.0,54627.0,58488.0,60266.0,64649.0,64994.0,66220.0,67778.0,68621.0,75180.0,76537.0,69881.0,71697.0,69274.0,70655.0
