id,State Name,Code Name,Nickname,Website,Admission Year,Admission Number,Capital,Capital Website,Population,Population Rank,Constitution,State Flag,State Seal,Map,Landscape Background,Skyline Background,Area,Median Household Income,Percent in Poverty,Percent of Adult College Graduates
1,Alabama,AL,Yellowhammer State,http://www.alabama.gov,1819.0,22.0,Montgomery,http://www.montgomeryal.gov,4833722.0,23.0,http://alisondb.legislature.state.al.us/alison/default.aspx,https://cdn.civil.services/us-states/flags/alabama-large.png,https://cdn.civil.services/us-states/seals/alabama-large.png,https://cdn.civil.services/us-states/maps/alabama-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/alabama.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/alabama.jpg,52420.0,46472.0,16.0,24.5
2,Alaska,AK,The Last Frontier,http://alaska.gov,1959.0,49.0,Juneau,http://www.juneau.org,735132.0,47.0,http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/acontxt/query=*/doc/{t1}?,https://cdn.civil.services/us-states/flags/alaska-large.png,https://cdn.civil.services/us-states/seals/alaska-large.png,https://cdn.civil.services/us-states/maps/alaska-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/alaska.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/alaska.jpg,665384.0,76114.0,12.2,29.0
3,Arizona,AZ,The Grand Canyon State,https://az.gov,1912.0,48.0,Phoenix,https://www.phoenix.gov,6626624.0,15.0,http://www.azleg.gov/Constitution.asp,https://cdn.civil.services/us-states/flags/arizona-large.png,https://cdn.civil.services/us-states/seals/arizona-large.png,https://cdn.civil.services/us-states/maps/arizona-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/arizona.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/arizona.jpg,113990.0,53510.0,14.4,28.4
4,Arkansas,AR,The Natural State,http://arkansas.gov,1836.0,25.0,Little Rock,http://www.littlerock.org,2959373.0,32.0,http://www.arkleg.state.ar.us/assembly/Summary/ArkansasConstitution1874.pdf,https://cdn.civil.services/us-states/flags/arkansas-large.png,https://cdn.civil.services/us-states/seals/arkansas-large.png,https://cdn.civil.services/us-states/maps/arkansas-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/arkansas.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/arkansas.jpg,53179.0,43813.0,15.5,22.0
5,California,CA,Golden State,http://www.ca.gov,1850.0,31.0,Sacramento,http://www.cityofsacramento.org,38332521.0,1.0,http://www.leginfo.ca.gov/const-toc.html,https://cdn.civil.services/us-states/flags/california-large.png,https://cdn.civil.services/us-states/seals/california-large.png,https://cdn.civil.services/us-states/maps/california-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/california.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/california.jpg,163695.0,67169.0,12.5,32.6
6,Colorado,CO,The Centennial State,https://www.colorado.gov,1876.0,38.0,Denver,http://www.denvergov.org,5268367.0,22.0,https://www.colorado.gov/pacific/archives/government,https://cdn.civil.services/us-states/flags/colorado-large.png,https://cdn.civil.services/us-states/seals/colorado-large.png,https://cdn.civil.services/us-states/maps/colorado-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/colorado.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/colorado.jpg,104094.0,65458.0,8.9,39.4
7,Connecticut,CT,Constitution State,http://www.ct.gov,1788.0,5.0,Hartford,http://www.hartford.gov,3596080.0,29.0,http://www.ct.gov/sots/cwp/view.asp?a=3188&q=392288,https://cdn.civil.services/us-states/flags/connecticut-large.png,https://cdn.civil.services/us-states/seals/connecticut-large.png,https://cdn.civil.services/us-states/maps/connecticut-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/connecticut.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/connecticut.jpg,5543.0,73781.0,9.9,38.4
8,Delaware,DE,The First State / The Diamond State,http://delaware.gov,1787.0,1.0,Dover,http://www.cityofdover.com,925749.0,45.0,http://www.state.de.us/facts/constit/welcome.htm,https://cdn.civil.services/us-states/flags/delaware-large.png,https://cdn.civil.services/us-states/seals/delaware-large.png,https://cdn.civil.services/us-states/maps/delaware-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/delaware.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/delaware.jpg,2489.0,63036.0,9.6,31.0
9,Florida,FL,Sunshine State,http://www.myflorida.com,1845.0,27.0,Tallahassee,https://www.talgov.com/Main/Home.aspx,19552860.0,4.0,http://www.leg.state.fl.us/Statutes/index.cfm,https://cdn.civil.services/us-states/flags/florida-large.png,https://cdn.civil.services/us-states/seals/florida-large.png,https://cdn.civil.services/us-states/maps/florida-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/florida.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/florida.jpg,65758.0,50883.0,13.6,28.5
10,Georgia,GA,Peach State,http://georgia.gov,1788.0,4.0,Atlanta,http://www.atlantaga.gov,9992167.0,8.0,http://sos.ga.gov/admin/files/Constitution_2013_Final_Printed.pdf,https://cdn.civil.services/us-states/flags/georgia-large.png,https://cdn.civil.services/us-states/seals/georgia-large.png,https://cdn.civil.services/us-states/maps/georgia-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/georgia.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/georgia.jpg,59425.0,52977.0,14.7,29.9
11,Hawaii,HI,Aloha State,https://www.ehawaii.gov,1959.0,50.0,Honolulu,http://www.co.honolulu.hi.us,1404054.0,40.0,http://lrbhawaii.org/con,https://cdn.civil.services/us-states/flags/hawaii-large.png,https://cdn.civil.services/us-states/seals/hawaii-large.png,https://cdn.civil.services/us-states/maps/hawaii-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/hawaii.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/hawaii.jpg,10932.0,74923.0,9.5,32.0
12,Idaho,ID,Gem State,https://www.idaho.gov,1890.0,43.0,Boise,http://www.cityofboise.org,1612136.0,39.0,http://www.legislature.idaho.gov/idstat/IC/Title003.htm,https://cdn.civil.services/us-states/flags/idaho-large.png,https://cdn.civil.services/us-states/seals/idaho-large.png,https://cdn.civil.services/us-states/maps/idaho-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/idaho.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/idaho.jpg,83569.0,50985.0,11.3,26.8
13,Illinois,IL,Prairie State,https://www.illinois.gov,1818.0,21.0,Springfield,http://www.springfield.il.us,12882135.0,5.0,http://www.ilga.gov/commission/lrb/conmain.htm,https://cdn.civil.services/us-states/flags/illinois-large.png,https://cdn.civil.services/us-states/seals/illinois-large.png,https://cdn.civil.services/us-states/maps/illinois-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/illinois.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/illinois.jpg,57914.0,61229.0,10.9,33.4
14,Indiana,IN,Hoosier State,http://www.in.gov,1816.0,19.0,Indianapolis,http://www.indy.gov/Pages/Home.aspx,6570902.0,16.0,http://www.law.indiana.edu/uslawdocs/inconst.html,https://cdn.civil.services/us-states/flags/indiana-large.png,https://cdn.civil.services/us-states/seals/indiana-large.png,https://cdn.civil.services/us-states/maps/indiana-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/indiana.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/indiana.jpg,36420.0,52182.0,11.8,25.3
15,Iowa,IA,Hawkeye State,https://www.iowa.gov,1846.0,29.0,Des Moines,http://www.ci.des-moines.ia.us,3090416.0,30.0,http://publications.iowa.gov/135/1/history/7-7.html,https://cdn.civil.services/us-states/flags/iowa-large.png,https://cdn.civil.services/us-states/seals/iowa-large.png,https://cdn.civil.services/us-states/maps/iowa-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/iowa.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/iowa.jpg,56273.0,56570.0,9.2,27.7
16,Kansas,KS,Sunflower State,https://www.kansas.gov,1861.0,34.0,Topeka,http://www.topeka.org,2893957.0,34.0,https://kslib.info/405/Kansas-Constitution,https://cdn.civil.services/us-states/flags/kansas-large.png,https://cdn.civil.services/us-states/seals/kansas-large.png,https://cdn.civil.services/us-states/maps/kansas-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/kansas.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/kansas.jpg,82278.0,55477.0,10.8,32.3
17,Kentucky,KY,Bluegrass State,http://kentucky.gov,1792.0,15.0,Frankfort,http://frankfort.ky.gov,4395295.0,26.0,http://www.lrc.state.ky.us/Legresou/Constitu/intro.htm,https://cdn.civil.services/us-states/flags/kentucky-large.png,https://cdn.civil.services/us-states/seals/kentucky-large.png,https://cdn.civil.services/us-states/maps/kentucky-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/kentucky.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/kentucky.jpg,40408.0,46535.0,15.3,23.2
18,Louisiana,LA,Pelican State,http://louisiana.gov,1812.0,18.0,Baton Rouge,http://brgov.com,4625470.0,25.0,http://senate.legis.state.la.us/Documents/Constitution,https://cdn.civil.services/us-states/flags/louisiana-large.png,https://cdn.civil.services/us-states/seals/louisiana-large.png,https://cdn.civil.services/us-states/maps/louisiana-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/louisiana.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/louisiana.jpg,52378.0,46710.0,19.8,23.4
19,Maine,ME,Pine Tree State,http://www.maine.gov,1820.0,23.0,Augusta,http://www.augustamaine.gov,1328302.0,41.0,http://www.maine.gov/legis/const,https://cdn.civil.services/us-states/flags/maine-large.png,https://cdn.civil.services/us-states/seals/maine-large.png,https://cdn.civil.services/us-states/maps/maine-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/maine.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/maine.jpg,35380.0,53024.0,12.6,30.3
20,Maryland,MD,Old Line State,http://www.maryland.gov,1788.0,7.0,Annapolis,http://www.annapolis.gov,5928814.0,19.0,http://msa.maryland.gov/msa/mdmanual/43const/html/const.html,https://cdn.civil.services/us-states/flags/maryland-large.png,https://cdn.civil.services/us-states/seals/maryland-large.png,https://cdn.civil.services/us-states/maps/maryland-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/maryland.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/maryland.jpg,12406.0,78916.0,7.1,39.0
21,Massachusetts,MA,Bay State,http://www.mass.gov,1788.0,6.0,Boston,http://www.ci.boston.ma.us,6692824.0,14.0,http://www.state.ma.us/legis/const.htm,https://cdn.civil.services/us-states/flags/massachusetts-large.png,https://cdn.civil.services/us-states/seals/massachusetts-large.png,https://cdn.civil.services/us-states/maps/massachusetts-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/massachusetts.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/massachusetts.jpg,10554.0,74167.0,9.8,42.1
22,Michigan,MI,Wolverine State / Great Lakes State,http://www.michigan.gov,1837.0,26.0,Lansing,http://cityoflansingmi.com,9895622.0,9.0,http://www.legislature.mi.gov/(S(hrowl12tg05hemnnkidim1jb))/mileg.aspx?page=GetObject&objectname=mcl-Constitution,https://cdn.civil.services/us-states/flags/michigan-large.png,https://cdn.civil.services/us-states/seals/michigan-large.png,https://cdn.civil.services/us-states/maps/michigan-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/michigan.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/michigan.jpg,96714.0,52668.0,11.0,28.1
23,Minnesota,MN,"North Star State / Land of 10,000 Lakes",https://mn.gov,1858.0,32.0,Saint Paul,http://www.stpaul.gov,5420380.0,21.0,http://www.house.leg.state.mn.us/cco/rules/mncon/preamble.htm,https://cdn.civil.services/us-states/flags/minnesota-large.png,https://cdn.civil.services/us-states/seals/minnesota-large.png,https://cdn.civil.services/us-states/maps/minnesota-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/minnesota.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/minnesota.jpg,86936.0,65699.0,8.7,34.8
24,Mississippi,MS,Magnolia State,http://www.ms.gov,1817.0,20.0,Jackson,http://www.city.jackson.ms.us,2991207.0,31.0,http://law.justia.com/constitution/mississippi,https://cdn.civil.services/us-states/flags/mississippi-large.png,https://cdn.civil.services/us-states/seals/mississippi-large.png,https://cdn.civil.services/us-states/maps/mississippi-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/mississippi.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/mississippi.jpg,48432.0,42009.0,19.8,21.3
25,Missouri,MO,Show Me State,https://www.mo.gov,1821.0,24.0,Jefferson City,http://www.jeffcitymo.org,6044171.0,18.0,http://www.moga.mo.gov/mostatutes/moconstn.html,https://cdn.civil.services/us-states/flags/missouri-large.png,https://cdn.civil.services/us-states/seals/missouri-large.png,https://cdn.civil.services/us-states/maps/missouri-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/missouri.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/missouri.jpg,69707.0,51542.0,11.9,28.2
26,Montana,MT,Treasure State,http://mt.gov,1889.0,41.0,Helena,http://www.ci.helena.mt.us,1015165.0,44.0,http://courts.mt.gov/content/library/docs/72constit.pdf,https://cdn.civil.services/us-states/flags/montana-large.png,https://cdn.civil.services/us-states/seals/montana-large.png,https://cdn.civil.services/us-states/maps/montana-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/montana.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/montana.jpg,147040.0,50801.0,10.4,30.7
27,Nebraska,NE,Cornhusker State,http://www.nebraska.gov,1867.0,37.0,Lincoln,http://lincoln.ne.gov,1868516.0,37.0,http://www.state.ne.us/legislative/statutes/C,https://cdn.civil.services/us-states/flags/nebraska-large.png,https://cdn.civil.services/us-states/seals/nebraska-large.png,https://cdn.civil.services/us-states/maps/nebraska-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/nebraska.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/nebraska.jpg,77348.0,56675.0,10.4,30.6
28,Nevada,NV,The Silver State,http://nv.gov,1864.0,36.0,Carson City,http://www.carson.org,2790136.0,35.0,http://www.leg.state.nv.us/Const/NvConst.html,https://cdn.civil.services/us-states/flags/nevada-large.png,https://cdn.civil.services/us-states/seals/nevada-large.png,https://cdn.civil.services/us-states/maps/nevada-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/nevada.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/nevada.jpg,110572.0,55434.0,12.2,23.7
