id,Publisher,Author,Primary ISBN10,Date,Title,Weeks on list
1,Riverhead,Paula Hawkins,1594634025.0,2/19/17,THE GIRL ON THE TRAIN,102.0
2,Scribner,Anthony Doerr,1501173219.0,5/7/17,ALL THE LIGHT WE CANNOT SEE,81.0
3,Vintage,E L James,525431888.0,3/5/17,FIFTY SHADES DARKER,66.0
4,St. Martin's,Kristin Hannah,1466850604.0,10/29/17,THE NIGHTINGALE,63.0
5,Penguin Group,Kathryn Stockett,1440697663.0,4/8/12,THE HELP,58.0
6,Washington Square,Fredrik Backman,1476738025.0,7/23/17,A MAN CALLED OVE,56.0
7,Andrews McMeel,Rupi Kaur,144947425X,3/11/18,MILK AND HONEY,52.0
8,Bantam,George R R Martin,553897845.0,9/17/17,A GAME OF THRONES,51.0
9,Berkley,Liane Moriarty,425274861.0,5/21/17,BIG LITTLE LIES,38.0
10,Ballantine,Lisa Wingate,425284697.0,6/9/18,BEFORE WE WERE YOURS,35.0
11,Scout,Ruth Ware,1501132954.0,10/8/17,THE WOMAN IN CABIN 10,35.0
12,Penguin Press,Celeste Ng,735224307.0,6/9/18,LITTLE FIRES EVERYWHERE,31.0
13,Knopf Doubleday Publishing,Stieg Larsson,307272117.0,1/13/13,THE GIRL WITH THE DRAGON TATTOO,31.0
14,Houghton Mifflin Harcourt,Margaret Atwood,038549081X,6/3/18,THE HANDMAID'S TALE,27.0
15,Doubleday,John Grisham,1101967684.0,9/24/17,THE WHISTLER,25.0
16,Grand Central,Nicholas Sparks,1455520667.0,5/17/15,THE LONGEST RIDE,25.0
17,Broadway,Ernest Cline,307887448.0,5/20/18,READY PLAYER ONE,24.0
18,Doubleday,John Grisham,1524797154.0,5/27/18,CAMINO ISLAND,23.0
19,Dell,Diana Gabaldon,440335167.0,9/24/17,OUTLANDER,21.0
20,Penguin Group,Sylvia Day,None,2/10/13,BARED TO YOU,21.0
21,Andrews McMeel,Rupi Kaur,1449486797.0,4/1/18,THE SUN AND HER FLOWERS,20.0
22,Doubleday,Dan Brown,385514239.0,3/4/18,ORIGIN,20.0
23,Ballantine,Martha Hall Kelly,1101883081.0,9/17/17,LILAC GIRLS,20.0
24,Scribner,Stephen King,1501120603.0,3/6/16,11/22/63,19.0
25,Vintage,E L James,345803574.0,3/8/15,FIFTY SHADES TRILOGY,19.0
26,Forge Books,W Bruce Cameron,765388111.0,4/30/17,A DOG'S PURPOSE,18.0
27,Entangled Publishing,Jennifer Probst,None,9/2/12,THE MARRIAGE BARGAIN,17.0
28,St. Martin's,Kristin Hannah,125016561X,6/9/18,THE GREAT ALONE,16.0
29,Doubleday,Colson Whitehead,385542364.0,2/12/17,THE UNDERGROUND RAILROAD,16.0
30,Ballantine,Jodi Picoult,034554496X,2/12/17,SMALL GREAT THINGS,16.0
31,Grand Central,Nicholas Sparks,1455520691.0,2/5/17,TWO BY TWO,16.0
32,Harper,Harper Lee,62409875.0,7/10/16,GO SET A WATCHMAN,16.0
33,Morrow,AJ Finn,62678418.0,5/6/18,THE WOMAN IN THE WINDOW,15.0
34,Scribner,Stephen King,1501175467.0,12/10/17,IT,15.0
35,Grand Central,Nicholas Sparks,1455520608.0,7/2/17,SEE ME,15.0
36,Grand Central,David Baldacci,446573043.0,5/5/13,THE FORGOTTEN,15.0
37,Delacorte,Lee Child,399593500.0,6/9/18,THE MIDNIGHT LINE,14.0
38,Doubleday,John Grisham,385541171.0,2/11/18,THE ROOSTER BAR,14.0
39,Grand Central,David Baldacci,145558648X,5/14/17,THE LAST MILE,14.0
40,Riverhead,Paula Hawkins,735211221.0,6/3/18,INTO THE WATER,13.0
41,Windblown Media,William P Young,964729237.0,5/7/17,THE SHACK,13.0
42,"Sarah Crichton/Farrar, Straus & Giroux",Matthew Quick,142996023X,6/2/13,THE SILVER LININGS PLAYBOOK,13.0
43,Delacorte Press,William Landay,345527593.0,4/7/13,DEFENDING JACOB,13.0
44,Grand Central,David Baldacci,1455586587.0,4/1/18,THE FIX,12.0
45,Grand Central,David Baldacci,1455521167.0,4/12/15,THE ESCAPE,12.0
46,Darcie Chan,Darcie Chan,None,9/29/13,THE MILL RIVER RECLUSE,12.0
47,Houghton Mifflin Harcourt,Yann Martel,547416113.0,4/7/13,LIFE OF PI,12.0
48,Delacorte,Lee Child,804178828.0,6/18/17,NIGHT SCHOOL,11.0
49,Berkley,Nora Roberts,110198760X,4/23/17,THE OBSESSION,11.0
50,Ecco/HarperCollins,Cynthia D'Aprix Sweeney,62414216.0,6/19/16,THE NEST,11.0
51,Grand Central,David Baldacci,1455586501.0,4/9/17,NO MAN'S LAND,10.0
52,"Little, Brown",James Patterson,031640716X,3/26/17,CROSS THE LINE,10.0
53,Grand Central,David Baldacci,1455586439.0,4/17/16,THE GUILTY,10.0
54,Putnam,Nora Roberts,1101989750.0,4/10/16,THE LIAR,10.0
55,Knopf,David Lagercrantz,385354290.0,3/13/16,THE GIRL IN THE SPIDER'S WEB,10.0
56,"Little, Brown & Company",James Patterson,None,2/5/12,KILL ALEX CROSS,10.0
57,Knopf Doubleday,John Grisham,440245117.0,9/11/11,THE CONFESSION,10.0
58,Vintage,EL James,385543980.0,2/25/18,DARKER,9.0
59,Viking,Ken Follett,052595497X,12/10/17,A COLUMN OF FIRE,9.0
60,Flatiron,Liane Moriarty,1250069815.0,1/15/17,TRULY MADLY GUILTY,9.0
61,Grand Central,Nicholas Sparks,446401315.0,3/6/16,THE CHOICE,9.0
62,Delacorte,Lee Child,804178755.0,5/24/15,PERSONAL,9.0
63,"Little, Brown",James Patterson,None,2/8/15,HOPE TO DIE,9.0
64,Grand Central,Nicholas Sparks,None,11/16/14,THE BEST OF ME,9.0
65,Grand Central,David Baldacci,145552123X,7/6/14,THE TARGET,9.0
66,Grand Central,David Baldacci,1455521280.0,7/7/13,THE HIT,9.0
67,Tracey Garvis-Graves,Tracey Garvis-Graves,None,6/24/12,ON THE ISLAND,9.0
68,"Little, Brown",James Patterson and Michael Ledwidge,031612723X,9/11/11,NOW YOU SEE HER,9.0
69,St. Martin's,Greer Hendricks and Sarah Pekkanen,125013093X,6/3/18,THE WIFE BETWEEN US,8.0
70,Algonquin,Tayari Jones,1616207604.0,4/15/18,AN AMERICAN MARRIAGE,8.0
71,Grand Central,David Baldacci,1455586633.0,1/21/18,END GAME,8.0
72,Bantam,Janet Evanovich,345543017.0,10/1/17,TURBO TWENTY-THREE,8.0
73,Random House,Emma Cline,812998618.0,8/21/16,THE GIRLS,8.0
74,Picador,Michael Punke,1250072689.0,3/20/16,THE REVENANT,8.0
75,Scribner,Stephen King,1501111671.0,1/10/16,THE BAZAAR OF BAD DREAMS,8.0
76,Putnam,Nora Roberts,None,7/26/15,WHISKEY BEACH,8.0
77,Delacorte,Lee Child,440246326.0,4/27/14,NEVER GO BACK,8.0
78,Broadway,Max Brooks,307351939.0,7/28/13,WORLD WAR Z,8.0
79,"Little, Brown & Company",James Patterson,316210692.0,1/20/13,"MERRY CHRISTMAS, ALEX CROSS",8.0
80,Random House Publishing,Janet Evanovich,345527704.0,12/18/11,SMOKIN’ SEVENTEEN,8.0
81,Grand Central,David Baldacci,446573078.0,6/26/11,THE SIXTH MAN,8.0
82,"Little, Brown",Michael Connelly,316069388.0,6/12/11,THE FIFTH WITNESS,8.0
83,"Little, Brown",Michael Connelly,316225916.0,1/14/18,TWO KINDS OF TRUTH,7.0
84,Knopf,David Lagercrantz,451494334.0,11/12/17,THE GIRL WHO TAKES AN EYE FOR AN EYE,7.0
85,"Little, Brown",Michael Connelly,316225975.0,10/15/17,THE LATE SHOW,7.0
86,"Little, Brown",Michael Connelly,316225959.0,1/15/17,THE WRONG SIDE OF GOODBYE,7.0
87,"Little, Brown",Michael Connelly,None,3/27/16,THE DROP,7.0
88,"Little, Brown",James Patterson,316407143.0,1/24/16,CROSS JUSTICE,7.0
89,Scribner,Stephen King,1476770387.0,1/11/15,REVIVAL,7.0
