ID,Name,Coordinates
MA,Massachusetts,956.31178 435.94915000000003;956.0206 436.14327000000003;956.0206 435.85208000000006;956.31178 435.94918000000007|953.39989 438.56988000000007;954.07933 438.86107000000004;954.07933 439.24932000000007;953.39989 438.56988000000007|965.4357200000001 446.14080000000007;965.3386200000001 447.49969000000004;965.1445000000001 448.27619000000004;965.4356900000001 446.14080000000007|923.0191000000001 456.1383000000001;922.3396600000001 455.8471100000001;916.8070600000001 454.1970400000001;914.8658 453.5176000000001;912.6333500000001 452.8381600000001;911.85685 452.5469700000001;911.85685 452.25578000000013;912.1480300000001 447.20850000000013;912.4392200000001 442.54947000000016;912.7304100000001 438.27869000000015;913.2157300000001 437.9875000000002;914.9628700000001 438.4728200000002;922.8249800000001 440.8023300000002;923.0191000000001 440.3170200000002;936.9961900000001 445.65549000000016;937.09329 445.4613600000002;938.35511 445.9466800000002;942.8200099999999 447.6938100000002;947.0907899999999 442.5494700000002;947.0907899999999 442.5494700000002;947.6731699999998 443.03478000000024;947.9643599999998 444.4907300000002;947.8672599999999 442.1612100000002;947.8672599999999 442.1612100000002;948.8378899999999 442.1612100000002;949.1290799999999 440.9964600000002;950.0026499999999 439.3463800000002;950.0026499999999 439.3463800000002;954.5646199999999 444.8789800000002;958.3500799999998 443.6171600000002;959.2236499999998 445.5584200000002;965.4356899999998 448.85857000000016;962.8149799999998 454.00292000000013;963.4944299999997 450.70277000000016;960.2913399999998 448.27619000000016;956.7000099999998 447.9850000000002;949.5173399999998 455.65299000000016;946.3142499999998 460.5061400000002;949.5173399999998 463.90335000000016;946.2171899999997 464.09748000000013;944.8583099999997 467.30056000000013;944.7612099999998 467.4946900000001;939.2286199999998 461.47678000000013;926.9986599999997 457.40012000000013;923.0190699999997 456.13830000000013;923.0190699999997 456.13830000000013
MN,Minnesota,558.54712 515.152651;560.48838 508.261169;564.56503 483.41301;566.50629 473.51257;567.08867 464.77689;569.3211299999999 459.53548;569.80644 455.07058;570.1946899999999 453.61463000000003;570.09759 453.32344000000006;566.21507 446.91728000000006;568.73871 442.64650000000006;573.59186 408.48028000000005;573.78599 404.01538000000005;578.63914 404.30657;597.76058 405.37426000000005;645.51563 409.35385;650.2717299999999 409.83917;650.2717299999999 410.32448000000005;648.91284 417.79834000000005;642.99199 420.80730000000005;638.33296 425.6604500000001;630.9561699999999 430.12536000000006;628.6266499999999 430.31948000000006;625.03532 433.03725000000003;626.00595 446.43196;622.60874 449.53798;623.7735 454.97352;629.98554 460.60318;628.9178400000001 472.25075;631.15029 474.77439;631.15029 474.77439;638.72122 482.73357;647.35983 493.798765;650.65998 496.128279;656.48377 498.94311000000005;662.59874 503.505077;658.52209 502.72857200000004;656.0955100000001 504.57277100000005;646.7774500000002 503.31095000000005;645.3215100000001 505.05808600000006;636.9740800000001 501.6608770000001;630.2767200000001 504.4757080000001;628.43253 506.70816000000013;623.09405 506.3199070000001;619.5027200000001 508.1641060000001;620.6674800000001 509.5229900000001;616.1055100000001 510.9789370000001;612.0288600000001 510.9789370000001;605.5256300000001 508.16410600000006;604.2638100000001 510.10536900000005;593.9751200000002 511.56131600000003;590.4808500000001 520.296996;590.0925900000002 522.9177010000001;585.6276900000003 524.179521;586.0159400000002 516.7056610000001;574.1742400000003 515.8320930000001;559.5177100000003 515.2497140000002;558.5470800000003 515.1526540000001
MT,Montana,465.65771 516.026219;433.52982000000003 518.161608;410.13761000000005 520.394059;386.8424600000001 523.111827;372.3800500000001 525.053089;349.2790300000001 528.644425;337.7285200000001 530.585687;311.90973000000014 535.535906;309.19196000000017 536.1182849999999;305.0182500000002 516.3174079999999;306.8624500000002 512.7260729999999;308.31840000000017 507.1934749999999;307.4448300000002 506.41696999999994;309.2890300000002 501.36968799999994;311.8126700000002 499.23429899999996;318.99534000000017 487.19847;319.67478000000017 485.16015;322.5866700000002 485.35427;319.1894600000002 469.43592;317.8305800000002 469.04767;315.9863800000002 463.7092;325.5956300000002 463.02976;326.3721400000002 458.56485000000004;331.80767000000014 445.26720000000006;332.7783000000002 444.49070000000006;336.5637600000002 436.7256500000001;337.5343900000002 437.5021500000001;345.5906300000002 437.5992500000001;355.7822600000002 436.5315500000001;358.3059000000002 439.83170000000007;361.3148600000002 434.3961700000001;361.8972400000002 434.1049800000001;361.9943400000002 434.68735000000015;363.3532200000002 444.1995400000001;396.5488100000002 440.12289000000015;423.04704000000015 437.59925000000015;437.0241300000001 436.43449000000015;461.96935000000013 434.9785400000002;463.23117000000013 434.88144000000017;463.5223600000001 434.88144000000017;463.6194600000001 436.24032000000017;463.9106500000001 442.93768000000017;464.2989000000001 451.7704200000002;464.39600000000013 454.0028800000002;464.5901300000001 457.8854000000002;466.1431400000001 488.3632200000002;467.4049600000001 512.0466210000002;467.5020600000001 515.9291460000002;465.6578600000001 516.0262060000002
ND,North Dakota,556.50879 515.152651;527.19573 514.570272;506.71541 514.6673320000001;489.14699 515.0555850000001;468.56961 515.8320900000001;467.50191 515.9291500000002;467.40481 512.0466250000002;466.14299 488.3632200000002;464.58998 457.8854000000002;464.39585000000005 454.0028800000002;468.18131000000005 453.8087500000002;510.98615000000007 452.6439900000002;550.49084 452.9351800000002;566.8945100000001 453.4205000000002;570.1946500000001 453.6146200000002;569.8064000000002 455.07057000000015;569.3210900000001 459.53547000000015;567.0886300000002 464.7768800000001;566.5062500000003 473.5125600000001;564.5649900000002 483.4130000000001;560.4883400000002 508.2611630000001;558.5470800000002 515.1526450000001;556.5087500000002 515.1526450000001
HI,Hawaii,416.34965 74.00076999999999;413.34069 76.23321999999999;410.71999 75.55377999999999;411.30237 70.11824999999999;407.71103 65.65333999999999;410.81705 58.56772999999998;411.69061999999997 51.28799999999998;415.28195 48.95848999999998;417.51441 52.54981999999998;421.49399 55.46170999999998;426.34715 56.723539999999986;431.68562 61.285499999999985;426.44421 65.75040999999999;426.34711 68.46816999999999;416.34961 74.00076999999999|398.68412 81.86287999999999;397.22817000000003 83.12469999999999;395.86929000000003 81.28049999999999;398.68412 81.86287999999999|391.40439000000003 86.03659999999999;391.79264000000006 89.62792999999999;389.94844000000006 89.91911999999999;391.40439000000003 86.03659999999999|397.51936 91.95745;395.86929 91.18093999999999;397.03405 87.49253999999999;399.55769 87.29842;400.33419 84.09534;403.05195999999995 82.93057999999999;409.0698699999999 85.74540999999999;403.4402099999999 90.40444;397.51935999999995 91.95745|385.09527999999995 95.93704;384.22171999999995 93.31633;388.3954299999999 93.41342999999999;392.2779499999999 92.44279999999999;390.2396299999999 95.64589;385.09527999999995 95.93708|372.86533 103.60506;370.63288 105.74045;366.3621 102.4403;369.07986999999997 97.39301999999999;371.02112999999997 99.43135;376.55373 98.26659;376.06841 100.59611;372.86533 103.60506|329.38104999999996 107.87584;329.96342999999996 109.23472;331.6135 110.10829;329.38104999999996 107.87584|344.81408999999996 116.70858;338.01966999999996 114.18494;337.34022999999996 112.34074;340.05799999999994 110.39948;343.84345999999994 109.42885;346.56121999999993 114.76732;344.8140899999999 116.70858|297.7384799999999 134.5682;297.7384799999999 134.6653;297.54434999999995 134.6653;297.7384799999999 134.5682|246.2950199999999 147.28347;246.2950199999999 147.08934;246.39211999999992 147.08934;246.2950199999999 147.28347|219.3114699999999 151.74837;219.4085699999999 151.65126999999998;219.4085699999999 151.65126999999998;219.3114699999999 151.74837|218.2437799999999 153.68963;218.2437799999999 153.68963;218.2437799999999 153.68963;218.2437799999999 153.68963|217.3702099999999 154.66026;217.1760899999999 154.66026;217.1760899999999 154.56315999999998;217.3702099999999 154.66026|218.0496499999999 154.66026;217.9525499999999 154.66026;218.0496499999999 154.66026;218.0496499999999 154.66026|217.9525499999999 154.75736;217.9525499999999 154.75736;217.9525499999999 154.66026;217.9525499999999 154.75736|187.47472999999988 179.79964;187.37762999999987 180.09083;187.37762999999987 179.99373;187.47472999999988 179.7996|120.98648999999988 201.05642;120.69529999999988 200.76524;120.88942999999988 200.66814;120.98652999999987 201.05639|50.61577199999988 250.07326999999998;50.61577199999988 250.07326999999998;50.61577199999988 250.07326999999998;50.61577199999988 250.07326999999998|53.04234999999988 249.97616999999997;52.94528999999988 249.97616999999997;52.94528999999988 249.97616999999997;53.04234999999988 249.97616999999997|52.55703399999988 250.07326999999998;52.55703399999988 250.07326999999998;52.55703399999988 250.07326999999998;52.55703399999988 250.07326999999998|11.111081999999882 268.22407;11.402270999999882 268.32117;11.402270999999882 268.51529;11.111081999999882 268.2241
ID,Idaho,309.0949 536.118285;300.45628 537.865421;297.64145 538.544863;296.37963 538.836052;285.12031 488.1691;285.60563 483.99539000000004;285.21737 479.62755000000004;285.4115 478.65692;285.4115 478.55982;285.5086 476.71563;288.80875 473.12429;284.05265999999995 461.18552999999997;273.95808999999997 447.98494;273.6669 445.55836;276.28761 439.34632;267.06660999999997 401.10345;266.67835999999994 399.06513;269.39611999999994 398.48275;296.8649899999999 393.04722000000004;307.8331199999999 391.00889000000006;310.64794999999987 390.52357000000006;313.36571999999984 390.03826000000004;327.3428099999998 387.80581000000006;352.3850899999998 384.02035000000006;355.1999199999998 383.63209000000006;355.5881699999998 386.83518000000004;356.4617399999998 393.14428000000004;359.76188999999977 418.38069;361.50902999999977 430.90183;361.8972799999998 434.10492;361.3148999999998 434.39610999999996;358.3059399999998 439.83164;355.7822999999998 436.53149;345.5906699999998 437.59919;337.5344299999998 437.50209;336.5637999999998 436.72559;332.7783399999998 444.49064;331.80770999999976 445.26714;326.37217999999973 458.56478999999996;325.59566999999976 463.02969999999993;315.9864199999998 463.70913999999993;317.8306199999998 469.0476099999999;319.1894999999998 469.43585999999993;322.58670999999975 485.3542099999999;319.6748199999997 485.1600899999999;318.9953799999997 487.1984099999999;311.81270999999975 499.2342389999999;309.28906999999975 501.36962799999986;307.44486999999975 506.41690999999986;308.3184399999997 507.19341499999985;306.86248999999975 512.7260129999999;305.01828999999975 516.3173479999998;309.1919999999998 536.1182249999998;309.09489999999977 536.1182249999998
WA,Washington,192.13384 511.949568;192.23094 513.599641;192.03682 513.502581;192.13392000000002 511.949571|212.80837000000002 520.782315;213.39074000000002 521.7529460000001;212.71130000000002 521.8500060000001;212.80840000000003 520.7823120000002|210.96420000000003 522.5294480000001;211.54657000000003 524.4707100000002;210.96420000000003 524.6648370000001;210.96420000000003 522.5294480000001|218.04980000000003 525.3442790000001;217.95270000000002 527.2855410000002;216.30263000000002 524.7619000000002;218.04976000000002 525.3442790000001|218.24389000000002 529.4209300000001;218.53508000000002 531.3621920000002;218.34095000000002 531.8475080000002;218.24385 529.4209300000002|218.53504 538.9331150000003;218.43794 540.0008100000002;218.04968 540.0978700000003;218.535 538.9331120000003|221.64102 545.3392780000003;220.76745 545.4363380000003;219.02032 542.7185710000003;221.64102 545.3392750000004|219.21444 547.9599800000004;219.69976 548.3482320000004;219.79686 548.6394210000004;219.21448 547.9599800000004|218.72917 547.6687900000004;218.43798 549.6100530000004;217.56441 547.9599800000004;218.72917 547.6687900000004|218.24385 550.3865580000004;217.37028 550.7748100000003;218.04972 549.8041790000003;218.24385 550.3865580000003|221.15574 548.7364840000002;221.15574 549.9983050000003;220.86455 549.5129890000003;221.15574 548.7364840000002|222.02931 549.9983050000003;221.64106 550.2894940000003;221.54396 550.2894940000003;222.02927 549.9983050000003|216.49667 552.1336940000003;216.01136 552.5219460000003;215.81723 552.6190060000004;216.49667 552.1336910000003|220.08801 552.5219430000003;217.46731 551.8425010000003;218.14675 551.6483750000003;220.08801 552.5219430000003|217.95262 552.7160690000003;217.46731 553.2984480000002;217.37021 553.2013880000002;217.95259 552.7160720000002|219.99092 553.8808300000002;219.60266 553.8808300000002;220.08798 553.6867040000002;219.99087999999998 553.8808300000002|200.96649999999997 504.08744900000016;204.46077999999997 500.30198800000016;203.87839999999997 493.02225400000015;204.55783999999997 491.17805400000015;209.79924999999997 488.3632240000002;224.55283999999997 487.0043440000002;225.13521999999998 485.2572040000002;232.12376999999998 485.16010400000016;238.72405999999998 484.2865340000002;249.49805999999998 485.4512940000002;254.83653999999999 484.5777240000002;256.29248 485.2571640000002;283.56722 479.0451240000002;285.41142 478.6568740000002;285.21729000000005 479.6275040000002;285.60555000000005 483.9953440000002;285.12023000000005 488.1690540000002;296.37955000000005 538.8360060000002;294.8265400000001 539.1271960000003;272.1137700000001 544.4656670000003;252.3129000000001 549.5129490000003;229.8913100000001 555.7249890000003;223.1939600000001 557.3750620000003;224.7469700000001 548.9305710000003;223.2910200000001 546.2128030000003;220.6703200000001 547.5716870000003;223.1939600000001 535.8270500000003;220.4761900000001 531.9445250000003;219.2143700000001 528.3531890000004;219.2143700000001 524.6647910000004;213.4876500000001 520.6852030000003;211.0610700000001 522.2382130000003;208.73155000000008 521.0734550000003;213.0023300000001 526.6060530000003;211.9346400000001 522.8205910000003;214.3612200000001 525.4412960000003;216.3024800000001 525.0530430000003;215.7201000000001 529.9061990000004;216.9819200000001 529.7120730000004;219.6026200000001 535.5358600000004;218.7290600000001 536.4094280000004;215.3318500000001 532.0415880000004;213.09939000000008 531.9445280000003;215.5259700000001 534.6622950000003;218.2437400000001 535.3417370000003;217.2731100000001 540.2919560000003;214.5553400000001 540.9713980000002;213.1964600000001 543.3009130000003;211.54638000000008 542.4273450000003;202.61658000000008 546.3098690000003;194.75447000000008 552.4248460000002;192.61908000000008 546.5039960000003;192.42495000000008 543.9803550000003;194.07502000000008 539.5154510000002;193.00733000000008 525.0530460000002;192.23082000000008 522.8205940000003;196.59866000000008 522.4323420000003;192.23082000000008 519.3263220000003;194.56034000000008 518.1615650000003;192.71614000000008 511.94952500000034;191.84257000000008 516.8026810000003;190.19250000000008 511.17302000000035;192.42495000000008 508.45525300000037;194.85153000000008 508.64937900000035;197.76342000000008 506.90224300000034;199.21937000000008 504.0874120000003;200.96650000000008 504.0874120000003;200.96650000000008 504.0874120000003
AZ,Arizona,372.18593 279.09514;339.47566 283.17179;321.90723 285.69543999999996;296.86495 289.67501999999996;294.34131 290.06327999999996;294.34131 289.86915;290.07053 271.0389;287.83808 271.136;284.44087 274.14495000000005;280.17009 270.55362;280.07299 255.12058000000002;278.51998000000003 251.82044000000002;278.51998000000003 251.52925000000002;278.51998000000003 251.43215;278.32585000000006 249.00558;281.72306000000003 239.88164;284.73202000000003 235.80499;279.29648000000003 232.60191;277.16109000000006 228.62232;273.66682000000003 220.08077;271.91969 219.69251;271.82259 212.60691;274.83155 210.37445;273.27854 206.10368;269.78427 205.90955;269.78427 205.90955;267.74594 202.12409;274.73449 197.75625;287.93507 190.37945;328.70158 168.73438;363.25604999999996 164.46359999999999;363.6443 164.46359999999999;366.36206999999996 193.09722;367.04150999999996 200.18283;374.32124999999996 275.30968;374.7095 278.80395;372.18586 279.09513999999996
CA,California,206.01387 225.22510999999997;206.40212 223.08971999999997;206.40212 222.70146999999997;206.01387 225.22510999999997|191.74559 233.57253999999998;192.42503 232.11658999999997;192.81328 232.21368999999999;191.74559 233.57256999999998|208.73163 233.86375999999998;209.02282 231.34011999999998;210.76996 230.07829999999998;208.73163 233.86375999999998|196.987 247.64672;195.9193 247.93791;196.79287 247.54966;196.987 247.64676|186.21299 250.55866;183.59229 249.00565;184.27173 248.3262;186.21299 250.55866|181.16571 252.40286;180.97158 251.62635;181.84515 251.43222;181.16571 252.40286|189.70726 250.46159;193.97804 248.03501;194.75455 248.71446;189.70726 250.46159|156.60873999999998 335.9742;156.51163999999997 335.8771;156.60873999999998 335.9742;156.60873999999998 335.9742|166.99448999999998 335.48888999999997;166.89738999999997 335.78007999999994;166.89738999999997 335.39181999999994;166.99448999999998 335.48891999999995|222.99991 409.15981999999997;219.21445 410.13045999999997;177.67144 421.58389999999997;162.23839999999998 426.24292999999994;162.23839999999998 425.8546799999999;161.36482999999998 416.24542999999994;157.28817999999998 404.88904999999994;150.49375999999998 396.44455999999997;150.29963999999998 392.17377999999997;153.59977999999998 386.25293;155.24985999999998 378.48788;152.92033999999998 372.17878;153.30858999999998 365.86967000000004;152.14383999999998 363.24897000000004;156.12341999999998 354.61035000000004;158.64705999999998 351.31020000000007;158.45293999999998 341.89508000000006;164.47084999999998 336.16836000000006;167.96511999999998 341.99214000000006;171.75059 338.98319000000004;173.20653 340.34207000000004;167.96511999999998 339.37144;167.86801999999997 334.42122;168.93571999999998 328.20918;166.02381999999997 331.02401;164.37374999999997 334.80947;163.88842999999997 329.56807;165.24731999999997 319.18231;170.68284999999997 312.48496;167.09151999999997 307.82593;167.67388999999997 301.90508000000005;171.55641999999997 295.88716000000005;178.35083999999998 277.25104000000005;180.48622999999998 276.08629;179.80677999999997 263.17689;180.87447999999998 261.62388000000004;195.43394999999998 256.38247000000007;199.89884999999998 251.62638000000007;201.45185999999998 248.52036000000007;205.72263999999998 246.09378000000007;210.38166999999999 245.22021000000007;212.32292999999999 239.88174000000006;216.20544999999998 238.03754000000006;222.02924 231.14606000000006;227.46478 222.11919000000006;227.07652 213.77176000000006;230.08548 209.79218000000006;269.7843 205.90965000000006;269.7843 205.90965000000006;273.27856999999995 206.10378000000006;274.8315799999999 210.37455000000006;271.8226199999999 212.60701000000006;271.9197199999999 219.69261000000006;273.66684999999995 220.08087000000006;277.16112 228.62242000000006;279.29650999999996 232.60201000000006;284.73204999999996 235.80509000000006;281.72308999999996 239.88174000000006;278.32588 249.00568000000007;278.52000999999996 251.43225000000007;278.52000999999996 251.52935000000008;275.99636999999996 254.92656000000008;268.23132 265.3123100000001;253.18652999999998 286.4720700000001;232.22089999999997 316.56164000000007;220.37919999999997 332.96530000000007;208.92574999999997 349.4660400000001;222.12632999999997 405.4714600000001;222.99989999999997 409.1598500000001
