id,Season,Location,Round/Stage,Obstacle Name,Obstacle Order
1,1.0,Venice,Qualifying,Quintuple Steps,1.0
2,1.0,Venice,Qualifying,Rope Swing,2.0
3,1.0,Venice,Qualifying,Rolling Barrel,3.0
4,1.0,Venice,Qualifying,Jumping Spider,4.0
5,1.0,Venice,Qualifying,Pipe Slider,5.0
6,1.0,Venice,Qualifying,Warped Wall,6.0
7,1.0,Venice,Semi-Finals,Quintuple Steps,1.0
8,1.0,Venice,Semi-Finals,Rope Swing,2.0
9,1.0,Venice,Semi-Finals,Rolling Barrel,3.0
10,1.0,Venice,Semi-Finals,Jumping Spider,4.0
11,1.0,Venice,Semi-Finals,Pipe Slider,5.0
12,1.0,Venice,Semi-Finals,Warped Wall,6.0
13,1.0,Venice,Semi-Finals,Tarzan Swing,7.0
14,1.0,Venice,Semi-Finals,Jumping Bars,8.0
15,1.0,Venice,Semi-Finals,Cargo Climb,9.0
16,1.0,Sasuke 23 (Japan),National Finals - Stage 1,Twelve Timbers,1.0
17,1.0,Sasuke 23 (Japan),National Finals - Stage 1,Curtain Slider,2.0
18,1.0,Sasuke 23 (Japan),National Finals - Stage 1,Log Grip,3.0
19,1.0,Sasuke 23 (Japan),National Finals - Stage 1,Jumping Spider,4.0
20,1.0,Sasuke 23 (Japan),National Finals - Stage 1,Half-Pipe Attack,5.0
21,1.0,Sasuke 23 (Japan),National Finals - Stage 1,Warped Wall,6.0
22,1.0,Sasuke 23 (Japan),National Finals - Stage 1,Slider Jump,7.0
23,1.0,Sasuke 23 (Japan),National Finals - Stage 1,Tarzan Rope,8.0
24,1.0,Sasuke 23 (Japan),National Finals - Stage 1,Rope Ladder,9.0
25,1.0,Sasuke 23 (Japan),National Finals - Stage 2,Downhill Jump,1.0
26,1.0,Sasuke 23 (Japan),National Finals - Stage 2,Salmon Ladder,2.0
27,1.0,Sasuke 23 (Japan),National Finals - Stage 2,Stick Slider,3.0
28,1.0,Sasuke 23 (Japan),National Finals - Stage 2,Unstable Bridge,4.0
29,1.0,Sasuke 23 (Japan),National Finals - Stage 2,Metal Spin,5.0
30,1.0,Sasuke 23 (Japan),National Finals - Stage 2,Wall Lift,6.0
31,1.0,Sasuke 23 (Japan),National Finals - Stage 3,Arm Rings,1.0
32,1.0,Sasuke 23 (Japan),National Finals - Stage 3,Descending Lamp Grasper,2.0
33,1.0,Sasuke 23 (Japan),National Finals - Stage 3,Devil Steps,3.0
34,1.0,Sasuke 23 (Japan),National Finals - Stage 3,Shin Cliffhanger,4.0
35,1.0,Sasuke 23 (Japan),National Finals - Stage 3,Jumping Bars,5.0
36,1.0,Sasuke 23 (Japan),National Finals - Stage 3,Hang Climb,6.0
37,1.0,Sasuke 23 (Japan),National Finals - Stage 3,Spider Flip,7.0
38,1.0,Sasuke 23 (Japan),National Finals - Stage 3,Gliding Ring,8.0
39,1.0,Sasuke 23 (Japan),National Finals - Stage 4,Heavenly Ladder,1.0
40,1.0,Sasuke 23 (Japan),National Finals - Stage 4,G-Rope,2.0
41,2.0,Venice,Qualifying,Quad Steps,1.0
