Timestamp,How old are you?,Industry,Job title,Additional context on job title,Annual salary,Other monetary comp,Currency,Currency - other,Additional context on income,Country,State,City,Overall years of professional experience,Years of experience in field,Highest level of education completed,Gender,Race
4/27/2021 11:02,25-34,Education (Higher Education),Research and Instruction Librarian,,"55,000",0,USD,,,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:02,25-34,Computing or Tech,Change & Internal Communications Manager,,"54,600",4000,GBP,,,United Kingdom,,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White
4/27/2021 11:02,25-34,"Accounting, Banking & Finance",Marketing Specialist,,"34,000",,USD,,,US,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:02,25-34,Nonprofits,Program Manager,,"62,000",3000,USD,,,USA,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:02,25-34,"Accounting, Banking & Finance",Accounting Manager,,"60,000",7000,USD,,,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:02,25-34,Education (Higher Education),Scholarly Publishing Librarian,,"62,000",,USD,,,USA,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
4/27/2021 11:02,25-34,Publishing,Publishing Assistant,,"33,000",2000,USD,,,USA,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:03,25-34,Education (Primary/Secondary),Librarian,"High school, FT","50,000",,USD,,,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
4/27/2021 11:03,45-54,Computing or Tech,Systems Analyst,Data developer/ETL Developer,"112,000",10000,USD,,,US,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:03,35-44,"Accounting, Banking & Finance",Senior Accountant,,"45,000",0,USD,,I work for a Charter School,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:03,25-34,Nonprofits,Office Manager,,"47,500",0,USD,,,United States,,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:03,35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,,"62,000",0,USD,,,USA,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:03,35-44,"Accounting, Banking & Finance",Manager of Information Services,,"100,000",0,USD,,,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White"
4/27/2021 11:03,25-34,Law,Legal Aid Staff Attorney,non-profit law firm,"52,000",0,USD,,,United States,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,,Woman,White
4/27/2021 11:03,18-24,Health care,Patient care coordinator,,"32,000",,CAD,,,Canada,,Remote,1 year or less,1 year or less,College degree,Woman,White
4/27/2021 11:03,35-44,Utilities & Telecommunications,Quality And Compliance Specialist,,"24,000",500,GBP,,,United Kingdom ,,Lincoln,11 - 20 years,5-7 years,College degree,Man,White
4/27/2021 11:03,35-44,Business or Consulting,Executive Assistant,,"85,000",5000,USD,,,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White
4/27/2021 11:03,45-54,Art & Design,graphic designer,,"59,000",,USD,,,usa,California,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:03,35-44,Business or Consulting,Senior Manager,,"98,000",1000,USD,,,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:03,35-44,Education (Higher Education),Assistant Director of Academic Advising,,"54,000",,USD,,,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:03,25-34,Health care,Data Programmer Analyst,,"74,000",0,USD,,,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:03,35-44,Nonprofits,Program Coordinator & Assistant Editor ,,"50,000",,USD,,,United States,,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White
4/27/2021 11:03,35-44,Nonprofits,Event Planner,,"63,000",,CAD,,,Canada,,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:03,35-44,Government and Public Administration,Researcher,,"96,000",1000,USD,,,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
4/27/2021 11:03,25-34,Public Library,Teen Librarian ,,"44,500",0,USD,,,US,Florida,Bradenton,5-7 years,2 - 4 years,,Woman,White
4/27/2021 11:03,35-44,Education (Higher Education),Communications Specialist,,"60,000",0,USD,,,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
4/27/2021 11:03,25-34,Nonprofits,Program Director,I manage staff members who each manage 8-15 other people. ,"62,000",,USD,,,US,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,White
4/27/2021 11:03,35-44,Law,Bookkeeper/Billing Manager,,"48,000",4000,USD,,,USA,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
4/27/2021 11:03,35-44,Government and Public Administration,Economist,,"140,000",,USD,,,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:03,25-34,Engineering or Manufacturing,Research Engineer,,"80,000",,USD,,,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:03,25-34,Nonprofits,Volunteer and Giving Coordinator,,"39,000",,USD,,,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:03,35-44,Media & Digital,Editor,,"125,000",0,USD,,,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:03,25-34,"Accounting, Banking & Finance",Financial Advisor,,"230,000",,USD,,Commission based,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:03,35-44,"Accounting, Banking & Finance",Accounting Manager,,"110,000",15000,USD,,,US,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:03,25-34,Nonprofits,Administrative and HR Manager,,"50,000",,USD,,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:03,35-44,Education (Higher Education),Senior IRB Analyst,"State university, higher ed research adminstration","68,000",0,USD,,,USA,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:03,18-24,Media & Digital,Reporter,,"41,000",100,USD,,,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:03,25-34,"Accounting, Banking & Finance",Senior Administrator ,,"76,000",10000,USD,,,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:03,35-44,Government and Public Administration,Staff Services Manager II,"Mid-level manager, team of 13","78,000",0,USD,,,USA,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:03,25-34,"Accounting, Banking & Finance",Receptionist,,"37,000",0,USD,,,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:04,45-54,Engineering or Manufacturing,Lead Engineer,supervisor level with no direct reports,"100,000",50000,USD,,,USA,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:04,35-44,"Marketing, Advertising & PR",Senior Copywriter,,"35,000",6000,GBP,,,UK,,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:04,25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,,"65,000",0,USD,,,USA,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White
4/27/2021 11:04,25-34,Computing or Tech,Principal Software Engineer,,"187,500",5000,USD,,,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:04,25-34,Computing or Tech,Intelligence Analyst,,"110,000",20000,USD,,"Around 20,000 a year in stock",USA,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
4/27/2021 11:04,25-34,Nonprofits,Project Manager,,"66,625",1500,USD,,,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:04,35-44,Computing or Tech,Mobile developer,,"144,600",2500,USD,,,USA,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White
4/27/2021 11:04,35-44,Computing or Tech,Product Design Director,,"200,850",40000,USD,,,USA,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:04,25-34,Engineering or Manufacturing,Engineering specialist,,"120,000",1500,CAD,,,Canada,,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:04,25-34,Retail,"Manager, Total Rewards",,"97,500",10000,CAD,,,Canada,,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:04,35-44,Education (Higher Education),Research and Development Engineer 3,Process Engineer in a University Cleanroom,"96,000",,USD,,,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White
4/27/2021 11:04,25-34,Education (Primary/Secondary),Science Teacher (Public High School),,"53,000",1000,USD,,,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White
4/27/2021 11:04,25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",,"95,000",10000,USD,,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:04,35-44,Computing or Tech,Managed Services Sales Coordinator,Primarily proposal writing,"72,000",3000,USD,,,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:04,35-44,Media & Digital,Editor,,"52,000",0,CAD,,,Canada,,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
4/27/2021 11:04,35-44,Engineering or Manufacturing,Water Resources Engineer,,"106,000",0,USD,,,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
