CarMake,Speed per hour,Time it Took for Destination (Hours)
Toyota,69,5.5
Ford,85,4
Toyota,85,4.5
Kia,75,4
BMW,50,6
Lexus,55,6.5
Audi,69,5
Audi,90,3
Ford,45,7
Honda,35,11
Subaru,30,14
Subaru,25,15
Kia,69,5.5
Lexus,71,5
Chevorlet,45,8
Chevorlet,45,8
Chevorlet,78,4
Toyota,98,3
Volkswagon,110,2.5
Kia,45,7
Honda,89,3
Honda,78,4
BMW,100,2.5
Ford,43,10
Tesla,100,2.5
Tesla,120,2
Tesla,120,1.75
Tesla,85,4
Audi,10,20
Toyota,78,4.5
Volkswagon,64,5
Volkswagon,73,4.5
Lexus,70,4.5
Tesla,60,6
Honda,45,8.5
Kia,90,2
Subaru,70,4.5
Chevorlet,84,4
Toyota,96,3
BMW,99,2.5
Volkswagon,56,6
BMW,80,3
Ford,78,3
Tesla,100,2.5
