id,Entry,Profit,Sales,Loss,Taxes,Year,Rate,Interest,Gender,Smoker,IQ,Fruit,y-data1,y-data2,y-data3,Date,Month,Time,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
1,0,800,1200,-200,100,2015,0.5,0.1,male,yes,115,apple,5,4,3,6/17/20,June,8:00,1,4,5,8,9,3,4,7,8,2,3,6,7,1,2,5
2,1,100,800,-300,120,2020,0.3,0.2,female,no,90,berry,1,0,-1,7/11/20,July,16:00,2,3,6,7,1,2,5,6,9,1,4,5,8,9,3,4
3,2,400,650,-100,120,2013,0.8,0.3,female,yes,100,cherry,4,3,2,1/6/20,January,12:00,3,2,7,6,2,1,6,5,1,9,5,4,9,8,4,3
4,3,840,1250,-150,100,2012,1.2,0.4,male,no,90,banana,4,3,2,1/9/20,January,10:00,4,1,8,5,3,9,7,4,2,8,6,3,1,7,5,2
5,4,200,330,-189,110,2011,0.3,0.2,female,no,112,orange,2,1,0,7/24/20,July,3:00,5,9,9,4,4,8,8,3,3,7,7,2,2,6,6,1
6,5,2000,2200,-280,30,2011,0.3,0.6,male,yes,105,apple,2,1,0,11/6/20,November,15:00,6,8,1,3,5,7,9,2,4,6,8,1,3,5,7,9
7,6,300,500,-360,120,2012,0.3,0.3,male,no,108,grape,4,3,2,11/28/20,November,6:00,7,7,2,2,6,6,1,1,5,5,9,9,4,4,8,8
8,7,2003,3000,-280,300,2012,0.2,0.1,male,yes,100,apple,3,2,1,2/18/20,February,19:00,8,6,3,1,7,5,2,9,6,4,1,8,5,3,9,7
9,8,200,400,-340,20,2013,0.5,0.05,female,no,110,banana,2,1,-1,10/13/20,October,21:00,9,5,4,9,8,4,3,8,7,3,2,7,6,2,1,6
10,9,100,200,-350,80,2011,0.9,0.5,male,yes,118,orange,3,2,1,12/11/20,December,7:00,1,4,5,8,9,3,4,7,8,2,3,6,7,1,2,5
11,10,800,1200,-200,200,2011,1,0.6,male,no,120,grape,3,2,1,11/14/20,November,11:00,2,3,6,7,1,2,5,6,9,1,4,5,8,9,3,4
