id,Provider,Location,Latitude,Longitude,Access Location,Borough,Neighborhood,Postal Code
1,LinkNYC - Citybridge,179 WEST 26 STREET,40.75,-73.99,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10001.0
2,LinkNYC - Citybridge,25 EAST 29 STREET,40.74,-73.99,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10016.0
3,LinkNYC - Citybridge,1515 BROADWAY,40.76,-73.99,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10036.0
4,LinkNYC - Citybridge,201 WEST 48 STREET,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10036.0
5,LinkNYC - Citybridge,1600 Broadway,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
6,LinkNYC - Citybridge,1668 Broadway,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
7,LinkNYC - Citybridge,1626 Broadway,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
8,LinkNYC - Citybridge,1606 Broadway,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
9,LinkNYC - Citybridge,300 Madison Ave,40.75,-73.98,Outdoor Kiosk,Manhattan,Murray Hill-Kips Bay,10017.0
10,LinkNYC - Citybridge,370 Lexington Ave,40.75,-73.98,Outdoor Kiosk,Manhattan,Murray Hill-Kips Bay,10017.0
11,LinkNYC - Citybridge,232 Madison Ave,40.75,-73.98,Outdoor Kiosk,Manhattan,Murray Hill-Kips Bay,10016.0
12,LinkNYC - Citybridge,402 8 Avenue,40.75,-74.0,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10001.0
13,LinkNYC - Citybridge,488 Madison Ave,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10022.0
14,LinkNYC - Citybridge,1611 Broadway,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
15,LinkNYC - Citybridge,598 Madison Ave,40.76,-73.97,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10022.0
16,LinkNYC - Citybridge,1605 Broadway,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
17,LinkNYC - Citybridge,736 7 AVENUE,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
18,LinkNYC - Citybridge,555 Madison Ave,40.76,-73.97,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10022.0
19,LinkNYC - Citybridge,745 7 AVENUE,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
20,LinkNYC - Citybridge,69 5Th Ave,40.74,-73.99,Outdoor Kiosk,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,10003.0
21,LinkNYC - Citybridge,117 East 14Th St,40.73,-73.99,Outdoor Kiosk,Manhattan,Gramercy,10003.0
22,LinkNYC - Citybridge,777 7 AVENUE,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
23,LinkNYC - Citybridge,300 Madison Ave,40.75,-73.98,Outdoor Kiosk,Manhattan,Murray Hill-Kips Bay,10017.0
24,LinkNYC - Citybridge,382 8 Avenue,40.75,-74.0,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10001.0
25,LinkNYC - Citybridge,302 5 AVENUE,40.75,-73.99,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10001.0
26,LinkNYC - Citybridge,408 8 Avenue,40.75,-73.99,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10001.0
27,LinkNYC - Citybridge,159 WEST 52 STREET,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
28,LinkNYC - Citybridge,410 Madison Ave,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10017.0
29,LinkNYC - Citybridge,243 West 27Th St,40.75,-74.0,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10001.0
30,LinkNYC - Citybridge,458 7 AVE,40.75,-73.99,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10123.0
31,LinkNYC - Citybridge,590 Lexington Ave,40.76,-73.97,Outdoor Kiosk,Manhattan,Turtle Bay-East Midtown,10154.0
32,LinkNYC - Citybridge,260 West 52St,40.76,-73.99,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
33,LinkNYC - Citybridge,900 8 Avenue,40.76,-73.98,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
34,LinkNYC - Citybridge,828 8 Avenue,40.76,-73.99,Outdoor Kiosk,Manhattan,Midtown-Midtown South,10019.0
35,LinkNYC - Citybridge,1170 Broadway,40.75,-73.99,Outdoor Kiosk,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,10001.0
