id,State or region,Total adults in correctional facilities,White adults in correctional facilities,Black or African American adults in correctional facilities,American Indian and Alaska Native adults in correctional facilities,Asian adults in correctional facilities,Native Hawaiian and other Pacific Islander adults in correctional facilities,Adults of some other race in correctional facilities,Adults of two or more races in correctional facilities,Hispanic or Latino adults in correctional facilities,Total US Population,Total US Population: White adults,Total US Population: Black or African American adults,Total US Population: American Indian and Alaska Native adults,Total US Population of Asian adults,Total US Population: Native Hawaiian and other Pacific Islander adults,Total US Population: Some other race adults,Total US Population: Adults of two or more races,Total US Population: Hispanic or Latino adults,"Incarceration rate per 100,000 adults","Incarceration rate per 100,000 of White adults","Incarceration rate per 100,000 of Black or African American adults","Incarceration rate per 100,000 of American Indian and Alaska Native adults","Incarceration rate per 100,000 of Asian adults","Incarceration rate per 100,000 of Native Hawaiian and other Pacific Islander adults","Incarceration rate per 100,000 of some other race adults","Incarceration rate per 100,000 of adults of two or more races","Incarceration rate per 100,000 of Hispanic or Latino adults"
1,United States,2263602.0,1139749.0,897875.0,37854.0,16928.0,5494.0,142908.0,22794.0,419509.0,308745538.0,223553265.0,38929319.0,2932248.0,14674252.0,540013.0,19107368.0,9009073.0,50477594.0,733.1610409,509.8333053,2306.423598,1290.954926,115.3585205,1017.382915,747.9209067,253.0116029,831.0796271
2,Alabama,41177.0,18087.0,22377.0,80.0,57.0,3.0,283.0,290.0,1423.0,4779736.0,3275394.0,1251311.0,28218.0,53595.0,3057.0,96910.0,71251.0,185602.0,861.4910949,552.2083755,1788.284447,283.5069814,106.3532046,98.13542689,292.023527,407.0118314,766.6943244
3,Alaska,4206.0,1812.0,301.0,1579.0,44.0,49.0,31.0,390.0,255.0,710231.0,473576.0,23263.0,104871.0,38135.0,7409.0,11102.0,51875.0,39249.0,592.2016921,382.6207409,1293.900185,1505.659334,115.3795726,661.3578081,279.2289678,751.8072289,649.6980815
4,Arizona,67767.0,36160.0,8246.0,6723.0,1136.0,1029.0,12876.0,1597.0,27534.0,6392017.0,4667121.0,259008.0,296529.0,176695.0,12648.0,761716.0,218300.0,1895149.0,1060.181786,774.7817123,3183.685446,2267.231873,642.9157588,8135.673624,1690.393795,731.5620705,1452.867294
5,Arkansas,25844.0,13844.0,10943.0,167.0,115.0,10.0,553.0,212.0,1703.0,2915918.0,2245229.0,449895.0,22248.0,36102.0,5863.0,99571.0,57010.0,186050.0,886.3075025,616.5963472,2432.345325,750.62927,318.541909,170.5611462,555.3825913,371.8645852,915.3453373
6,California,256807.0,130010.0,69806.0,3615.0,4590.0,892.0,44467.0,3427.0,106039.0,37253956.0,21453934.0,2299072.0,362801.0,4861007.0,144386.0,6317372.0,1815384.0,14013719.0,689.3415561,605.9960844,3036.268547,996.4140121,94.42487945,617.7884282,703.8844633,188.7754877,756.6799363
7,Colorado,40568.0,28673.0,7365.0,1646.0,383.0,49.0,1830.0,622.0,13296.0,5029196.0,4089202.0,201737.0,56010.0,139028.0,6623.0,364140.0,172456.0,1038687.0,806.6498104,701.1881536,3650.792864,2938.760936,275.4840752,739.8459912,502.5539628,360.6717076,1280.077636
8,Connecticut,20059.0,7108.0,8187.0,86.0,125.0,49.0,4249.0,255.0,5726.0,3574097.0,2772410.0,362296.0,11256.0,135565.0,1428.0,198466.0,92676.0,479087.0,561.2326694,256.3834354,2259.754455,764.0369581,92.20669052,3431.372549,2140.920863,275.1521429,1195.190018
9,Delaware,6457.0,2529.0,3840.0,6.0,8.0,4.0,46.0,24.0,183.0,897934.0,618617.0,191814.0,4181.0,28549.0,400.0,30519.0,23854.0,73221.0,719.0951674,408.8151473,2001.939379,143.5063382,28.02199727,1000.0,150.7257774,100.6120567,249.9282993
10,District of Columbia,3598.0,204.0,3146.0,21.0,23.0,1.0,99.0,104.0,288.0,601723.0,231471.0,305125.0,2079.0,21056.0,302.0,24374.0,17316.0,54749.0,597.9495549,88.13199062,1031.052847,1010.10101,109.2325228,331.1258278,406.1705096,600.6006006,526.0370052
11,Florida,167453.0,86177.0,76640.0,422.0,449.0,36.0,2408.0,1321.0,22640.0,18801310.0,14109162.0,2999862.0,71458.0,454821.0,12286.0,681144.0,472577.0,4223806.0,890.6453859,610.7875152,2554.784187,590.5566906,98.72015584,293.0164415,353.5228968,279.5311663,536.0094663
12,Georgia,104012.0,39434.0,60078.0,187.0,379.0,41.0,3144.0,749.0,9382.0,9687653.0,5787440.0,2950435.0,32151.0,314467.0,6799.0,388872.0,207489.0,853689.0,1073.655301,681.3720747,2036.242113,581.6304314,120.5213902,603.0298573,808.4922545,360.9829919,1098.995067
13,Hawaii,5673.0,1397.0,221.0,26.0,1208.0,2187.0,176.0,458.0,501.0,1360301.0,336599.0,21424.0,4164.0,525078.0,135422.0,16985.0,320629.0,120842.0,417.0400522,415.0339128,1031.553398,624.3996158,230.0610576,1614.95178,1036.208419,142.8442218,414.5909535
14,Idaho,11275.0,9785.0,319.0,378.0,30.0,21.0,544.0,198.0,1804.0,1567582.0,1396487.0,9810.0,21441.0,19069.0,2317.0,79523.0,38935.0,175901.0,719.2606192,700.6867948,3251.783894,1762.977473,157.3234045,906.3444109,684.07882,508.5398741,1025.576887
15,Illinois,70828.0,25975.0,39722.0,361.0,250.0,14.0,4073.0,433.0,9572.0,12830632.0,9177877.0,1866414.0,43963.0,586934.0,4050.0,861412.0,289982.0,2027578.0,552.0226907,283.0175214,2128.25236,821.1450538,42.59422695,345.6790123,472.828333,149.3196129,472.0903462
16,Indiana,48694.0,30816.0,16644.0,164.0,77.0,13.0,753.0,227.0,3045.0,6483802.0,5467906.0,591397.0,18462.0,102474.0,2348.0,173314.0,127901.0,389707.0,751.0099784,563.5795495,2814.353133,888.3111256,75.14101138,553.6626917,434.4715372,177.4810205,781.3562497
17,Iowa,13309.0,9561.0,3096.0,252.0,93.0,14.0,146.0,147.0,1048.0,3046355.0,2781561.0,89148.0,11084.0,53094.0,2003.0,56132.0,53333.0,151544.0,436.8827665,343.7278564,3472.876565,2273.547456,175.1610351,698.9515726,260.1011901,275.6267227,691.5483292
18,Kansas,18009.0,11375.0,5549.0,337.0,157.0,7.0,352.0,232.0,2618.0,2853118.0,2391044.0,167864.0,28150.0,67762.0,2238.0,110127.0,85933.0,300042.0,631.2041773,475.7336126,3305.652195,1197.158082,231.6932794,312.7792672,319.6309715,269.9777734,872.5445104
19,Kentucky,41122.0,27833.0,11966.0,252.0,116.0,14.0,486.0,455.0,2201.0,4339367.0,3809537.0,337520.0,10120.0,48930.0,2501.0,55551.0,75208.0,132836.0,947.6497379,730.6137202,3545.271391,2490.118577,237.0733701,559.7760896,874.8717395,604.988831,1656.93035
20,Louisiana,60804.0,19947.0,39919.0,149.0,120.0,10.0,361.0,298.0,2145.0,4533372.0,2836192.0,1452396.0,30579.0,70132.0,1963.0,69227.0,72883.0,192560.0,1341.253266,703.3021742,2748.492835,487.2625004,171.1059146,509.4243505,521.4728357,408.8744975,1113.938513
21,Maine,3679.0,3305.0,244.0,64.0,20.0,2.0,20.0,24.0,69.0,1328361.0,1264971.0,15707.0,8568.0,13571.0,342.0,4261.0,20941.0,16935.0,276.957845,261.2708117,1553.447507,746.9654528,147.3730749,584.7953216,469.3733865,114.6077074,407.4402126
22,Maryland,35832.0,10773.0,24431.0,43.0,105.0,8.0,307.0,165.0,1462.0,5773552.0,3359284.0,1700298.0,20420.0,318853.0,3157.0,206832.0,164708.0,470632.0,620.623145,320.6933382,1436.865773,210.5778648,32.93053539,253.4051315,148.4296434,100.1772834,310.6461099
23,Massachusetts,24683.0,16357.0,6526.0,185.0,225.0,16.0,1182.0,192.0,5822.0,6547629.0,5265236.0,434398.0,18850.0,349768.0,2223.0,305151.0,172003.0,627654.0,376.9761543,310.6603389,1502.308942,981.4323607,64.3283548,719.7480882,387.349214,111.62596,927.5811195
24,Michigan,62083.0,30301.0,30367.0,573.0,213.0,7.0,251.0,371.0,2567.0,9883640.0,7803120.0,1400362.0,62007.0,238199.0,2604.0,147029.0,230319.0,436358.0,628.1390257,388.3190314,2168.510714,924.0892157,89.42103031,268.8172043,170.7146209,161.0809356,588.2784319
25,Minnesota,20397.0,11335.0,6368.0,1612.0,446.0,19.0,302.0,315.0,2401.0,5303925.0,4524062.0,274412.0,60916.0,214234.0,2156.0,103000.0,125145.0,250258.0,384.5642614,250.5491746,2320.598225,2646.266991,208.183575,881.2615955,293.2038835,251.7080187,959.409889
26,Mississippi,34273.0,12722.0,19634.0,155.0,181.0,16.0,950.0,615.0,3967.0,2967297.0,1754684.0,1098385.0,15030.0,25742.0,1187.0,38162.0,34107.0,81481.0,1155.024253,725.0308318,1787.533515,1031.270792,703.1310698,1347.935973,2489.387349,1803.148914,4868.619678
27,Missouri,41956.0,24992.0,16202.0,188.0,43.0,34.0,264.0,233.0,1389.0,5988927.0,4958770.0,693391.0,27376.0,98083.0,6261.0,80457.0,124589.0,212470.0,700.5595493,503.9959506,2336.632578,686.7329047,43.84042087,543.0442421,328.1255826,187.014905,653.7393514
28,Montana,5338.0,3766.0,145.0,1196.0,13.0,0.0,150.0,68.0,284.0,989415.0,884961.0,4027.0,62555.0,6253.0,668.0,5975.0,24976.0,28565.0,539.510721,425.5554765,3600.695307,1911.917513,207.9002079,0.0,2510.460251,272.2613709,994.2237003
29,Nebraska,8084.0,5394.0,2032.0,328.0,51.0,2.0,198.0,79.0,1452.0,1826341.0,1572838.0,82885.0,18427.0,32293.0,1279.0,79109.0,39510.0,167405.0,442.6336593,342.9469532,2451.589552,1779.996744,157.9289629,156.3721658,250.2875779,199.9493799,867.3576058
30,Nevada,19891.0,12015.0,5736.0,426.0,415.0,44.0,924.0,331.0,4553.0,2700551.0,1786688.0,218626.0,32062.0,195436.0,16871.0,324793.0,126075.0,716501.0,736.5533923,672.4733138,2623.658668,1328.675691,212.3457295,260.8025606,284.4888898,262.5421376,635.4492178
31,New Hampshire,4851.0,4288.0,337.0,36.0,24.0,2.0,96.0,68.0,350.0,1316470.0,1236050.0,15035.0,3150.0,28407.0,384.0,12062.0,21382.0,36704.0,368.4854193,346.9115327,2241.436648,1142.857143,84.48621819,520.8333333,795.8879125,318.0245066,953.5745423
32,New Jersey,44468.0,16563.0,23999.0,211.0,370.0,48.0,2526.0,751.0,9470.0,8791894.0,6029248.0,1204826.0,29026.0,725726.0,3043.0,559722.0,240303.0,1555144.0,505.7840779,274.710876,1991.905885,726.9344725,50.98342901,1577.390733,451.2954645,312.5221075,608.9468242
33,New Mexico,17907.0,12694.0,1110.0,2020.0,57.0,8.0,1746.0,272.0,9345.0,2059179.0,1407876.0,42550.0,193222.0,28208.0,1810.0,308503.0,77010.0,953403.0,869.6184256,901.641906,2608.695652,1045.429609,202.0703347,441.9889503,565.9588399,353.200883,980.1731272
34,New York,95306.0,33918.0,50859.0,758.0,797.0,55.0,8435.0,484.0,20753.0,19378102.0,12740974.0,3073800.0,106906.0,1420244.0,8766.0,1441563.0,585849.0,3416922.0,491.823193,266.2119866,1654.596916,709.0341047,56.1171179,627.4241387,585.1287804,82.61514486,607.359489
35,North Carolina,61680.0,24598.0,34099.0,1078.0,220.0,18.0,1310.0,357.0,3926.0,9535483.0,6528950.0,2048628.0,122110.0,208962.0,6604.0,414030.0,206199.0,800120.0,646.8471497,376.7527704,1664.479837,882.8105806,105.2823001,272.5620836,316.4021931,173.1337203,490.6763985
36,North Dakota,2489.0,1534.0,133.0,726.0,3.0,5.0,57.0,31.0,139.0,672591.0,605449.0,7960.0,36591.0,6909.0,320.0,3509.0,11853.0,13467.0,370.0614489,253.365684,1670.854271,1984.094449,43.42162397,1562.5,1624.394414,261.5371636,1032.152669
37,Ohio,76590.0,41674.0,32877.0,178.0,261.0,13.0,1084.0,503.0,3802.0,11536504.0,9539437.0,1407681.0,25292.0,192233.0,4066.0,130030.0,237765.0,354674.0,663.8926316,436.8601627,2335.543351,703.7798513,135.7727341,319.724545,833.6537722,211.5534246,1071.970316
38,Oklahoma,40562.0,24054.0,10540.0,3407.0,170.0,36.0,1504.0,851.0,6229.0,3751351.0,2706845.0,277644.0,321687.0,65076.0,4369.0,154409.0,221321.0,332007.0,1081.26379,888.636032,3796.228264,1059.104036,261.2330199,823.9871824,974.0364875,384.5093778,1876.165262
39,Oregon,22203.0,17407.0,2211.0,700.0,342.0,61.0,1115.0,367.0,3641.0,3831074.0,3204614.0,69206.0,53203.0,141263.0,13404.0,204625.0,144759.0,450062.0,579.5502775,543.1855443,3194.809699,1315.715279,242.1016119,455.0880334,544.8992059,253.524824,808.9996489
40,Pennsylvania,97820.0,41426.0,45030.0,277.0,531.0,23.0,9615.0,918.0,14399.0,12702379.0,10406288.0,1377689.0,26843.0,349088.0,3653.0,300983.0,237835.0,719660.0,770.0919647,398.086234,3268.51706,1031.926387,152.1106426,629.6194908,3194.532582,385.9818782,2000.805936
41,Rhode Island,3783.0,1985.0,1134.0,27.0,46.0,0.0,560.0,31.0,910.0,1052567.0,856869.0,60189.0,6058.0,30457.0,554.0,63653.0,34787.0,130655.0,359.4070496,231.6573479,1884.065195,445.6916474,151.0326033,0.0,879.770003,89.11374939,696.4907581
