"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","high school","standard","none","76","82","86"
"male","group A","master's degree","standard","none","71","65","61"
"male","group D","high school","standard","none","89","81","72"
"male","group A","some college","standard","completed","100","88","92"
"male","group D","high school","standard","none","70","68","68"
"male","group C","bachelor's degree","standard","completed","79","77","78"
"male","group C","bachelor's degree","standard","completed","92","78","81"
"male","group D","high school","standard","none","94","89","91"
"male","group A","bachelor's degree","standard","completed","77","73","69"
"male","group C","high school","free/reduced","none","43","44","40"
"female","group C","some college","standard","completed","84","87","91"
"male","group C","some college","standard","none","72","60","56"
"female","group C","some college","standard","none","55","67","68"
"male","group C","master's degree","standard","none","89","83","81"
"female","group C","some college","free/reduced","completed","66","77","81"
"male","group B","high school","standard","completed","70","81","78"
"male","group C","bachelor's degree","standard","none","87","79","72"
"female","group C","some college","free/reduced","completed","81","100","96"
"female","group E","some college","standard","completed","89","91","94"
"male","group B","bachelor's degree","free/reduced","completed","86","88","90"
"female","group E","some college","free/reduced","none","67","79","75"
"female","group C","high school","standard","none","57","58","58"
"male","group C","high school","standard","none","84","65","64"
"male","group B","some college","free/reduced","none","72","72","64"
"female","group C","high school","standard","none","59","53","64"
"male","group B","some high school","free/reduced","none","38","40","33"
"female","group D","associate's degree","free/reduced","completed","68","68","77"
"female","group C","some college","free/reduced","none","39","44","43"
"female","group E","bachelor's degree","standard","none","84","88","85"
"male","group D","bachelor's degree","free/reduced","none","63","69","62"
"female","group D","some college","free/reduced","completed","72","83","85"
"female","group D","high school","standard","none","73","75","74"
"male","group D","bachelor's degree","free/reduced","none","53","50","45"
"female","group B","associate's degree","standard","completed","72","77","80"
"female","group D","high school","standard","none","53","55","56"
"male","group D","bachelor's degree","free/reduced","none","54","54","48"
"male","group C","bachelor's degree","standard","none","62","52","50"
"male","group D","some high school","standard","completed","82","69","71"
"male","group D","bachelor's degree","standard","none","69","69","66"
"female","group D","high school","standard","completed","99","98","95"
"female","group C","high school","standard","completed","79","91","88"
"female","group D","some high school","standard","none","41","52","49"
"female","group C","some high school","standard","completed","78","94","90"
"female","group B","high school","free/reduced","completed","54","62","68"
"male","group C","associate's degree","standard","completed","47","52","50"
"female","group B","high school","free/reduced","completed","53","60","58"
"male","group D","some college","standard","completed","91","91","90"
"male","group B","some high school","free/reduced","none","66","65","54"
"male","group C","some college","standard","none","79","77","68"
"female","group D","some high school","standard","none","77","80","84"
"female","group D","high school","standard","none","74","86","85"
"male","group D","associate's degree","standard","none","80","72","74"
"male","group E","bachelor's degree","standard","completed","90","81","81"
"female","group B","some college","free/reduced","completed","51","61","62"
"male","group C","some college","free/reduced","completed","46","53","53"
"female","group B","some college","standard","none","45","60","51"
"female","group C","some high school","standard","completed","60","74","69"
"female","group B","high school","standard","none","56","72","69"
"male","group C","high school","free/reduced","completed","63","62","65"
"female","group C","some high school","standard","completed","56","72","69"
"female","group C","associate's degree","standard","none","64","78","75"
"female","group C","some college","free/reduced","none","69","73","75"
"male","group C","high school","standard","none","68","66","63"
"female","group A","some college","free/reduced","none","34","44","47"
"female","group C","master's degree","standard","none","94","97","100"
"female","group A","some high school","free/reduced","none","53","66","66"
"male","group C","high school","free/reduced","none","59","56","49"
"female","group C","associate's degree","free/reduced","none","42","54","61"
"male","group C","some college","standard","none","73","74","71"
"female","group D","some high school","standard","none","71","76","80"
"female","group D","associate's degree","free/reduced","completed","52","63","62"
"female","group B","some college","standard","completed","58","71","68"
"male","group D","high school","free/reduced","none","54","53","49"
"male","group B","some college","free/reduced","none","70","64","60"
"male","group B","associate's degree","standard","completed","92","94","91"
"female","group D","associate's degree","standard","none","71","84","78"
"female","group C","some high school","standard","none","74","79","78"
"male","group C","some high school","standard","none","61","64","60"
"male","group E","associate's degree","standard","none","81","78","74"
"female","group D","associate's degree","free/reduced","completed","38","62","61"
"female","group E","master's degree","standard","none","75","86","82"
"female","group D","some college","standard","completed","91","100","100"
"female","group C","some high school","standard","none","49","57","55"
"female","group B","some high school","free/reduced","none","68","81","77"
"male","group E","some college","standard","completed","92","91","89"
"male","group B","high school","standard","completed","36","35","32"
"male","group E","some high school","standard","none","63","60","54"
"male","group C","some college","standard","none","79","73","71"
"male","group B","high school","free/reduced","completed","41","53","49"
"female","group C","associate's degree","standard","none","67","71","72"
"female","group C","high school","standard","completed","79","95","92"
"female","group E","high school","free/reduced","completed","56","73","70"
"male","group B","associate's degree","standard","none","86","72","74"
"male","group D","some high school","standard","none","49","46","47"
"female","group C","bachelor's degree","standard","none","67","77","79"
"female","group C","master's degree","free/reduced","none","30","45","47"
"female","group C","master's degree","standard","completed","82","95","96"
"female","group B","some college","standard","completed","55","65","62"
"female","group C","high school","standard","completed","93","90","95"
"male","group B","high school","standard","completed","73","73","71"
