id,codes
12,1
19,1
49,1
58,1
97,1
155,1
166,1
223,1
215,1
6,2
8,2
30,2
96,2
132,2
169,2
214,2
29,3
147,3
192,3
243,3
203,4
242,5
3,6
188,7
220,7
213,8
247,8
173,10
95,11
177,12
77,13
238,19
225,23
241,26
181,28
150,31
190,33
98,35
240,36
198,39
191,43
152,44
216,49
73,54
196,59
157,62
163,80
245,80
133,86
10,87
21,89
72,89
248,123
50,127
102,136
141,170
17,219
187,224
180,227
224,261
143,321
175,349
82,367
144,388
135,397
105,412
168,444
222,511
28,550
2,553
226,558
146,689
211,698
230,739
139,752
68,789
140,798
148,804
69,840
9,871
7,889
66,941
159,1052
134,1104
84,1165
81,1453
138,1462
136,2140
87,3384
52,3545
31,3812
178,5753
185,6069
183,7846
137,10033
170,10144
0,17014
231,17630
127,22611
237,25605
239,40411
