id,Lab 0A,Lab 0B,Lab 1 Worksheet,Lab 2A,Lab 2B,Lab 3A,Lab 3B,Lab 4A,Lab 4B,Lab 5A,Lab 5B,Lab 6A,Lab 6B,Lab 7A,Lab 7B,Lab 8A,Lab 8B,Lab 9A,Lab 9B,Lab 10A,Lab 10B,Lab 11A,Lab 11B,CS135 ABET Direct Assessment,ABET Quiz Participation Points,Research Current Score,Research Unposted Current Score,Research Final Score,Research Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,ABET Participation Points Current Score,ABET Participation Points Unposted Current Score,ABET Participation Points Final Score,ABET Participation Points Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Group
e059ca4cd8c71c7e494ce63127d03852fe1fed8e5b24b63625129d434879c213,100,100,88,90,93,100,53.34,100,100,100,0,98.5,86,,,,,,,,,,,,,,,,,83.64,83.64,35.95,35.95,,,0,0,,,0,0,83.64,83.64,34.15,34.15,G1
c077b4ad94a4fcbb77d1e824387e6e80b549103a6b2a0061d1ad7afc067a53bb,100,100,100,93,93,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,99.14,99.14,42.61,42.61,,,0,0,,,0,0,99.14,99.14,40.48,40.48,G1
83885ea1bc6c17d41febb012beafb9efd948322e8b4505dca556b713dc028712,100,100,94,0,83.5,96.69,100,99.75,88.5,100,0,100,0,,,,,,,,,,,,,,,,,71.67,71.67,30.81,30.81,,,0,0,,,0,0,71.67,71.67,29.27,29.27,G1
f2534d3cc2d14ff15bf9920fbd57cddf1430400ca09e2fda086baccabb7cbdb4,100,100,100,98.5,76.7,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,98.48,98.48,42.33,42.33,,,0,0,,,0,0,98.48,98.48,40.21,40.21,G1
6059822b92e7922be05754c4cf4ded4ad50a2474ce8d494288db3e2eb8984b6b,100,100,94,89.3,95,100,100,99.5,97,100,96.36,100,100,,,,,,,,,,,,,,,,,97.81,97.81,42.04,42.04,,,0,0,,,0,0,97.81,97.81,39.94,39.94,G1
1df8a71bbffa404021d2a39b63a296b9ac50930a65667aa9c64959a0af3d49ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1
398f475906baf2a072484a06cbb1719cf4c917ade96c30596e75c694ba3f43da,85,100,56,0,0,22.14,25.06,51,99.5,91.29,86.36,75.42,78.34,,,,,,,,,,,,,,,,,60.93,60.93,26.19,26.19,,,0,0,,,0,0,60.93,60.93,24.88,24.88,G1
aa74eb3a2698642518fae08d84d6ed067dadac4bc2c99fcedcc188f5b54a5d47,100,100,64,0,93,17.63,29.74,47.5,89.5,0,24.2,79,0,,,,,,,,,,,,,,,,,45.24,45.24,19.44,19.44,,,0,0,,,0,0,45.24,45.24,18.47,18.47,G1
30755b3d45039c1351f549e78127b3f9508085b645b88055ce98ff9a4d202415,100,100,94,92,71,100,100,97,98.6,100,97.27,100,100,,,,,,,,,,,,,,,,,96.51,96.51,41.48,41.48,,,0,0,,,0,0,96.51,96.51,39.41,39.41,G1
3faaad14a17e823f4a7324ce121560f485b1d5e5dde26dfb0d71ae3830964e99,100,100,48,100,96.23,97.6,35.14,100,99.5,61.09,95.91,0,0,,,,,,,,,,,,,,,,,65.26,65.26,28.05,28.05,,,0,0,,,0,0,65.26,65.26,26.65,26.65,G1
cad688cd5dd96609689d3098d07dec59d51050529f7898d7ede009e7bd6f0873,100,100,82,23.5,95.73,98.51,48.51,20,93.5,63.62,95.44,77.92,100,,,,,,,,,,,,,,,,,76.36,76.36,32.82,32.82,,,0,0,,,0,0,76.36,76.36,31.18,31.18,G1
299d245b8fecfabb7e18ecd7c0560516697f3da7d4e4c1df8481f3db08e22901,100,100,76,86,96.5,100,100,95.5,99.75,100,100,100,100,,,,,,,,,,,,,,,,,96.09,96.09,41.3,41.3,,,0,0,,,0,0,96.09,96.09,39.24,39.24,G1
2d31b840289163929bd0717c06a71232c42a73b3267ec276c3670cc120129599,100,100,100,92.5,90.5,20.63,17.17,93,100,0,0,0,0,,,,,,,,,,,,,,,,,48.03,48.03,20.64,20.64,,,0,0,,,0,0,48.03,48.03,19.61,19.61,G1
da88c2aa5d164657b7d1a09370339ae9bf89d1a2921c4c64ad9447e2bfe1fdcd,100,100,100,97.77,96.5,100,100,99.75,100,94.56,97.27,100,100,,,,,,,,,,,,,,,,,98.88,98.88,42.5,42.5,,,0,0,,,0,0,98.88,98.88,40.37,40.37,G1
