id,Lab 0A,Lab 0B,Lab 1 Worksheet,Lab 2A,Lab 2B,Lab 3A,Lab 3B,Lab 4A,Lab 4B,Lab 5A,Lab 5B,Lab 6A,Lab 6B,Lab 7A,Lab 7B,Lab 8A,Lab 8B,Lab 9A,Lab 9B,Lab 10A,Lab 10B,Lab 11A,Lab 11B,CS135 ABET Direct Assessment,ABET Quiz Participation Points,Research Current Score,Research Unposted Current Score,Research Final Score,Research Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,ABET Participation Points Current Score,ABET Participation Points Unposted Current Score,ABET Participation Points Final Score,ABET Participation Points Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
c1530782425a76cfc6c19c78662a10f2e781830129ceeb0d16ddfbdcecb04db0,100,100,86.4,100,100,0,27,100,100,100,0,0,0,,,,,,,,,,,,,,,,,56.66,56.66,24.36,24.36,,,0,0,,,0,0,56.66,56.66,23.14,23.14
9d55a39b27513a3ef1848bb9ae332d4f3313d60854bc3b468b51efbb27f1280e,100,100,70,98.5,100,97.74,95.51,100,100,100,100,100,100,,,,,,,,,,,,,,,,,96.36,96.36,41.42,41.42,,,0,0,,,0,0,96.36,96.36,39.35,39.35
ec29950c060048d439928fdaf14d996a7647176a217e85ee0a592322b7618971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ff483d866233acc2488dd0e635b4849e2759d469cbf4c397d17cfb4a0b51019,100,100,58,100,76.67,96.49,100,100,100,100,75.24,76.86,100,,,,,,,,,,,,,,,,,89.4,89.4,38.43,38.43,,,0,0,,,0,0,89.4,89.4,36.51,36.51
80568cc6f8df5938ae1ee654f65acbd4312f24c074a9f10d35522ed9c72828b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d9525375fc1174c9e5abd67632d8c40d982b3d8e1ea78c7ea51e53f8d3b3982,100,100,94,100,100,96.49,98,100,100,100,100,100,100,,,,,,,,,,,,,,,,,98.99,98.99,42.55,42.55,,,0,0,,,0,0,98.99,98.99,40.42,40.42
9c27c406e63e8bb662fdeb36a31bc5e7f309157bf518879d2a81dc1ceeb5ffb1,100,100,100,100,100,96.49,100,100,100,99.51,96.91,100,100,,,,,,,,,,,,,,,,,99.42,99.42,42.73,42.73,,,0,0,,,0,0,99.42,99.42,40.6,40.6
97d685f266c3b880174bdf252ed146fe481f266b7513c17cbfdb0465ecf34373,100,100,68,60.77,29.53,96.49,100,100,100,100,100,100,0,,,,,,,,,,,,,,,,,79.56,79.56,34.2,34.2,,,0,0,,,0,0,79.56,79.56,32.49,32.49
b2ba0fb058c183e0799fbd33ad98cb3ec9fa72ecf839d86c99129e0749bb812f,100,100,58,87.93,71.67,65.74,94.34,99.55,95,76,65,0,0,,,,,,,,,,,,,,,,,64.12,64.12,27.56,27.56,,,0,0,,,0,0,64.12,64.12,26.18,26.18
f66f26d62fcc8ae046ae1dea88bf671976f91d6c2c413da58d4b0e12586e5713,80,100,57,100,76.2,45.74,97,97,90.38,100,96.24,97.28,0,,,,,,,,,,,,,,,,,77.39,77.39,33.27,33.27,,,0,0,,,0,0,77.39,77.39,31.6,31.6
67f84ae2f43b359480b9f6d55a68f7376f6b45946b992c611bd5f3bbfc91bd63,100,100,0,100,100,96.49,0,100,100,100,96.51,95.9,97.28,,,,,,,,,,,,,,,,,81.39,81.39,34.98,34.98,,,0,0,,,0,0,81.39,81.39,33.23,33.23
89397fe873f279470ab0e7cb4c715fd34127dda621ff59c92e8ccc8c7292ac5c,100,100,32,100,100,100,93,100,100,99.76,90,97.28,0,,,,,,,,,,,,,,,,,81.14,81.14,34.87,34.87,,,0,0,,,0,0,81.14,81.14,33.13,33.13
e6a6633d22264bd06a241968a69c021f64f26166cc9b0c703316c07bbb4b2047,0,100,82,100,100,47,53.11,100,100,65,36.76,98.64,82.78,,,,,,,,,,,,,,,,,76.03,76.03,32.68,32.68,,,0,0,,,0,0,76.03,76.03,31.04,31.04
b16a38da99629825806ccca839425af7312b79a44bb7f50000e365809082111d,100,100,16,65,29.53,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,15.58,15.58,6.7,6.7,,,0,0,,,0,0,15.58,15.58,6.36,6.36
ac4da856391771d45dde0fd859fcae956d9a59e693480f4dbcc326a77036f8b1,100,100,83,95.93,75.17,97.51,93.51,100,70,98.49,60.49,85.54,100,,,,,,,,,,,,,,,,,88.16,88.16,37.89,37.89,,,0,0,,,0,0,88.16,88.16,36,36
