id,Age,Grade,FavoriteSubject,AverageHoursOfSleep,AverageHoursOfEntertainment
1,16,10,Math,7,2
2,15,10,Spanish,6,3
3,16,11,Spanish,7,two
4,17,10,lunch,8,2
5,15,9,History,six,one
6,18,12,Computer Science,6,3
7,17,11,Biology,5,3
8,15,9,English,5,3
9,18,11,Music,8,0
10,15,11,Computer Science,8,3
11,15,11,Art,7,0
12,18,9,Computer Science,6,4
13,sixteen,nine,Art,6,1
14,15,9,Computer Science,6,0
15,19,12,Science,8,4
16,17,9,English,5,0
17,15,11,music,8,0
18,19,10,Science,6,0
19,16,11,English,5,2
20,16,11,Math,9,2
21,19,11,Music,6,3
22,19,12,Music,9,3
23,19,12,Science,9,4
24,17,12,Art,5,0
25,17,10,Hist,6,1
26,17,12,English,8,3
27,16,11,Computer Science,5,2
28,17,10,English,5,2
29,18,11,Art,5,2
30,17,11,Math,5,0
31,18,TWELVE,Science,8,2
32,15,12,Science,6,0
33,17,12,History,7,0
34,17,11,Math,8,0
35,17,12,Science,6,1
36,19,10,Math,8,1
37,15,12,Art,8,2
38,16,10,Science,6,0
39,15,11,Science,9,0
40,19,10,Music,7,3
41,15,10,Music,7,3
42,18,11,Science,6,2
43,18,10,English,7,1
44,15,11,Music,7,4
45,15,10,Science,9,2
46,17,9,Music,6,4
47,19,9,Science,8,3
48,17,12,Science,8,0
49,17,11,math,6,3
50,17,9,Math,6,0
51,16,10,Music,9,1
52,17,11,Art,7,1
53,16,9,Computer Science,8,2
54,17,9,Music,9,4
55,19,11,Math,8,1
56,15,11,English,8,2
57,17,12,Music,6,0
58,17,10,Music,7,0
59,15,10,English,8,3
60,16,12,Music,7,4
61,16,12,English,8,2
62,19,11,History,8,3
63,15,11,History,8,3
64,16,11,History,9,1
65,19,12,English,7,4
66,19,10,Music,8,3
67,16,12,Math,8,4
68,19,11,Art,8,2
69,19,9,English,5,2
70,fifteen,12,Art,9,0
71,18,10,History,8,2
72,17,9,History,7,0
73,16,12,English,9,0
74,18,12,Computer Science,9,3
75,19,9,Art,8,0
76,19,11,Math,5,2
77,15,11,Science,7,0
78,15,9,Math,6,2
79,17,12,Math,9,2
80,19,9,History,7,0
81,15,11,Art,6,1
82,16,10,History,6,2
83,16,12,Math,7,4
84,18,11,CS,9,2
85,15,10,Computer Science,8,1
86,17,10,Science,5,1
87,17,9,Computer Science,6,0
88,17,10,Computer Science,5,1
89,16,10,Computer Science,7,3
90,17,11,Computer Science,9,3
91,19,10,Science,9,1
92,17,9,Math,9,2
93,19,12,Computer Science,6,0
94,17,10,Math,5,0
95,19,10,Art,8,1
96,16,11,Science,6,3
97,18,10,Math,7,0
98,18,10,Math,7,3
99,17,12,Eng,5,4
100,17,10,Math,5,2
