id,State,Year,NationalRank,FemaleSenateDemocrats,FemaleSenateRepublicans,FemaleSenateIndependents,FemaleSenateOther,FemaleSenateTotal,TotalSenateMembers,FemaleHouseDemocrats,FemaleHouseRepublicans,FemaleHouseIndependents,FemaleHouseOther,FemaleHouseTotal,TotalHouseMembers,TotalFemalesinLegislature,TotalLegislatureMembers,PercentageOfFemalesInLegislature
1,Alabama,2019,45,4,0,0,0,4,35,11,8,0,0,19,105,23,140,16.4
2,Alaska,2019,7,1,0,5,0,6,20,6,11,0,0,17,40,23,60,38.3
3,Arizona,2019,6,7,6,0,0,13,30,14,8,0,0,22,60,35,90,38.9
4,Arkansas,2019,36,3,4,0,0,7,35,9,17,0,0,26,100,33,135,24.4
5,California,2019,18,11,3,0,0,14,40,21,3,0,0,24,80,38,120,31.7
6,Colorado,2019,2,12,1,0,0,13,35,26,7,0,0,33,65,46,100,46
7,Connecticut,2019,17,8,1,0,0,9,36,29,22,0,0,51,151,60,187,32.1
8,Deleware,2019,37,4,1,0,0,5,21,9,1,0,0,10,41,15,62,24.2
9,Florida,2019,24,6,6,0,0,12,40,23,13,0,0,36,120,48,160,30
10,Georgia,2019,23,13,2,0,0,15,56,42,15,0,0,57,180,72,236,30.5
11,Hawaii,2019,20,7,0,0,0,7,25,14,3,0,0,17,51,24,76,31.6
12,Idaho,2019,16,4,5,0,0,9,35,8,17,0,0,25,70,34,105,32.4
13,Illinois,2019,11,17,2,0,0,19,59,37,8,0,0,45,118,64,177,36.2
14,Indiana,2019,33,2,8,0,0,10,50,17,11,0,0,28,100,38,150,25.3
15,Iowa,2019,25,6,5,0,0,11,50,23,10,0,0,33,100,44,150,29.3
16,Kansas,2019,28,6,8,0,0,14,40,17,15,0,0,32,125,46,165,27.9
17,Kentucky,2019,39,2,2,0,0,4,38,18,10,0,0,28,100,33,138,23.2
18,Louisiana,2019,47,3,2,0,0,5,39,8,9,0,0,17,105,22,144,15.3
19,Maine,2019,9,8,4,0,0,12,35,47,11,0,0,58,151,70,186,37.6
20,Maryland,2019,7,12,2,0,0,14,47,51,7,0,0,58,141,72,188,38.3
21,Massachusetts,2019,27,11,0,0,0,11,40,38,7,1,0,46,160,57,200,28.5
22,Michigan,2019,12,8,3,0,0,11,38,25,17,0,0,42,110,53,148,35.8
23,Minnesota,2019,21,10,6,0,0,16,67,34,13,0,0,47,134,63,201,31.3
24,Mississippi,2019,49,4,5,0,0,9,52,8,7,0,0,15,122,24,174,13.8
25,Missouri,2019,38,6,3,0,0,9,34,18,20,0,0,38,163,47,197,23.9
26,Montana,2019,22,11,2,0,0,13,50,22,11,0,0,33,100,46,150,30.7
27,Nebraska*,2019,26,0,0,0,0,14,49,0,0,0,0,0,0,14,49,28.6
28,Nevada,2019,1,9,1,0,0,10,21,18,5,0,0,23,42,33,63,52.4
29,New Hampshire,2019,14,7,3,0,0,10,24,109,25,0,0,134,400,144,424,34
30,New Jersey,2019,18,9,1,0,0,10,40,21,7,0,0,28,80,38,120,31.7
31,New Mexico,2019,13,7,2,0,0,9,42,24,7,0,0,31,70,40,112,35.7
32,New York,2019,15,14,5,0,0,19,63,46,4,0,0,50,150,69,213,32.4
33,North Carolina,2019,33,6,4,0,0,10,50,23,10,0,0,33,120,43,170,25.3
34,North Dakota,2019,42,4,7,0,0,11,47,8,12,0,0,20,94,31,141,22
35,Ohio,2019,29,4,4,0,0,8,33,19,9,0,0,28,99,36,132,27.3
36,Oklahoma,2019,43,5,4,0,0,9,48,11,12,0,0,23,101,32,149,21.5
37,Oregon,2019,3,7,2,0,0,9,30,22,7,0,0,29,60,38,90,42.2
38,Pennsylvania,2019,32,7,6,0,0,13,50,30,23,0,0,53,203,66,253,26.1
39,Rhode Island,2019,10,14,2,0,0,16,38,25,1,0,0,26,75,42,113,37.2
40,South Carolina,2019,44,2,2,0,0,4,46,12,12,0,0,24,124,28,170,16.5
41,South Dakota,2019,41,2,3,0,0,5,35,4,15,0,0,19,70,24,105,22.9
42,Tennessee,2019,48,4,4,0,0,8,33,4,8,0,0,12,99,20,132,15.2
43,Texas,2019,39,3,6,0,0,9,31,27,6,0,0,33,150,42,181,23.2
44,Utah,2019,35,4,2,0,0,6,29,12,8,0,0,20,75,26,104,25
45,Vermont,2019,5,10,0,0,0,10,30,41,14,3,1,62,150,72,180,40
46,Virginia,2019,31,7,3,0,0,10,40,22,5,0,0,27,100,37,140,26.4
47,Washington,2019,4,12,7,0,0,19,49,30,10,0,0,40,98,59,147,40.1
48,West Virginia,2019,50,0,3,0,0,3,34,8,7,0,0,15,100,18,134,13.4
49,Wisconsin,2019,29,6,2,0,0,8,33,18,10,0,0,28,99,36,132,27.3
50,Wyoming,2019,46,1,5,0,0,6,30,4,4,0,0,8,60,14,90,15.6
51,Alabama,2018,45,3,0,1,0,4,35,12,5,0,0,17,105,21,140,15
52,Alaska,2018,12,1,0,5,0,6,20,4,9,0,0,13,40,19,60,31.7
53,Arizona,2018,1,6,8,0,0,14,30,13,9,0,0,22,60,36,90,40
54,Arkansas,2018,40,3,5,0,0,8,35,3,15,0,0,18,100,26,135,19.3
55,California,2018,25,7,4,0,0,11,40,17,3,0,0,20,80,31,120,25.8
56,Colorado,2018,4,8,2,1,0,11,35,18,9,0,0,27,65,38,100,38
57,Connecticut,2018,21,7,2,0,0,9,36,21,21,0,0,42,151,51,187,27.3
58,Deleware,2018,34,3,1,0,0,4,21,7,2,0,0,9,41,13,62,21
59,Florida,2018,26,6,7,0,0,13,40,14,14,0,0,28,120,41,160,25.6
60,Georgia,2018,23,11,2,0,0,13,56,32,18,0,0,50,180,63,236,26.7
