id,Last Name,First Name,Congress Number,Year at Start of Congress,State Code,Chamber of Congress,Congressional District,Party,Year First Elected,Gender,Size of House Delegation from Member's State,Race,Total Bills Sponsored,Total Bills with Action in Committee,Total Bills with Action Beyond Committee,Total Bills Passed Chamber,Total Bills Became Law,Picture
1,Abercrombie,Neil,107.0,2001.0,HI,House of Representative,1.0,Democrat,1990.0,Male,2.0,Caucasian,10.0,1.0,1.0,0.0,0.0,https://www.congress.gov/img/member/hi01.png
2,Acevedo-Vila,Anibal,107.0,2001.0,PR,House of Representative,1.0,Democrat,2000.0,Male,1.0,Latino/a,18.0,2.0,2.0,2.0,1.0,https://www.congress.gov/img/member/a000359_200.jpg
3,Ackerman,Gary,107.0,2001.0,NY,House of Representative,5.0,Democrat,1983.0,Male,31.0,Caucasian,9.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/112_ackerman_ny05_200.jpg
4,Aderholt,Robert,107.0,2001.0,AL,House of Representative,4.0,Republican,1996.0,Male,7.0,Caucasian,2.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_al_4_aderholt_robert_200.jpg
5,Akaka,Daniel,107.0,2001.0,HI,Senate,0.0,Democrat,1990.0,Male,2.0,Asian-American,23.0,11.0,9.0,3.0,0.0,https://www.congress.gov/img/member/111akaka_daniel_200.jpg
6,Akin,W.,107.0,2001.0,MO,House of Representative,2.0,Republican,2000.0,Male,9.0,Caucasian,2.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/a000358_200.jpg
7,Allard,Wayne,107.0,2001.0,CO,Senate,0.0,Republican,1996.0,Male,6.0,Caucasian,25.0,1.0,1.0,0.0,0.0,https://www.congress.gov/img/member/h_allard_wayne_200771073823125_200.jpg
8,Allen,Thomas,107.0,2001.0,ME,House of Representative,1.0,Democrat,1996.0,Male,2.0,Caucasian,14.0,1.0,1.0,0.0,0.0,https://www.congress.gov/img/member/a000357_200.jpg
9,Allen,George,107.0,2001.0,VA,Senate,0.0,Republican,2000.0,Male,11.0,Caucasian,18.0,3.0,2.0,2.0,0.0,https://www.congress.gov/img/member/a000121_200.jpg
10,Andrews,Robert,107.0,2001.0,NJ,House of Representative,1.0,Democrat,1990.0,Male,13.0,Caucasian,101.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/112_andrews_nj01_200.jpg
