id,Presidency,President,Took office,Left office,Party,Portrait,Home state
1,1.0,George Washington,1789.0,1797.0,Independent,https://www.biography.com/.image/t_share/MTY2NDcwODAyODk0NDk2OTI5/gilbert_stuart_williamstown_portrait_of_george_washington_promo.jpg,Virginia
2,2.0,John Adams,1797.0,1801.0,Federalist,https://www-tc.pbs.org/wgbh/americanexperience/media/filer_public_thumbnails/filer_public/6c/dc/6cdce016-b640-4a4d-8e86-c35dc982f7e1/adams_dilploma_01.jpg__400x434_q85_crop_subsampling-2_upscale.jpg,Massachusetts
3,3.0,Thomas Jefferson,1801.0,1809.0,Democratic-Republican,https://cdn.britannica.com/s:290x800/01/1801-004-DD835DC1/portrait-Thomas-Jefferson-artist-National-Museum-of.jpg,Virginia
4,4.0,James Madison,1809.0,1817.0,Democratic-Republican,https://www.history.com/.image/c_fit%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_620/MTU3ODc5MDg1MDg3MzM1NzUz/early-19th-century-american-portrait-of-president-james-madison.jpg,Virginia
5,5.0,James Monroe,1817.0,1825.0,Democratic-Republican,"https://cdn.britannica.com/s:800x450,c:crop/00/172700-138-8F7FCBAA/overview-James-Monroe.jpg",Virginia
6,6.0,John Quincy Adams,1825.0,1829.0,Democratic-Republican/National Republican,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg2NDMxMjgyOTEx/john_quincy_adams.jpg,Massachusetts
7,7.0,Andrew Jackson,1829.0,1837.0,Democratic,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg0ODE5MzU5MDQ5/andrew_jackson.jpg,Tennessee
8,8.0,Martin Van Buren,1837.0,1841.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/MVanBuren.png/240px-MVanBuren.png,New York
9,9.0,William Henry Harrison,1841.0,1841.0,Whig,https://www.biography.com/.image/t_share/MTE5NDg0MDU0OTg5MjExMTUx/william-henry-harrison-9329968-1-402.jpg,Ohio
10,10.0,John Tyler,1841.0,1845.0,Whig,https://cdn.britannica.com/23/8923-050-A82BA4B1/John-Tyler-oil-canvas-George-Healy-National-1859.jpg,Virginia
11,11.0,James K. Polk,1845.0,1849.0,Democratic,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDgxMzI4MTI1MjU3/james_k_polk.jpg,Tennessee
12,12.0,Zachary Taylor,1849.0,1850.0,Whig,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDgwNzkyOTU4Mjgx/zachary_taylor.jpg,Louisiana
13,13.0,Millard Fillmore,1850.0,1853.0,Whig,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTU3ODc5MDg1ODkyMjQ5MzEx/millard_fillmore.jpg,New York
14,14.0,Franklin Pierce,1853.0,1857.0,Democratic,https://www.biography.com/.image/t_share/MTE1ODA0OTcxNzU0NzUxNTAx/franklin-pierce-9440391-1-402.jpg,New Hampshire
15,15.0,James Buchanan,1857.0,1861.0,Democratic,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Appletons%27_Buchanan_James.jpg/1200px-Appletons%27_Buchanan_James.jpg,Pennsylvania
