id,Justice number,Image,Justice,Year of birth,State,Position,Succeeded,Date confirmed,Tenure length,Nominated by
1,1.0,https://www.biography.com/.image/t_share/MTE4MDAzNDEwNTY4OTcxNzkw/john-jay-9353566-1-402.jpg,John Jay,1745.0,NY,ChiefJustice,Inaugural,"September 26, 1789","5 years, 253 days",George Washington
2,2.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/John_Rutledge.jpg/220px-John_Rutledge.jpg,John Rutledge,1739.0,SC,AssociateJustice,Inaugural,"September 26, 1789","1 year, 17 days",George Washington
3,3.0,https://upload.wikimedia.org/wikipedia/commons/f/f0/WilliamCushing.jpg,William Cushing,1732.0,MA,AssociateJustice,Inaugural,"September 26, 1789","20 years, 223 days",George Washington
4,4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/JusticeJamesWilson.jpg/503px-JusticeJamesWilson.jpg,James Wilson,1742.0,PA,AssociateJustice,Inaugural,"September 26, 1789","8 years, 320 days",George Washington
5,5.0,https://upload.wikimedia.org/wikipedia/commons/c/c2/JohnBlair.jpg,John Blair,1732.0,VA,AssociateJustice,Inaugural,"September 26, 1789","5 years, 265 days",George Washington
6,6.0,https://upload.wikimedia.org/wikipedia/commons/0/06/JamesIredell.jpg,James Iredell,1751.0,NC,AssociateJustice,Inaugural,"February 10, 1790","9 years, 161 days",George Washington
7,7.0,https://upload.wikimedia.org/wikipedia/commons/b/b0/Thomas_Johnson_%28governor%29.jpeg,Thomas Johnson,1732.0,MD,AssociateJustice,J. Rutledge,"November 7, 1791",163 days,George Washington
8,8.0,https://upload.wikimedia.org/wikipedia/commons/5/54/William_Paterson_copy.jpg,William Paterson,1745.0,NJ,AssociateJustice,T. Johnson,"March 4, 1793","13 years, 181 days",George Washington
9,9.0,https://upload.wikimedia.org/wikipedia/commons/b/bd/Samuel_Chase.jpg,Samuel Chase,1741.0,MD,AssociateJustice,Blair,"January 27, 1796","15 years, 135 days",George Washington
10,10.0,https://upload.wikimedia.org/wikipedia/commons/f/fe/Oliver_Ellsworth.jpg,Oliver Ellsworth,1745.0,CT,ChiefJustice,J. Rutledge,"March 4, 1796","4 years, 282 days",George Washington
11,11.0,https://upload.wikimedia.org/wikipedia/commons/c/c0/BushrodWashington.jpg,Bushrod Washington,1762.0,VA,AssociateJustice,Wilson,"December 20, 1798","31 years, 17 days",John Adams
12,12.0,https://upload.wikimedia.org/wikipedia/commons/4/40/AlfredMoore.jpg,Alfred Moore,1755.0,NC,AssociateJustice,Iredell,"December 9, 1799","3 years, 280 days",John Adams
13,13.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/John_Marshall_by_Henry_Inman%2C_1832.jpg/484px-John_Marshall_by_Henry_Inman%2C_1832.jpg,John Marshall,1755.0,VA,ChiefJustice,Ellsworth,"January 27, 1801","34 years, 152 days",John Adams
14,14.0,https://upload.wikimedia.org/wikipedia/commons/1/1f/WilliamJohnson.jpg,William Johnson,1771.0,SC,AssociateJustice,Moore,"March 24, 1804","30 years, 89 days",Thomas Jefferson
15,15.0,https://upload.wikimedia.org/wikipedia/commons/e/e0/Henry_Brockholst_Livingston.jpg,Henry Brockholst Livingston,1757.0,NY,AssociateJustice,Paterson,"December 17, 1806","16 years, 57 days",Thomas Jefferson
16,16.0,https://upload.wikimedia.org/wikipedia/commons/0/0d/Thomas_Todd_SCOTUS.jpg,Thomas Todd,1765.0,KY,AssociateJustice,new seat,"March 2, 1807","18 years, 341 days",Thomas Jefferson
17,17.0,https://upload.wikimedia.org/wikipedia/commons/8/87/GabrielDuvall.jpg,Gabriel Duvall,1752.0,MD,AssociateJustice,S. Chase,"November 18, 1811","23 years, 50 days",James Madison
18,18.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Daguerreotype_of_Joseph_Story%2C_1844_%28edit%29.jpg/491px-Daguerreotype_of_Joseph_Story%2C_1844_%28edit%29.jpg,Joseph Story,1778.0,MA,AssociateJustice,Cushing,"November 18, 1811","33 years, 219 days",James Madison
19,19.0,https://upload.wikimedia.org/wikipedia/commons/b/b1/SmithThompson.jpg,Smith Thompson,1768.0,NY,AssociateJustice,Livingston,"December 9, 1823","20 years, 108 days",James Monroe
20,20.0,https://upload.wikimedia.org/wikipedia/commons/5/59/RobertTrimble.jpg,Robert Trimble,1776.0,KY,AssociateJustice,Todd,"May 9, 1826","2 years, 70 days",John Quincy Adams
21,21.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Justice_John_McLean_daguerreotype_by_Mathew_Brady_1849.jpg/450px-Justice_John_McLean_daguerreotype_by_Mathew_Brady_1849.jpg,John McLean,1785.0,OH,AssociateJustice,Trimble,"March 7, 1829","31 years, 83 days",Andrew Jackson
22,22.0,https://upload.wikimedia.org/wikipedia/commons/c/cc/Henry_baldwin_%28justice%29.jpg,Henry Baldwin,1780.0,PA,AssociateJustice,Washington,"January 6, 1830","14 years, 94 days",Andrew Jackson
23,23.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/JMWayne2.jpg/445px-JMWayne2.jpg,James Moore Wayne,1790.0,GA,AssociateJustice,W. Johnson,"January 9, 1835","32 years, 172 days",Andrew Jackson
24,24.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Roger_B._Taney_-_Brady-Handy.jpg/413px-Roger_B._Taney_-_Brady-Handy.jpg,Roger B. Taney,1777.0,MD,ChiefJustice,J. Marshall,"March 15, 1836","28 years, 198 days",Andrew Jackson
25,25.0,https://upload.wikimedia.org/wikipedia/commons/5/5b/PPBarbour.jpg,Philip Pendleton Barbour,1783.0,VA,AssociateJustice,Duvall,"March 15, 1836","4 years, 289 days",Andrew Jackson
26,26.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/John_Catron_-_Brady-Handy.jpg/486px-John_Catron_-_Brady-Handy.jpg,John Catron,1786.0,TN,AssociateJustice,new seat,"March 8, 1837","28 years, 29 days",Andrew Jackson
27,27.0,https://upload.wikimedia.org/wikipedia/commons/2/29/John_McKinley.jpg,John McKinley,1780.0,AL,AssociateJustice,new seat,"September 25, 1837","14 years, 192 days",Martin Van Buren
28,28.0,https://upload.wikimedia.org/wikipedia/commons/f/f4/PVDaniel.jpg,Peter Vivian Daniel,1784.0,VA,AssociateJustice,Barbour,"March 2, 1841","18 years, 142 days",Martin Van Buren
29,29.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Samuel_Nelson_-_Brady-Handy.jpg/472px-Samuel_Nelson_-_Brady-Handy.jpg,Samuel Nelson,1792.0,NY,AssociateJustice,Thompson,"February 14, 1845","27 years, 275 days",John Tyler
30,30.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Levi_Woodbury.jpg/490px-Levi_Woodbury.jpg,Levi Woodbury,1789.0,NH,AssociateJustice,Story,"January 31, 1846","5 years, 346 days",James K. Polk
31,31.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Robert_Cooper_Grier_-_Brady-Handy.jpg/487px-Robert_Cooper_Grier_-_Brady-Handy.jpg,Robert Cooper Grier,1794.0,PA,AssociateJustice,Baldwin,"August 4, 1846","23 years, 174 days",James K. Polk
32,32.0,https://upload.wikimedia.org/wikipedia/commons/9/94/BRCurtis.jpg,Benjamin Robbins Curtis,1809.0,MA,AssociateJustice,Woodbury,"December 20, 1851","5 years, 355 days",Millard Fillmore
33,33.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/John_Archibald_Campbell_-_Brady-Handy.jpg/467px-John_Archibald_Campbell_-_Brady-Handy.jpg,John Archibald Campbell,1811.0,AL,AssociateJustice,McKinley,"March 22, 1853","8 years, 19 days",Franklin Pierce
34,34.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/NClifford.jpg/476px-NClifford.jpg,Nathan Clifford,1803.0,ME,AssociateJustice,Curtis,"January 12, 1858","23 years, 185 days",James Buchanan
35,35.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Noah_Haynes_Swayne%2C_photo%2C_head_and_shoulders%2C_seated.jpg/537px-Noah_Haynes_Swayne%2C_photo%2C_head_and_shoulders%2C_seated.jpg,Noah Haynes Swayne,1804.0,OH,AssociateJustice,McLean,"January 24, 1862","18 years, 363 days",Abraham Lincoln
36,36.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Samuel_Freeman_Miller_-_Brady-Handy.jpg/452px-Samuel_Freeman_Miller_-_Brady-Handy.jpg,Samuel Freeman Miller,1816.0,IA,AssociateJustice,Daniel,"July 16, 1862","28 years, 84 days",Abraham Lincoln
