id,State,Office,Candidate name and party,General seat,Primary date
1,AK,Representative,Alyse E. Galvin (D),Challenger,8/18/2020
2,AL,Public Service Commission,Twinkle Cavanaugh (R),Incumbent,WON
3,AL,Public Service Commission,Robin Litaker (R),Challenger in Primary,Lost
4,AL,Public Service Commission,Laura Casey (D),Challenger,WON
5,AL,Senate,Ruth Page Nelson (R),Challenger,Lost
6,AL,Representative,Kiani Gardner (D),Open Seat,Runoff
7,AL,Representative,Jessica Taylor (R),Open Seat,Lost
8,AL,Representative,Terri Hasdorff (R),Open Seat,Lost
9,AL,Representative,Phyllis Harvey-Hall (D),Open Seat,WON
10,AL,Representative,Adia McClellan Winfrey (D),Challenger,WON
11,AL,Representative,Terri Sewell (D),Incumbent,WON
12,AR,Representative,Joyce Elliott (D),Challenger,WON
13,AR,Representative,Celeste Williams (D),Challenger,WON
14,AZ,Corporation Commission,Lea Marquez Peterson (R),Incumbent,8/4/2020
15,AZ,Corporation Commission,Kim Owens (R),Open Seat,8/4/2020
16,AZ,Corporation Commission,Anna Tovar (D),Open Seat,8/4/2020
17,AZ,Corporation Commission,Shea Stanfield (D),Open Seat,8/4/2020
18,AZ,Senate,Martha McSally (R),Incumbent,8/4/2020
19,AZ,Representative,Eva Putzova (D),Challenger in Primary,8/4/2020
20,AZ,Representative,Tiffany Shedd (R),Challenger,8/4/2020
21,AZ,Representative,Ann Kirkpartrick (D),Incumbent,8/4/2020
22,AZ,Representative,Delina DiSanto (D),Challenger,8/4/2020
23,AZ,Representative,Anne Marie Ward (R),Challenger in Primary,8/4/2020
24,AZ,Representative,Joan Greene (D),Challenger,8/25/2020
25,AZ,Representative,Hiral Vyas Tipirneni (D),Challenger,8/25/2020
26,AZ,Representative,Stephanie Rimmer (D),Challenger,8/25/2020
27,AZ,Representative,Anita Malik (D),Challenger,8/25/2020
28,AZ,Representative,Debbie Lesko (R),Incumbent,8/25/2020
29,CA,Representative,Audrey Denney (D),Challenger,WON
30,CA,Representative,Rachel Moniz (D),Challenger in Primary,Lost
31,CA,Representative,Tamika Hamilton (R),Challenger,WON
32,CA,Representative,Brynne Kennedy (D),Challenger,WON
33,CA,Representative,Julianne Benzel (R),Challenger in Primary,Lost
34,CA,Representative,Doris Matsui (D),Incumbent,WON
35,CA,Representative,Chris Bish (R),Challenger,WON
36,CA,Representative,Chris Bubser (D),Open Seat,WON
37,CA,Representative,Marla Sousa Livengood (R),Challenger,Lost
38,CA,Representative,Nisha Sharma (R),Challenger,WON
39,CA,Representative,Nancy Pelosi (D),Incumbent,WON
40,CA,Representative,DeAnna Lorraine (R),Challenger,Lost
41,CA,Representative,Agatha Bacelar (D),Challenger in Primary,Lost
42,CA,Representative,Barbara Lee (D),Incumbent,WON
43,CA,Representative,Jackie Speier (D),Incumbent,WON
44,CA,Representative,Sam Campbell (D),Challenger in Primary,Lost
45,CA,Representative,Alison Hayden (R),Challenger,WON
46,CA,Representative,Kim Williams (D),Challenger in Primary,Lost
47,CA,Representative,Esmeralda Soria (D),Challenger in Primary,Lost
48,CA,Representative,Ann Eshoo (D),Incumbent,WON
49,CA,Representative,Zoe Lofgren (D),Incumbent,WON
50,CA,Representative,Kim Mangone (D),Challenger,WON
51,CA,Representative,Christy Smith (D),Open Seat,WON
52,CA,Representative,Julia Brownley (D),Incumbent,WON
53,CA,Representative,Ronda Kennedy (R),Challenger,WON
54,CA,Representative,Judy Chu (D),Incumbent,WON
55,CA,Representative,Beatrice Cardenas (R),Challenger,Lost
56,CA,Representative,Maebe A. Girl (D),Challenger in Primary,Lost
57,CA,Representative,Angelica Duenas (D),Challenger in Primary,WON
58,CA,Representative,Agnes Gibboney (R),Challenger,WON
59,CA,Representative,Grace Napolitano (D),Incumbent,WON
60,CA,Representative,Liz Barris (D),Challenger in Primary,Lost
61,CA,Representative,Sarah Sun Liew (R),Challenger,Lost
62,CA,Representative,Frances Yasmeen Motiwalla (D),Challenger in Primary,Lost
63,CA,Representative,Keanakay Scott (D),Challenger in Primary,Lost
64,CA,Representative,Joanne L. Wright (R),Challenger,Lost
65,CA,Representative,Norma Torres (D),Incumbent,WON
66,CA,Representative,Erin Cruz (R),Challenger,WON
67,CA,Representative,Patrice Kimbler (R),Challenger,Lost
68,CA,Representative,Karen Bass (D),Incumbent,WON
