id,Rank,Country,Score,Electoral process and pluralism,Functio­ning of govern­ment,Political partici­pation,Political culture,Civil liberties,Regime type,Region
1,1.0,Norway,9.87,10.0,9.64,10.0,10.0,9.71,Full democracy,Western Europe
2,2.0,Iceland,9.58,10.0,9.29,8.89,10.0,9.71,Full democracy,Western Europe
3,3.0,Sweden,9.39,9.58,9.64,8.33,10.0,9.41,Full democracy,Western Europe
4,4.0,New Zealand,9.26,10.0,9.29,8.89,8.13,10.0,Full democracy,Asia & Australasia
5,5.0,Finland,9.25,10.0,8.93,8.89,8.75,9.71,Full democracy,Western Europe
6,6.0,Ireland,9.24,10.0,7.86,8.33,10.0,10.0,Full democracy,Western Europe
7,7.0,Denmark,9.22,10.0,9.29,8.33,9.38,9.12,Full democracy,Western Europe
8,7.0,Canada,9.22,9.58,9.64,7.78,9.38,9.71,Full democracy,North America
9,9.0,Australia,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
10,10.0,Switzerland,9.03,9.58,9.29,7.78,9.38,9.12,Full democracy,Western Europe
11,11.0,Netherlands,9.01,9.58,9.29,8.33,8.75,9.12,Full democracy,Western Europe
12,12.0,Luxembourg,8.81,10.0,8.93,6.67,8.75,9.71,Full democracy,Western Europe
13,13.0,Germany,8.68,9.58,8.57,8.33,7.5,9.41,Full democracy,Western Europe
14,14.0,United Kingdom,8.52,9.58,7.5,8.89,7.5,9.12,Full democracy,Western Europe
15,15.0,Uruguay,8.38,10.0,8.57,6.11,7.5,9.71,Full democracy,Latin America
16,16.0,Austria,8.29,9.58,7.86,8.33,6.88,8.82,Full democracy,Western Europe
17,16.0,Spain,8.29,9.58,7.14,7.78,8.13,8.82,Full democracy,Western Europe
18,18.0,Mauritius,8.22,9.17,8.21,5.56,8.75,9.41,Full democracy,Sub-Saharan Africa
19,19.0,Costa Rica,8.13,9.58,7.5,6.67,7.5,9.41,Full democracy,Latin America
20,20.0,France,8.12,9.58,7.86,7.78,6.88,8.53,Full democracy,Western Europe
21,21.0,Chile,8.08,9.58,8.57,5.0,8.13,9.12,Full democracy,Latin America
22,22.0,Portugal,8.03,9.58,7.86,6.11,7.5,9.12,Full democracy,Western Europe
23,23.0,South Korea[n 2],8.0,9.17,7.86,7.22,7.5,8.24,Flawed democracy,Asia & Australasia
