Country Name,region,Image URL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Germany,Western Europe,https://cdn.countryflags.com/thumbs/germany/flag-800.png,69.31,69.51,69.69,69.86,70.01,70.15,70.27,70.37,70.47,70.55,70.64,70.74,70.87,71.02,71.2,71.4,71.63,71.88,72.14,72.41,72.68,72.95,73.23,73.51,73.78,74.05,74.31,74.56,74.79,75.01,75.23,75.32,75.82,75.87,76.27,76.42,76.67,77.07,77.47,77.72,77.92,78.33,78.23,78.38,78.68,78.93,79.13,79.53,79.73,79.83,79.98,80.43,80.53,80.49,81.09,80.64,80.99,80.99
USA,North America,https://cdn.countryflags.com/thumbs/united-states-of-america/flag-800.png,69.77,70.27,70.12,69.91,70.16,70.21,70.21,70.56,69.95,70.5,70.8,71.1,71.15,71.35,71.95,72.6,72.85,73.25,73.35,73.8,73.61,74.01,74.36,74.46,74.56,74.56,74.61,74.76,74.76,75.01,75.21,75.36,75.61,75.42,75.62,75.62,76.02,76.42,76.58,76.58,76.63,76.83,76.93,77.03,77.48,77.48,77.68,77.98,78.03,78.39,78.54,78.64,78.74,78.74,78.84,78.69,78.53,78.53
Spain,Mediterranean,https://cdn.countryflags.com/thumbs/spain/flag-800.png,69.1,69.48,69.51,69.68,70.4,70.8,71.05,71.25,71.53,71.05,72.02,71.63,72.81,72.61,72.97,73.31,73.64,74.13,74.29,74.81,75.34,75.52,76.13,75.9,76.29,76.26,76.51,76.72,76.74,76.81,76.83,76.97,77.41,77.54,77.9,77.98,78.12,78.6,78.66,78.71,78.96,79.36,79.56,79.62,79.87,80.17,80.82,80.87,81.17,81.47,81.62,82.47,82.42,83.07,83.22,82.83,83.32,83.32
Japan,Asia,https://cdn.countryflags.com/thumbs/japan/flag-800.png,67.66,68.31,68.59,69.65,70.13,70.2,70.98,71.27,71.61,71.83,71.95,72.88,73.5,73.75,74.39,75.05,75.45,75.89,76.03,76.33,76.09,76.41,76.92,76.96,77.36,77.65,78.06,78.48,78.39,78.81,78.83,79.1,79.15,79.29,79.68,79.53,80.2,80.42,80.5,80.57,81.07,81.41,81.56,81.76,82.03,81.92,82.32,82.5,82.58,82.93,82.84,82.59,83.09,83.33,83.58,83.79,83.98,84.1
Australia,Oceania,https://cdn.countryflags.com/thumbs/australia/flag-800.png,70.81,70.97,70.94,70.91,70.88,70.85,70.82,70.86,70.91,70.96,71.01,71.06,71.45,71.84,72.23,72.62,73.01,73.34,73.67,74.0,74.33,74.66,74.9,75.14,75.38,75.62,75.87,76.15,76.43,76.71,76.99,77.27,77.37,77.87,77.87,77.82,78.07,78.48,78.63,78.93,79.23,79.63,79.93,80.23,80.49,80.84,81.04,81.29,81.39,81.54,81.69,81.89,82.04,82.14,82.3,82.4,82.44,82.49
Iceland,Nordic,https://cdn.countryflags.com/thumbs/iceland/flag-800.png,73.42,73.5,73.72,73.04,73.54,73.86,73.3,73.78,74.0,73.77,73.93,73.57,74.45,74.45,74.51,75.57,76.97,76.37,76.64,76.77,76.84,76.52,77.03,76.84,77.57,77.6,77.99,77.33,77.08,78.14,78.03,77.99,78.76,78.93,79.24,77.98,78.77,78.88,79.6,79.35,79.65,80.69,80.5,80.96,80.99,81.5,81.15,81.45,81.61,81.75,81.89,82.35,82.91,82.06,82.86,82.46,82.2,82.2
Italy,Mediterranean,https://cdn.countryflags.com/thumbs/italy/flag-800.png,69.12,69.76,69.15,69.24,70.31,70.17,70.92,70.95,70.78,70.81,71.55,71.8,72.07,72.02,72.73,72.64,72.99,73.36,73.69,74.0,73.94,74.35,74.81,74.64,75.39,75.47,75.77,76.22,76.37,76.82,76.97,77.02,77.42,77.72,77.92,78.17,78.52,78.82,78.97,79.42,78.77,80.12,80.22,79.98,80.78,80.78,81.28,81.43,81.48,81.63,82.03,82.18,82.23,82.69,83.09,82.54,83.24,83.24
South Korea,Asia,https://cdn.countryflags.com/thumbs/south-korea/flag-800.png,55.41,56.01,56.51,56.97,57.44,57.96,58.57,59.24,59.94,60.67,62.16,62.61,63.01,63.4,63.8,64.15,64.5,64.9,65.19,65.54,66.04,66.54,67.09,67.54,68.19,68.79,69.44,69.99,70.54,71.04,71.59,72.04,72.49,72.99,73.39,73.7,74.15,74.6,75.0,75.41,75.91,76.41,76.76,77.21,77.66,78.16,78.66,79.12,79.51,79.96,80.11,80.56,80.82,81.27,81.72,82.02,82.27,82.62
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-800.png,71.13,71.34,71.36,71.38,71.77,71.87,72.0,72.2,72.35,72.5,72.7,73.02,72.93,73.16,73.23,73.52,73.85,74.21,74.53,74.86,75.07,75.46,75.76,76.06,76.21,76.36,76.52,76.72,76.92,77.12,77.42,77.62,77.72,77.82,77.82,78.02,78.18,78.43,78.63,78.88,79.13,79.33,79.49,79.74,79.89,80.19,80.34,80.54,80.69,80.99,81.24,81.44,81.64,81.74,81.8,81.9,82.14,82.24
Israel,Mediterranean,https://cdn.countryflags.com/thumbs/israel/flag-800.png,72.01,72.11,72.11,72.11,72.11,72.11,72.28,71.51,71.05,70.97,71.21,71.71,71.07,71.69,71.66,72.04,72.95,72.95,73.2,73.5,73.87,74.26,74.11,74.45,74.8,75.2,74.95,75.25,74.43,76.3,76.6,76.75,76.5,77.15,77.4,77.45,78.1,78.0,78.14,78.65,78.95,79.4,79.45,79.64,80.14,80.15,80.55,80.5,80.95,81.4,81.6,81.65,81.7,82.05,82.15,82.05,82.4,82.6
Singapore,Asia,https://cdn.countryflags.com/thumbs/singapore/flag-800.png,65.66,66.08,66.43,66.7,66.91,67.08,67.25,67.44,67.67,67.95,68.27,68.65,69.04,69.44,69.83,70.22,70.59,70.96,71.32,71.68,72.19,72.58,72.68,73.03,73.29,73.89,74.24,74.54,74.69,74.94,75.29,75.64,75.94,76.04,76.19,76.29,76.59,76.89,77.3,77.55,77.95,78.25,78.55,79.03,79.49,79.99,80.14,80.44,80.79,81.24,81.54,81.74,81.99,82.24,82.49,82.74,82.84,82.89
France,Western Europe,https://cdn.countryflags.com/thumbs/france/flag-800.png,69.86,70.11,70.31,70.51,70.66,70.81,70.96,71.16,71.31,71.45,71.65,71.9,72.1,72.35,72.6,72.85,73.1,73.35,73.6,73.85,74.05,74.3,74.5,74.8,75.0,75.3,75.6,75.8,76.1,76.34,76.6,76.84,77.1,77.3,77.64,77.75,77.95,78.3,78.6,78.75,79.05,79.15,79.26,79.11,80.16,80.16,80.81,81.11,81.21,81.41,81.66,82.11,81.96,82.22,82.67,82.32,82.52,82.52
Ireland,Western Europe,https://cdn.countryflags.com/thumbs/ireland/flag-800.png,69.79,69.97,70.13,70.27,70.4,70.52,70.63,70.74,70.84,70.93,71.03,71.12,71.23,71.34,71.47,71.61,71.78,71.96,72.17,72.39,72.62,72.85,73.08,73.31,73.53,73.74,73.95,74.16,74.37,74.59,74.8,75.0,75.18,75.33,75.47,75.61,75.83,75.98,76.18,76.08,76.53,77.13,77.63,78.13,78.53,78.94,79.24,79.64,80.09,80.19,80.74,80.74,80.84,80.94,81.34,81.45,81.7,81.95
Netherlands,Western Europe,https://cdn.countryflags.com/thumbs/netherlands/flag-800.png,73.39,73.65,73.32,73.33,73.7,73.56,73.51,73.8,73.61,73.54,73.58,73.81,73.72,74.14,74.53,74.49,74.64,75.22,75.14,75.6,75.74,75.93,75.98,76.16,76.23,76.28,76.27,76.7,76.89,76.73,76.87,77.0,77.21,76.91,77.37,77.4,77.43,77.79,77.88,77.83,77.98,78.19,78.29,78.49,79.09,79.34,79.69,80.09,80.25,80.54,80.7,81.2,81.1,81.3,81.7,81.51,81.56,81.56
New Zealand,Oceania,https://cdn.countryflags.com/thumbs/new-zealand/flag-800.png,71.23,70.98,71.23,71.28,71.32,71.22,71.12,71.47,71.12,71.47,71.27,71.77,71.82,71.66,71.92,72.22,72.42,72.16,73.02,73.06,72.82,73.62,73.72,73.77,74.37,73.82,74.12,74.17,74.42,74.82,75.37,76.03,76.12,76.43,76.88,76.73,76.78,77.33,78.08,77.89,78.63,78.69,78.84,79.14,79.54,79.85,80.04,80.15,80.35,80.7,80.7,80.9,81.15,81.4,81.4,81.45,81.61,81.65
