id,Date,Country,Total Confirmed Cases,Total Recovered,Total Deaths
1,Sun 5/31,Afghanistan,15205,1328,257
2,Sun 5/31,Albania,1137,872,33
3,Sun 5/31,Algeria,9394,5748,653
4,Sun 5/31,Andorra,764,694,51
5,Sun 5/31,Angola,86,18,4
6,Sun 5/31,Antigua and Barbuda,26,19,3
7,Sun 5/31,Argentina,16851,5336,539
8,Sun 5/31,Armenia,9282,3386,131
9,Sun 5/31,Australia,7202,6618,103
10,Sun 5/31,Austria,16731,15593,668
11,Sun 5/31,Azerbaijan,5494,3428,63
12,Sun 5/31,Bahamas,102,48,11
13,Sun 5/31,Bahrain,11398,6673,19
14,Sun 5/31,Bangladesh,47153,9781,650
15,Sun 5/31,Barbados,92,76,7
16,Sun 5/31,Belarus,42556,18514,235
17,Sun 5/31,Belgium,58381,15887,9467
18,Sun 5/31,Belize,18,16,2
19,Sun 5/31,Benin,232,143,3
20,Sun 5/31,Bhutan,43,6,0
21,Sun 5/31,Bolivia,9982,968,313
22,Sun 5/31,Bosnia and Herzegovina,2510,1862,153
23,Sun 5/31,Botswana,35,20,1
24,Sun 5/31,Brazil,514849,206555,29314
25,Sun 5/31,Brunei,141,138,2
26,Sun 5/31,Bulgaria,2513,1074,140
27,Sun 5/31,Burkina Faso,847,720,53
28,Sun 5/31,Burma,224,138,6
29,Sun 5/31,Burundi,63,33,1
30,Sun 5/31,Cabo Verde,435,193,4
31,Sun 5/31,Cambodia,125,123,0
32,Sun 5/31,Cameroon,5904,3568,191
33,Sun 5/31,Canada,92479,49213,7374
34,Sun 5/31,Central African Republic,1011,23,2
35,Sun 5/31,Chad,778,491,65
36,Sun 5/31,Chile,123550,42727,1054
37,Sun 5/31,China,84146,79389,4638
38,Sun 5/31,Colombia,29383,7032,939
39,Sun 5/31,Comoros,106,26,2
40,Sun 5/31,Congo (Brazzaville),611,179,20
41,Sun 5/31,Congo (Kinshasa),3070,448,72
42,Sun 5/31,Costa Rica,1056,669,10
43,Sun 5/31,Cote d'Ivoire,2833,1435,33
44,Sun 5/31,Croatia,2246,2072,103
45,Sun 5/31,Cuba,2045,1809,83
46,Sun 5/31,Cyprus,944,790,17
47,Sun 5/31,Czechia,9268,6558,320
48,Sun 5/31,Denmark,11869,10560,574
49,Sun 5/31,Diamond Princess,712,651,13
50,Sun 5/31,Djibouti,3354,1504,24
51,Sun 5/31,Dominica,16,16,0
52,Sun 5/31,Dominican Republic,17285,10559,502
53,Sun 5/31,Ecuador,39098,19592,3358
54,Sun 5/31,Egypt,24985,6037,959
55,Sun 5/31,El Salvador,2517,1040,46
56,Sun 5/31,Equatorial Guinea,1306,200,12
57,Sun 5/31,Eritrea,39,39,0
58,Sun 5/31,Estonia,1869,1624,68
59,Sun 5/31,Eswatini,285,189,2
60,Sun 5/31,Ethiopia,1172,209,11
61,Sun 5/31,Fiji,18,15,0
62,Sun 5/31,Finland,6859,5500,320
63,Sun 5/31,France,189009,68473,28805
64,Sun 5/31,Gabon,2655,722,17
65,Sun 5/31,Gambia,25,20,1
66,Sun 5/31,Georgia,783,605,12
67,Sun 5/31,Germany,183410,165352,8540
68,Sun 5/31,Ghana,8070,2947,36
69,Sun 5/31,Greece,2917,1374,175
70,Sun 5/31,Grenada,23,18,0
71,Sun 5/31,Guatemala,5087,735,108
72,Sun 5/31,Guinea,3706,2030,23
73,Sun 5/31,Guinea-Bissau,1256,42,8
74,Sun 5/31,Guyana,153,70,12
75,Sun 5/31,Haiti,2124,24,44
76,Sun 5/31,Holy See,12,2,0
77,Sun 5/31,Honduras,5202,537,212
78,Sun 5/31,Hungary,3876,2147,526
79,Sun 5/31,Iceland,1806,1794,10
80,Sun 5/31,India,190609,91852,5408
81,Sun 5/31,Indonesia,26473,7308,1613
82,Sun 5/31,Iran,151466,118848,7797
83,Sun 5/31,Iraq,6439,3156,205
84,Sun 5/31,Ireland,24990,22089,1652
85,Sun 5/31,Israel,17071,14812,285
86,Sun 5/31,Italy,232997,157507,33415
87,Sun 5/31,Jamaica,586,311,9
88,Sun 5/31,Japan,16751,14342,898
89,Sun 5/31,Jordan,739,522,9
90,Sun 5/31,Kazakhstan,10858,5404,40
91,Sun 5/31,Kenya,1962,478,64
