id,Date,State,Total Confirmed Cases,Total Deaths
1,Wed 8/26,Alabama,119254,2045
2,Wed 8/26,Alaska,5671,34
3,Wed 8/26,Arizona,199495,4899
4,Wed 8/26,Arkansas,58023,732
5,Wed 8/26,California,687612,12547
6,Wed 8/26,Colorado,56346,1933
7,Wed 8/26,Connecticut,52220,4463
8,Wed 8/26,Delaware,16986,604
9,Wed 8/26,District of Columbia,13722,605
10,Wed 8/26,Florida,608714,10732
11,Wed 8/26,Georgia,244494,5195
12,Wed 8/26,Guam,2089,10
13,Wed 8/26,Hawaii,7236,50
14,Wed 8/26,Idaho,30968,337
15,Wed 8/26,Illinois,227872,8186
16,Wed 8/26,Indiana,91403,3259
17,Wed 8/26,Iowa,58864,1077
18,Wed 8/26,Kansas,40564,445
19,Wed 8/26,Kentucky,47542,927
20,Wed 8/26,Louisiana,145661,4851
21,Wed 8/26,Maine,4389,132
22,Wed 8/26,Maryland,105996,3717
23,Wed 8/26,Massachusetts,126756,8987
24,Wed 8/26,Michigan,109645,6692
25,Wed 8/26,Minnesota,71285,1842
26,Wed 8/26,Mississippi,80110,2373
27,Wed 8/26,Missouri,79588,1566
28,Wed 8/26,Montana,6807,98
29,Wed 8/26,Nebraska,32727,390
30,Wed 8/26,Nevada,66732,1250
31,Wed 8/26,New Hampshire,7159,430
32,Wed 8/26,New Jersey,192086,15914
33,Wed 8/26,New Mexico,24732,755
34,Wed 8/26,New York,436063,32499
35,Wed 8/26,North Carolina,159708,2634
36,Wed 8/26,North Dakota,10471,142
37,Wed 8/26,Northern Mariana Islands,54,2
38,Wed 8/26,Ohio,117584,4044
39,Wed 8/26,Oklahoma,54838,763
40,Wed 8/26,Oregon,25575,438
41,Wed 8/26,Pennsylvania,135323,7691
42,Wed 8/26,Puerto Rico,30744,404
43,Wed 8/26,Rhode Island,21454,1041
44,Wed 8/26,South Carolina,114093,2573
45,Wed 8/26,South Dakota,11851,162
46,Wed 8/26,Tennessee,144400,1623
47,Wed 8/26,Texas,619836,12212
48,Wed 8/26,Utah,50298,404
49,Wed 8/26,Vermont,1577,58
50,Wed 8/26,Virgin Islands,1030,14
51,Wed 8/26,Virginia,115458,2515
52,Wed 8/26,Washington,75207,1968
53,Wed 8/26,West Virginia,9540,190
54,Wed 8/26,Wisconsin,77220,1112
55,Wed 8/26,Wyoming,3684,37
56,Thu 8/27,Alabama,121023,2076
57,Thu 8/27,Alaska,5752,34
58,Thu 8/27,Arizona,200172,4932
59,Thu 8/27,Arkansas,58745,739
60,Thu 8/27,California,692962,12696
61,Thu 8/27,Colorado,56706,1937
62,Thu 8/27,Connecticut,52350,4465
63,Thu 8/27,Delaware,16976,604
64,Thu 8/27,District of Columbia,13794,605
65,Thu 8/27,Florida,611983,10867
66,Thu 8/27,Georgia,247017,5275
67,Thu 8/27,Guam,2201,10
68,Thu 8/27,Hawaii,7542,54
69,Thu 8/27,Idaho,31326,343
70,Thu 8/27,Illinois,229598,8206
71,Thu 8/27,Indiana,92566,3266
72,Thu 8/27,Iowa,61484,1091
73,Thu 8/27,Kansas,40702,446
74,Thu 8/27,Kentucky,48322,937
75,Thu 8/27,Louisiana,146338,4874
76,Thu 8/27,Maine,4414,132
77,Thu 8/27,Maryland,106558,3722
78,Thu 8/27,Massachusetts,127124,9008
79,Thu 8/27,Michigan,110491,6708
80,Thu 8/27,Minnesota,72439,1855
81,Thu 8/27,Mississippi,80695,2399
82,Thu 8/27,Missouri,80913,1583
83,Thu 8/27,Montana,6960,98
84,Thu 8/27,Nebraska,33101,394
85,Thu 8/27,Nevada,67324,1274
86,Thu 8/27,New Hampshire,7194,431
87,Thu 8/27,New Jersey,192393,15921
88,Thu 8/27,New Mexico,24920,764
89,Thu 8/27,New York,436852,32507
90,Thu 8/27,North Carolina,161715,2654
91,Thu 8/27,North Dakota,10804,143
92,Thu 8/27,Northern Mariana Islands,54,2
93,Thu 8/27,Ohio,118828,4076
94,Thu 8/27,Oklahoma,55550,778
95,Thu 8/27,Oregon,25775,444
96,Thu 8/27,Pennsylvania,135958,7702
97,Thu 8/27,Puerto Rico,31383,412
98,Thu 8/27,Rhode Island,21589,1044
99,Thu 8/27,South Carolina,114598,2628
100,Thu 8/27,South Dakota,12194,162
101,Thu 8/27,Tennessee,146183,1650
102,Thu 8/27,Texas,623647,12444
103,Thu 8/27,Utah,50668,404
104,Thu 8/27,Vermont,1586,58
105,Thu 8/27,Virgin Islands,1075,14
106,Thu 8/27,Virginia,116579,2527
107,Thu 8/27,Washington,75752,1977
108,Thu 8/27,West Virginia,9633,199
109,Thu 8/27,Wisconsin,78136,1121
110,Thu 8/27,Wyoming,3722,37
111,Fri 8/28,Alabama,122185,2107
112,Fri 8/28,Alaska,5874,34
113,Fri 8/28,Arizona,200694,4980
114,Fri 8/28,Arkansas,59583,756
115,Fri 8/28,California,698389,12836
116,Fri 8/28,Colorado,57158,1945
117,Fri 8/28,Connecticut,52495,4465
118,Fri 8/28,Delaware,17083,604
119,Fri 8/28,District of Columbia,13851,605
120,Fri 8/28,Florida,615798,10956
121,Fri 8/28,Georgia,249317,5352
122,Fri 8/28,Guam,2256,11
123,Fri 8/28,Hawaii,7806,58
124,Fri 8/28,Idaho,31643,357
125,Fri 8/28,Illinois,232052,8229
126,Fri 8/28,Indiana,93387,3277
127,Fri 8/28,Iowa,62828,1108
128,Fri 8/28,Kansas,41808,448
129,Fri 8/28,Kentucky,48937,945
130,Fri 8/28,Louisiana,146944,4904
131,Fri 8/28,Maine,4436,132
132,Fri 8/28,Maryland,107146,3736
133,Fri 8/28,Massachusetts,127584,9024
134,Fri 8/28,Michigan,111303,6714
135,Fri 8/28,Minnesota,73289,1859
136,Fri 8/28,Mississippi,81294,2413
137,Fri 8/28,Missouri,82449,1599
138,Fri 8/28,Montana,7086,100
139,Fri 8/28,Nebraska,33436,399
140,Fri 8/28,Nevada,67984,1287
141,Fri 8/28,New Hampshire,7216,432
142,Fri 8/28,New Jersey,192751,15930
143,Fri 8/28,New Mexico,25042,767
144,Fri 8/28,New York,437487,32515
145,Fri 8/28,North Carolina,163154,2676
146,Fri 8/28,North Dakota,11114,143
147,Fri 8/28,Northern Mariana Islands,54,2
148,Fri 8/28,Ohio,120124,4105
149,Fri 8/28,Oklahoma,56260,786
150,Fri 8/28,Oregon,26069,457
151,Fri 8/28,Pennsylvania,136824,7722
152,Fri 8/28,Puerto Rico,31988,424
153,Fri 8/28,Rhode Island,21683,1046
154,Fri 8/28,South Carolina,115951,2655
155,Fri 8/28,South Dakota,12517,165
156,Fri 8/28,Tennessee,147814,1675
157,Fri 8/28,Texas,628492,12615
158,Fri 8/28,Utah,51071,408
159,Fri 8/28,Vermont,1589,58
160,Fri 8/28,Virgin Islands,1075,14
161,Fri 8/28,Virginia,117592,2550
162,Fri 8/28,Washington,76397,1992
163,Fri 8/28,West Virginia,9824,202
164,Fri 8/28,Wisconsin,78984,1123
165,Fri 8/28,Wyoming,3763,37
166,Sat 8/29,Alabama,123889,2152
167,Sat 8/29,Alaska,5985,34
168,Sat 8/29,Arizona,201317,5010
169,Sat 8/29,Arkansas,60378,772
170,Sat 8/29,California,702499,12906
171,Sat 8/29,Colorado,57326,1946
172,Sat 8/29,Connecticut,52495,4465
173,Sat 8/29,Delaware,17349,604
174,Sat 8/29,District of Columbia,13925,605
175,Sat 8/29,Florida,618995,11104
176,Sat 8/29,Georgia,251676,5451
177,Sat 8/29,Guam,2256,11
178,Sat 8/29,Hawaii,8115,61
179,Sat 8/29,Idaho,31874,359
180,Sat 8/29,Illinois,233806,8236
181,Sat 8/29,Indiana,94512,3285
182,Sat 8/29,Iowa,63836,1110
183,Sat 8/29,Kansas,41909,449
184,Sat 8/29,Kentucky,49914,951
185,Sat 8/29,Louisiana,146944,4904
186,Sat 8/29,Maine,4489,132
187,Sat 8/29,Maryland,107790,3746
188,Sat 8/29,Massachusetts,128030,9036
189,Sat 8/29,Michigan,112104,6747
190,Sat 8/29,Minnesota,74306,1863
191,Sat 8/29,Mississippi,82029,2427
192,Sat 8/29,Missouri,83973,1613
193,Sat 8/29,Montana,7256,104
194,Sat 8/29,Nebraska,33753,400
195,Sat 8/29,Nevada,68576,1303
196,Sat 8/29,New Hampshire,7246,432
197,Sat 8/29,New Jersey,193100,15933
198,Sat 8/29,New Mexico,25178,769
199,Sat 8/29,New York,438122,32522
200,Sat 8/29,North Carolina,165533,2708
201,Sat 8/29,North Dakota,11488,145
202,Sat 8/29,Northern Mariana Islands,56,2
203,Sat 8/29,Ohio,121340,4126
204,Sat 8/29,Oklahoma,57353,797
205,Sat 8/29,Oregon,26293,460
206,Sat 8/29,Pennsylvania,137576,7740
207,Sat 8/29,Puerto Rico,32550,428
208,Sat 8/29,Rhode Island,21683,1046
209,Sat 8/29,South Carolina,117249,2698
210,Sat 8/29,South Dakota,12942,167
211,Sat 8/29,Tennessee,149310,1700
212,Sat 8/29,Texas,633834,12733
213,Sat 8/29,Utah,51486,408
214,Sat 8/29,Vermont,1605,58
215,Sat 8/29,Virgin Islands,1129,14
216,Sat 8/29,Virginia,118809,2568
217,Sat 8/29,Washington,76834,1992
218,Sat 8/29,West Virginia,9967,212
219,Sat 8/29,Wisconsin,79767,1129
220,Sat 8/29,Wyoming,3784,37
221,Sun 8/30,Alabama,125235,2162
222,Sun 8/30,Alaska,6036,34
223,Sun 8/30,Arizona,201695,5033
