date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
1/12/2021,Nevada,61653,207150,31320,0.28,2,8761,1.02,6.73,,,,0.298,,
1/13/2021,Nevada,61653,207150,31320,0.28,2,8761,1.02,6.73,0,0,0,0.298,,
1/14/2021,Nevada,76844,210075,62370,,2.49,,2.02,6.82,15191,7596,2466,0.366,,
1/15/2021,Nevada,83674,211750,67679,0.5,2.72,15308,2.2,6.87,6830,7340,2383,0.395,,
1/16/2021,Nevada,,,,,,,,,,6703,2176,,,
1/17/2021,Nevada,,,,,,,,,,6321,2052,,,
1/18/2021,Nevada,,,,,,,,,,6066,1969,,,
1/19/2021,Nevada,102840,211750,85391,0.54,3.34,16665,2.77,6.87,,5884,1910,0.486,,
1/20/2021,Nevada,107133,276775,89110,0.56,3.48,17209,2.89,8.99,4293,6497,2109,0.387,,
1/21/2021,Nevada,115991,278175,95837,0.63,3.77,19296,3.11,9.03,8858,5592,1815,0.417,,
1/22/2021,Nevada,126458,281100,105222,0.66,4.11,20345,3.42,9.13,10467,6112,1984,0.45,,
1/23/2021,Nevada,137031,286950,115160,0.68,4.45,20972,3.74,9.32,10573,6938,2252,0.478,,
1/24/2021,Nevada,152203,286950,129223,0.72,4.94,22068,4.2,9.32,15172,8421,2734,0.53,,
1/25/2021,Nevada,159869,286950,136670,0.72,5.19,22279,4.44,9.32,7666,8832,2867,0.557,,
1/26/2021,Nevada,164362,338025,140934,0.73,5.34,22508,4.58,10.97,4493,8789,2853,0.486,,
1/27/2021,Nevada,174367,338525,149464,0.77,5.66,23852,4.85,10.99,10005,9605,3118,0.515,,
1/28/2021,Nevada,194942,339500,167481,0.85,6.33,26327,5.44,11.02,20575,11279,3662,0.574,,
1/29/2021,Nevada,210185,339900,179805,0.95,6.82,29163,5.84,11.04,15243,11961,3883,0.618,,
1/30/2021,Nevada,224192,368800,191175,1.03,7.28,31783,6.21,11.97,14007,12452,4043,0.608,,
1/31/2021,Nevada,241078,368800,205892,1.1,7.83,33923,6.68,11.97,16886,12696,4122,0.654,,
2/1/2021,Nevada,248754,368800,211931,1.15,8.08,35559,6.88,11.97,7676,12698,4123,0.674,,
2/2/2021,Nevada,253174,417175,214342,1.22,8.22,37568,6.96,13.54,4420,12687,4119,0.607,,
2/3/2021,Nevada,279471,417875,236799,1.34,9.07,41227,7.69,13.57,26297,15015,4875,0.669,,
2/4/2021,Nevada,291601,424800,244381,1.48,9.47,45735,7.93,13.79,12130,13808,4483,0.686,,
2/5/2021,Nevada,304323,425300,252886,1.62,9.88,49925,8.21,13.81,12722,13448,4366,0.716,,
2/6/2021,Nevada,322252,427800,264060,1.83,10.46,56456,8.57,13.89,17929,14009,4548,0.753,,
2/7/2021,Nevada,334073,427800,269657,2.03,10.85,62654,8.75,13.89,11821,13285,4313,0.781,,
2/8/2021,Nevada,346685,427800,278091,2.17,11.26,66755,9.03,13.89,12612,13990,4542,0.81,,
2/9/2021,Nevada,351531,510200,282040,2.2,11.41,67651,9.16,16.56,4846,14051,4562,0.689,,
2/10/2021,Nevada,366333,521200,291370,2.37,11.89,73088,9.46,16.92,14802,12409,4029,0.703,,
2/11/2021,Nevada,379077,533800,299502,2.52,12.31,77555,9.72,17.33,12744,12497,4057,0.71,,
2/12/2021,Nevada,394172,533800,308611,2.71,12.8,83485,10.02,17.33,15095,12836,4167,0.738,,
2/13/2021,Nevada,411057,533800,318400,2.94,13.35,90476,10.34,17.33,16885,12686,4119,0.77,,
2/14/2021,Nevada,428423,534775,327691,3.2,13.91,98469,10.64,17.36,17366,13479,4376,0.801,,
2/15/2021,Nevada,,,,,,,,,,12990,4217,,,
2/16/2021,Nevada,446800,550375,336432,3.5,14.51,107905,10.92,17.87,,13610,4419,0.812,,
2/17/2021,Nevada,453012,593275,340695,3.57,14.71,109852,11.06,19.26,6212,12383,4020,0.764,,
2/18/2021,Nevada,466981,593275,346585,3.83,15.16,117870,11.25,19.26,13969,12558,4077,0.787,,
2/19/2021,Nevada,522332,645250,380921,4.5,16.96,138633,12.37,20.95,55351,18309,5944,0.81,,
2/20/2021,Nevada,555742,646450,393813,5.11,18.04,157477,12.79,20.99,33410,20669,6710,0.86,,
2/21/2021,Nevada,569810,646450,400079,5.37,18.5,165269,12.99,20.99,14068,20198,6557,0.881,,
2/22/2021,Nevada,586518,646450,401413,5.67,19.04,174793,13.03,20.99,16708,21272,6906,0.907,,
2/23/2021,Nevada,598423,719880,405839,5.91,19.43,181901,13.18,23.37,11905,21660,7032,0.831,,
2/24/2021,Nevada,606821,742630,409992,6.04,19.7,186083,13.31,24.11,8398,21973,7134,0.817,,
2/25/2021,Nevada,622189,809180,418700,6.25,20.2,192590,13.59,26.27,15368,22173,7199,0.769,,
2/26/2021,Nevada,642562,858340,427656,6.61,20.86,203549,13.88,27.87,20373,17176,5576,0.749,,
2/27/2021,Nevada,665577,867240,437485,7.02,21.61,216234,14.2,28.16,23015,15691,5094,0.767,,
2/28/2021,Nevada,685692,867240,447761,7.33,22.26,225648,14.54,28.16,20115,16555,5375,0.791,,
3/1/2021,Nevada,715121,867240,458492,7.74,23.22,238432,14.89,28.16,29429,18372,5965,0.825,,
3/2/2021,Nevada,723182,883370,462624,7.87,23.48,242435,15.02,28.68,8061,17823,5786,0.819,,
3/3/2021,Nevada,733953,958450,468499,8.03,23.83,247311,15.21,31.12,10771,18162,5896,0.766,,
3/4/2021,Nevada,750160,984300,478334,8.23,24.35,253502,15.53,31.96,16207,18282,5935,0.762,,
3/5/2021,Nevada,773285,1018580,493295,8.48,25.11,261159,16.02,33.07,23125,18675,6063,0.759,,
3/6/2021,Nevada,800030,1033680,508997,8.82,25.97,271618,16.53,33.56,26745,19208,6236,0.774,,
3/7/2021,Nevada,829262,1033680,527092,9.17,26.92,282424,17.11,33.56,29232,20510,6659,0.802,,
3/8/2021,Nevada,855890,1033680,539447,9.57,27.79,294908,17.51,33.56,26628,20110,6529,0.828,,
3/9/2021,Nevada,864967,1124830,544881,9.69,28.08,298403,17.69,36.52,9077,20255,6576,0.769,,
3/10/2021,Nevada,878645,1137630,553065,9.88,28.53,304199,17.96,36.93,13678,20670,6711,0.772,,
3/11/2021,Nevada,904504,1161380,568912,10.28,29.37,316682,18.47,37.71,25859,22049,7158,0.779,,
3/12/2021,Nevada,930754,1166260,585867,10.66,30.22,328394,19.02,37.86,26250,22496,7304,0.798,,
3/13/2021,Nevada,958706,1169770,603756,11.04,31.13,339960,19.6,37.98,27952,22668,7359,0.82,,
3/14/2021,Nevada,989342,1169770,622883,11.45,32.12,352638,20.22,37.98,30636,22869,7425,0.846,,
3/15/2021,Nevada,1013805,1169770,640086,11.7,32.91,360316,20.78,37.98,24463,22559,7324,0.867,,
3/16/2021,Nevada,1020137,1188400,644080,11.8,33.12,363581,20.91,38.58,6332,22167,7197,0.858,,
3/17/2021,Nevada,1034347,1302310,651736,12.04,33.58,370823,21.16,42.28,14210,22243,7221,0.794,,
3/18/2021,Nevada,1062287,1324080,672177,12.3,34.49,378958,21.82,42.99,27940,22540,7318,0.802,,
3/19/2021,Nevada,1086559,1334610,689756,12.55,35.28,386703,22.39,43.33,24272,22258,7226,0.814,,
3/20/2021,Nevada,1116221,1348650,710024,12.93,36.24,398417,23.05,43.79,29662,22502,7305,0.828,,
3/21/2021,Nevada,1145354,1348650,728878,13.33,37.18,410553,23.66,43.79,29133,22287,7236,0.849,,
3/22/2021,Nevada,1164939,1348650,742578,13.54,37.82,417067,24.11,43.79,19585,21591,7010,0.864,,
3/23/2021,Nevada,1170434,1389160,746550,13.59,38,418727,24.24,45.1,5495,21471,6971,0.843,,
3/24/2021,Nevada,1185896,1491350,757829,13.74,38.5,423335,24.6,48.42,15462,21650,7029,0.795,,
3/25/2021,Nevada,1214518,1511590,776760,14.09,39.43,433856,25.22,49.08,28622,21747,7060,0.803,,
3/26/2021,Nevada,1243965,1524590,794374,14.49,40.39,446240,25.79,49.5,29447,22487,7301,0.816,,
3/27/2021,Nevada,1274357,1548430,812950,14.9,41.37,458957,26.39,50.27,30392,22591,7334,0.823,,
3/28/2021,Nevada,1303006,1548430,828805,15.34,42.3,472434,26.91,50.27,28649,22522,7312,0.842,,
3/29/2021,Nevada,1328018,1548430,842620,15.71,43.12,483961,27.36,50.27,25012,23297,7564,0.858,,
3/30/2021,Nevada,1335002,1607680,845896,15.81,43.34,486838,27.46,52.19,6984,23510,7633,0.83,,
3/31/2021,Nevada,1348526,1704450,853774,15.98,43.78,492187,27.72,55.34,13524,23233,7543,0.791,,
4/1/2021,Nevada,1374197,1738190,870382,16.29,44.61,501868,28.26,56.43,25671,22811,7406,0.791,,
4/2/2021,Nevada,1399135,1762150,883760,16.71,45.42,514603,28.69,57.21,24938,22167,7197,0.794,,
4/3/2021,Nevada,1431817,1770070,899995,17.24,46.49,530902,29.22,57.47,32682,22494,7303,0.809,,
4/4/2021,Nevada,1462114,1770070,913961,17.81,47.47,548467,29.67,57.47,30297,22730,7379,0.826,,
4/5/2021,Nevada,1482433,1770070,924577,18.15,48.13,559150,30.02,57.47,20319,22059,7162,0.837,,
4/6/2021,Nevada,1487176,1880810,927099,18.21,48.28,560900,30.1,61.06,4743,21739,7058,0.791,,
4/7/2021,Nevada,1505143,1960140,937259,18.5,48.87,569765,30.43,63.64,17967,22374,7264,0.768,,
4/8/2021,Nevada,1536848,1976580,957169,19.03,49.9,586035,31.08,64.17,31705,23236,7544,0.778,,
4/9/2021,Nevada,1576189,2001620,982312,19.61,51.17,603867,31.89,64.98,39341,25293,8212,0.787,,
4/10/2021,Nevada,1615552,2014340,1006304,20.27,52.45,624316,32.67,65.4,39363,26248,8522,0.802,,
4/11/2021,Nevada,1652963,2014340,1028619,20.92,53.66,644363,33.4,65.4,37411,27264,8851,0.821,,
4/12/2021,Nevada,1684035,2014340,1045774,21.51,54.67,662481,33.95,65.4,31072,28800,9350,0.836,,
4/13/2021,Nevada,1692135,2033580,1050539,21.64,54.94,666537,34.11,66.02,8100,29280,9506,0.832,,
4/14/2021,Nevada,1709620,2142040,1060196,21.96,55.5,676261,34.42,69.54,17485,29211,9484,0.798,,
4/15/2021,Nevada,1744896,2152310,1078275,22.55,56.65,694463,35.01,69.88,35276,29721,9649,0.811,,
4/16/2021,Nevada,1774080,2166980,1094142,22.99,57.6,708126,35.52,70.35,29184,28270,9178,0.819,,
4/17/2021,Nevada,1803308,2202110,1109751,23.43,58.55,721821,36.03,71.49,29228,26822,8708,0.819,,
4/18/2021,Nevada,1834497,2202110,1123822,23.99,59.56,739071,36.49,71.49,31189,25933,8419,0.833,,
4/19/2021,Nevada,1856362,2202110,1132924,24.4,60.27,751571,36.78,71.49,21865,24618,7992,0.843,,
4/20/2021,Nevada,1863377,2213800,1136154,24.52,60.5,755157,36.89,71.87,7015,24463,7942,0.842,,
4/21/2021,Nevada,1879451,2323160,1142561,24.81,61.02,764096,37.09,75.42,16074,24262,7877,0.809,,
4/22/2021,Nevada,1901548,2333230,1152360,25.2,61.74,776174,37.41,75.75,22097,22379,7266,0.815,,
4/23/2021,Nevada,1922250,2367120,1162079,25.54,62.41,786816,37.73,76.85,20702,21167,6872,0.812,,
4/24/2021,Nevada,1943150,2396080,1172829,25.86,63.09,796601,38.08,77.79,20900,19977,6486,0.811,,
4/25/2021,Nevada,1966545,2396080,1183949,26.25,63.85,808503,38.44,77.79,23395,18864,6124,0.821,,
4/26/2021,Nevada,1985316,2396080,1193085,26.55,64.46,817847,38.73,77.79,18771,18422,5981,0.829,,
4/27/2021,Nevada,1991775,2478100,1196360,26.65,64.66,820830,38.84,80.45,6459,18343,5955,0.804,,
4/28/2021,Nevada,2005102,2496000,1201880,26.89,65.1,828359,39.02,81.03,13327,17950,5828,0.803,,
4/29/2021,Nevada,2026997,2499700,1210441,27.33,65.81,841808,39.3,81.15,21895,17921,5818,0.811,,
4/30/2021,Nevada,2051105,2519320,1219581,27.82,66.59,857021,39.59,81.79,24108,18408,5976,0.814,,
5/1/2021,Nevada,2075542,2540440,1228338,28.36,67.38,873639,39.88,82.48,24437,18913,6140,0.817,,
5/2/2021,Nevada,2097373,2540440,1235256,28.86,68.09,888966,40.1,82.48,21831,18690,6068,0.826,,
5/3/2021,Nevada,2108787,2540440,1238938,29.12,68.46,896881,40.22,82.48,11414,17639,5727,0.83,,
5/4/2021,Nevada,2111052,2569060,1239579,29.17,68.54,898594,40.24,83.41,2265,17040,5532,0.822,,
5/5/2021,Nevada,2122615,2585160,1243235,29.44,68.91,906669,40.36,83.93,11563,16788,5450,0.821,,
5/6/2021,Nevada,2146595,2596330,1251787,29.97,69.69,922995,40.64,84.29,23980,17085,5547,0.827,,
5/7/2021,Nevada,2167439,2605490,1259626,30.42,70.37,937081,40.89,84.59,20844,16619,5396,0.832,,
5/8/2021,Nevada,2186639,2636770,1264701,30.91,70.99,952097,41.06,85.61,19200,15871,5153,0.829,,
5/9/2021,Nevada,2209675,2636770,1271782,31.46,71.74,968902,41.29,85.61,23036,16043,5209,0.838,,
5/10/2021,Nevada,2227825,2636770,1278860,31.85,72.33,981087,41.52,85.61,18150,17005,5521,0.845,,
5/11/2021,Nevada,2236935,2665710,1283645,32.04,72.62,986771,41.67,86.54,9110,17983,5838,0.839,,
5/12/2021,Nevada,2248770,2668170,1287018,32.33,73.01,995821,41.78,86.62,11835,18022,5851,0.843,,
5/13/2021,Nevada,2264766,2673630,1292498,32.71,73.53,1007414,41.96,86.8,15996,16882,5481,0.847,,
5/14/2021,Nevada,2277475,2705030,1296725,33,73.94,1016557,42.1,87.82,12709,15719,5103,0.842,,
5/15/2021,Nevada,2314424,2727720,1303628,33.39,75.14,1028426,42.32,88.56,36949,18255,5927,0.848,,
5/16/2021,Nevada,2333621,2727720,1311047,33.8,75.76,1040958,42.56,88.56,19197,17707,5749,0.856,,
5/17/2021,Nevada,2343297,2727720,1315517,33.98,76.08,1046594,42.71,88.56,9676,16496,5356,0.859,,
5/18/2021,Nevada,2349915,2752080,1319636,34.08,76.29,1049676,42.84,89.35,6618,16140,5240,0.854,,
5/19/2021,Nevada,2359830,2754520,1324736,34.25,76.61,1055068,43.01,89.43,9915,15866,5151,0.857,,
5/20/2021,Nevada,2374041,2761920,1332956,34.5,77.08,1062502,43.28,89.67,14211,15611,5068,0.86,,
5/21/2021,Nevada,2392968,2783440,1342834,34.83,77.69,1072757,43.6,90.37,18927,16499,5357,0.86,,
5/22/2021,Nevada,2413573,2812740,1354773,35.16,78.36,1082900,43.98,91.32,20605,14164,4598,0.858,,
5/23/2021,Nevada,2427644,2812740,1361706,35.42,78.82,1091048,44.21,91.32,14071,13432,4361,0.863,,
5/24/2021,Nevada,2438877,2812740,1366973,35.64,79.18,1097809,44.38,91.32,11233,13654,4433,0.867,,
5/25/2021,Nevada,2443724,2822990,1370128,35.72,79.34,1100149,44.48,91.65,4847,13401,4351,0.866,,
5/26/2021,Nevada,2452084,2824590,1374266,35.88,79.61,1105303,44.62,91.7,8360,13179,4279,0.868,,
5/27/2021,Nevada,2465315,2836050,1381074,36.13,80.04,1112760,44.84,92.07,13231,13039,4233,0.869,,
5/28/2021,Nevada,2478269,2836190,1387913,36.36,80.46,1119961,45.06,92.08,12954,12186,3956,0.874,,
5/29/2021,Nevada,2490170,2898670,1394477,36.58,80.85,1126603,45.27,94.11,11901,10942,3552,0.859,,
5/30/2021,Nevada,2501619,2898670,1400474,36.78,81.22,1132866,45.47,94.11,11449,10568,3431,0.863,,
5/31/2021,Nevada,,,,,,,,,,9868,3204,,,
6/1/2021,Nevada,2514286,2898670,1408090,36.99,81.63,1139340,45.71,94.11,,10080,3273,0.867,,
6/2/2021,Nevada,2518129,2910370,1410492,37.05,81.75,1141079,45.79,94.49,3843,9435,3063,0.865,,
6/3/2021,Nevada,2525610,2913890,1414032,37.2,82,1145796,45.91,94.6,7481,8614,2797,0.867,,
6/4/2021,Nevada,2535207,2925540,1418973,37.37,82.31,1151116,46.07,94.98,9597,8134,2641,0.867,,
6/5/2021,Nevada,2535482,2955480,1419354,37.38,82.32,1151418,46.08,95.95,275,6473,2102,0.858,,0.05
6/6/2021,Nevada,2545697,2955480,1424812,37.56,82.65,1156835,46.26,95.95,10215,6297,2044,0.861,,0.05
6/7/2021,Nevada,2566097,2955480,1433848,37.95,83.31,1169042,46.55,95.95,20400,8306,2697,0.868,,0.05
6/8/2021,Nevada,2571731,2956650,1436491,38.06,83.49,1172354,46.64,95.99,5634,8206,2664,0.87,,0.05
6/9/2021,Nevada,2571894,2956890,1436661,38.07,83.5,1172550,46.64,96,163,7681,2494,0.87,,0.05
6/10/2021,Nevada,2578580,2956930,1439437,38.21,83.72,1176814,46.73,96,6686,7567,2457,0.872,,0.05
6/11/2021,Nevada,2590262,2966970,1444581,38.44,84.1,1183999,46.9,96.33,11682,7865,2553,0.873,,0.05
6/12/2021,Nevada,2607988,2988140,1453556,38.74,84.67,1193391,47.19,97.01,17726,10358,3363,0.873,,0.05
6/13/2021,Nevada,2616844,2988140,1457918,38.91,84.96,1198513,47.33,97.01,8856,10164,3300,0.876,,0.05
6/14/2021,Nevada,2625235,2988140,1461040,39.1,85.23,1204430,47.43,97.01,8391,8448,2743,0.879,,0.05
6/15/2021,Nevada,2631465,2989510,1463360,39.24,85.43,1208807,47.51,97.06,6230,8533,2770,0.88,,0.05
6/16/2021,Nevada,2649807,2990680,1469828,39.65,86.03,1221242,47.72,97.1,18342,11130,3613,0.886,,0.05
6/17/2021,Nevada,2657281,2993960,1473050,39.81,86.27,1226328,47.82,97.2,7474,11243,3650,0.888,,0.05
6/18/2021,Nevada,2667757,3007290,1477206,40.05,86.61,1233520,47.96,97.63,10476,11071,3594,0.887,,0.05
6/19/2021,Nevada,2676774,3023840,1481040,40.24,86.9,1239448,48.08,98.17,9017,9827,3190,0.885,,0.26
6/20/2021,Nevada,2682974,3023840,1483525,40.37,87.11,1243592,48.16,98.17,6200,9447,3067,0.887,,0.3
6/21/2021,Nevada,2692825,3023840,1487825,40.58,87.42,1249921,48.3,98.17,9851,9656,3135,0.891,,0.3
6/22/2021,Nevada,2696755,3029350,1489557,40.66,87.55,1252492,48.36,98.35,3930,9327,3028,0.89,,0.3
6/23/2021,Nevada,2701087,3031170,1491518,40.75,87.69,1255294,48.42,98.41,4332,7326,2378,0.891,,0.3
6/24/2021,Nevada,2707121,3032630,1494620,40.87,87.89,1258761,48.52,98.46,6034,7120,2312,0.893,,0.3
6/25/2021,Nevada,2707225,3048120,1494846,40.87,87.89,1258947,48.53,98.96,104,5638,1830,0.888,,0.56
6/26/2021,Nevada,2724941,3065440,1505491,41.1,88.47,1266044,48.88,99.52,17716,6881,2234,0.889,,
6/27/2021,Nevada,2743325,3065440,1512602,41.48,89.06,1277678,49.11,99.52,18384,8622,2799,0.895,,0.66
6/28/2021,Nevada,2761997,3065440,1521901,41.76,89.67,1286254,49.41,99.52,18672,9882,3208,0.901,,0.66
6/29/2021,Nevada,2768190,3076270,1525112,41.84,89.87,1288725,49.51,99.87,6193,10205,3313,0.9,,0.66
6/30/2021,Nevada,2776098,3076270,1529482,41.94,90.13,1291822,49.66,99.87,7908,10716,3479,0.902,,0.66
7/1/2021,Nevada,2783847,3079850,1533848,42.07,90.38,1295849,49.8,99.99,7749,10961,3559,0.904,,0.66
7/2/2021,Nevada,2790009,3083170,1537439,42.17,90.58,1298818,49.91,100.1,6162,11826,3839,0.905,,0.66
7/3/2021,Nevada,2796118,3087570,1541256,42.26,90.78,1301640,50.04,100.24,6109,10168,3301,0.906,,0.79
7/4/2021,Nevada,2804838,3087570,1546054,42.39,91.06,1305533,50.19,100.24,8720,8788,2853,0.908,,0.79
7/5/2021,Nevada,,,,,,,,,,6832,2218,,,0.79
7/6/2021,Nevada,2814798,3087570,1552112,42.5,91.38,1309061,50.39,100.24,,6658,2162,0.912,,0.79
7/7/2021,Nevada,2817786,3087570,1553753,42.55,91.48,1310572,50.44,100.24,2988,5955,1933,0.913,,0.79
7/8/2021,Nevada,2824487,3131510,1558003,42.64,91.7,1313510,50.58,101.67,6701,5806,1885,0.902,,0.79
7/9/2021,Nevada,2830843,3134690,1561919,42.74,91.91,1316396,50.71,101.77,6356,5833,1894,0.903,,0.99
7/10/2021,Nevada,2836712,3144570,1565827,42.82,92.1,1318982,50.84,102.09,5869,5799,1883,0.902,,
7/11/2021,Nevada,2841527,3149520,1568958,42.89,92.25,1321141,50.94,102.25,4815,5241,1702,0.902,,
7/12/2021,Nevada,2847160,3149520,1572631,42.96,92.44,1323370,51.06,102.25,5633,5335,1732,0.904,,
7/13/2021,Nevada,2851032,3151460,1575174,43.01,92.56,1324826,51.14,102.31,3872,5176,1680,0.905,,
7/14/2021,Nevada,2855865,3157810,1578087,43.08,92.72,1326956,51.23,102.52,4833,5440,1766,0.904,,0.99
7/15/2021,Nevada,2861309,3160250,1582022,43.14,92.89,1328846,51.36,102.6,5444,5260,1708,0.905,,1.21
7/16/2021,Nevada,2867707,3165390,1586745,43.21,93.1,1330894,51.52,102.77,6398,5266,1710,0.906,,1.21
7/17/2021,Nevada,2873721,3182690,1590760,43.29,93.3,1333331,51.65,103.33,6014,5287,1716,0.903,,1.21
7/18/2021,Nevada,2880103,3182690,1594888,43.37,93.51,1335853,51.78,103.33,6382,5511,1789,0.905,,1.42
7/19/2021,Nevada,2885468,3182690,1598515,43.43,93.68,1337825,51.9,103.33,5365,5473,1777,0.907,,1.42
7/20/2021,Nevada,2889123,3185700,1600788,43.49,93.8,1339499,51.97,103.43,3655,5442,1767,0.907,,1.42
7/21/2021,Nevada,2895012,3197650,1604601,43.56,93.99,1341798,52.09,103.81,5889,5592,1815,0.905,,1.56
7/22/2021,Nevada,2900886,3204650,1608607,43.64,94.18,1344053,52.22,104.04,5874,5654,1836,0.905,,1.88
7/23/2021,Nevada,2908084,3239420,1613536,43.72,94.41,1346575,52.38,105.17,7198,5768,1873,0.898,,2.04
7/24/2021,Nevada,2916412,3245440,1619193,43.82,94.68,1349800,52.57,105.37,8328,6099,1980,0.899,,2.13
7/25/2021,Nevada,2923004,3245540,1623683,43.9,94.9,1352332,52.71,105.37,6592,6129,1990,0.901,,2.38
7/26/2021,Nevada,2930843,3245540,1628921,43.99,95.15,1354946,52.88,105.37,7839,6482,2104,0.903,,2.38
7/27/2021,Nevada,2935705,3250070,1632190,44.05,95.31,1356716,52.99,105.52,4862,6655,2161,0.903,,2.38
7/28/2021,Nevada,2941670,3261040,1636508,44.11,95.5,1358634,53.13,105.87,5965,6665,2164,0.902,,2.85
7/29/2021,Nevada,2947354,3267970,1640359,44.18,95.69,1360934,53.26,106.1,5684,6638,2155,0.902,,3.1
7/30/2021,Nevada,2957621,3307200,1647017,44.31,96.02,1364717,53.47,107.37,10267,7077,2298,0.894,,3.23
7/31/2021,Nevada,2965093,3315390,1652020,44.4,96.26,1367562,53.63,107.64,7472,6954,2258,0.894,,3.23
8/1/2021,Nevada,2974860,3315390,1658242,44.52,96.58,1371300,53.84,107.64,9767,7408,2405,0.897,,3.23
8/2/2021,Nevada,2982219,3315390,1663156,44.6,96.82,1373864,54,107.64,7359,7339,2383,0.9,,3.23
8/3/2021,Nevada,2987621,3317270,1666805,44.67,97,1375778,54.11,107.7,5402,7417,2408,0.901,,3.23
8/4/2021,Nevada,2994091,3326460,1671409,44.74,97.21,1378022,54.26,108,6470,7489,2431,0.9,,3.42
8/5/2021,Nevada,3001625,3337870,1676459,44.83,97.45,1380831,54.43,108.37,7534,7753,2517,0.899,,
8/6/2021,Nevada,3010544,3355800,1682374,44.94,97.74,1384243,54.62,108.95,8919,7560,2454,0.897,,
8/7/2021,Nevada,3018890,3396040,1688120,45.05,98.01,1387468,54.81,110.26,8346,7685,2495,0.889,,3.48
8/8/2021,Nevada,3026079,3396040,1692896,45.13,98.24,1390125,54.96,110.26,7189,7317,2376,0.891,,
8/9/2021,Nevada,3035768,3396040,1698913,45.25,98.56,1393754,55.16,110.26,9689,7650,2484,0.894,,
8/10/2021,Nevada,3041339,3403910,1702416,45.32,98.74,1395968,55.27,110.51,5571,7674,2491,0.893,,
8/11/2021,Nevada,3046186,3408320,1705382,45.4,98.9,1398281,55.37,110.65,4847,7442,2416,0.894,,3.49
8/12/2021,Nevada,3050470,3417380,1708065,45.46,99.04,1400235,55.45,110.95,4284,6978,2265,0.893,,3.49
8/13/2021,Nevada,3061607,3460560,1714566,45.62,99.4,1405111,55.66,112.35,11137,7295,2368,0.885,,3.49
8/14/2021,Nevada,3070083,3477630,1719430,45.74,99.67,1408899,55.82,112.9,8476,7313,2374,0.883,,3.61
8/15/2021,Nevada,3076968,3477630,1723546,45.84,99.9,1411919,55.96,112.9,6885,7270,2360,0.885,,
8/16/2021,Nevada,3086881,3477630,1728694,45.99,100.22,1416526,56.12,112.9,9913,7302,2371,0.888,,
