date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
2/2/2021,Nevada,253174,417175,214342,1.22,8.22,37568,6.96,13.54,4420,12687,4119,0.607,,
2/3/2021,Nevada,279471,417875,236799,1.34,9.07,41227,7.69,13.57,26297,15015,4875,0.669,,
2/4/2021,Nevada,291601,424800,244381,1.48,9.47,45735,7.93,13.79,12130,13808,4483,0.686,,
2/5/2021,Nevada,304323,425300,252886,1.62,9.88,49925,8.21,13.81,12722,13448,4366,0.716,,
2/6/2021,Nevada,322252,427800,264060,1.83,10.46,56456,8.57,13.89,17929,14009,4548,0.753,,
2/7/2021,Nevada,334073,427800,269657,2.03,10.85,62654,8.75,13.89,11821,13285,4313,0.781,,
2/8/2021,Nevada,346685,427800,278091,2.17,11.26,66755,9.03,13.89,12612,13990,4542,0.81,,
2/9/2021,Nevada,351531,510200,282040,2.2,11.41,67651,9.16,16.56,4846,14051,4562,0.689,,
2/10/2021,Nevada,366333,521200,291370,2.37,11.89,73088,9.46,16.92,14802,12409,4029,0.703,,
2/11/2021,Nevada,379077,533800,299502,2.52,12.31,77555,9.72,17.33,12744,12497,4057,0.71,,
2/12/2021,Nevada,394172,533800,308611,2.71,12.8,83485,10.02,17.33,15095,12836,4167,0.738,,
2/13/2021,Nevada,411057,533800,318400,2.94,13.35,90476,10.34,17.33,16885,12686,4119,0.77,,
2/14/2021,Nevada,428423,534775,327691,3.2,13.91,98469,10.64,17.36,17366,13479,4376,0.801,,
2/15/2021,Nevada,,,,,,,,,,12990,4217,,,
2/16/2021,Nevada,446800,550375,336432,3.5,14.51,107905,10.92,17.87,,13610,4419,0.812,,
2/17/2021,Nevada,453012,593275,340695,3.57,14.71,109852,11.06,19.26,6212,12383,4020,0.764,,
2/18/2021,Nevada,466981,593275,346585,3.83,15.16,117870,11.25,19.26,13969,12558,4077,0.787,,
2/19/2021,Nevada,522332,645250,380921,4.5,16.96,138633,12.37,20.95,55351,18309,5944,0.81,,
2/20/2021,Nevada,555742,646450,393813,5.11,18.04,157477,12.79,20.99,33410,20669,6710,0.86,,
2/21/2021,Nevada,569810,646450,400079,5.37,18.5,165269,12.99,20.99,14068,20198,6557,0.881,,
2/22/2021,Nevada,586518,646450,401413,5.67,19.04,174793,13.03,20.99,16708,21272,6906,0.907,,
2/23/2021,Nevada,598423,719880,405839,5.91,19.43,181901,13.18,23.37,11905,21660,7032,0.831,,
2/24/2021,Nevada,606821,742630,409992,6.04,19.7,186083,13.31,24.11,8398,21973,7134,0.817,,
2/25/2021,Nevada,622189,809180,418700,6.25,20.2,192590,13.59,26.27,15368,22173,7199,0.769,,
2/26/2021,Nevada,642562,858340,427656,6.61,20.86,203549,13.88,27.87,20373,17176,5576,0.749,,
2/27/2021,Nevada,665577,867240,437485,7.02,21.61,216234,14.2,28.16,23015,15691,5094,0.767,,
2/28/2021,Nevada,685692,867240,447761,7.33,22.26,225648,14.54,28.16,20115,16555,5375,0.791,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,
0.26,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,
0.56,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.66,,,,,,,,,,,,,,,
0.66,,,,,,,,,,,,,,,
0.66,,,,,,,,,,,,,,,
0.66,,,,,,,,,,,,,,,
0.66,,,,,,,,,,,,,,,
0.66,,,,,,,,,,,,,,,
0.79,,,,,,,,,,,,,,,
0.79,,,,,,,,,,,,,,,
0.79,,,,,,,,,,,,,,,
0.79,,,,,,,,,,,,,,,
0.79,,,,,,,,,,,,,,,
0.79,,,,,,,,,,,,,,,
0.99,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.99,,,,,,,,,,,,,,,
1.21,,,,,,,,,,,,,,,
1.21,,,,,,,,,,,,,,,
1.21,,,,,,,,,,,,,,,
1.42,,,,,,,,,,,,,,,
1.42,,,,,,,,,,,,,,,
1.42,,,,,,,,,,,,,,,
1.56,,,,,,,,,,,,,,,
1.88,,,,,,,,,,,,,,,
2.04,,,,,,,,,,,,,,,
2.13,,,,,,,,,,,,,,,
2.38,,,,,,,,,,,,,,,
2.38,,,,,,,,,,,,,,,
2.38,,,,,,,,,,,,,,,
2.85,,,,,,,,,,,,,,,
3.1,,,,,,,,,,,,,,,
3.23,,,,,,,,,,,,,,,
3.23,,,,,,,,,,,,,,,
3.23,,,,,,,,,,,,,,,
3.23,,,,,,,,,,,,,,,
3.23,,,,,,,,,,,,,,,
3.42,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3.48,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3.49,,,,,,,,,,,,,,,
3.49,,,,,,,,,,,,,,,
3.49,,,,,,,,,,,,,,,
3.61,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3.66,,,,,,,,,,,,,,,
3.7,,,,,,,,,,,,,,,
3.76,,,,,,,,,,,,,,,
3.83,,,,,,,,,,,,,,,
3.83,,,,,,,,,,,,,,,
3.83,,,,,,,,,,,,,,,
3.94,,,,,,,,,,,,,,,
3.94,,,,,,,,,,,,,,,
4.03,,,,,,,,,,,,,,,
4.07,,,,,,,,,,,,,,,
4.12,,,,,,,,,,,,,,,
4.12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
4.46,,,,,,,,,,,,,,,
4.55,,,,,,,,,,,,,,,
4.55,,,,,,,,,,,,,,,
4.55,,,,,,,,,,,,,,,
4.55,,,,,,,,,,,,,,,
4.55,,,,,,,,,,,,,,,
4.85,,,,,,,,,,,,,,,
4.85,,,,,,,,,,,,,,,
4.85,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
