id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
1,Alaska,Anchorage,1,Wed 11/25,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,20.59,29.86,93,4,N,0,0,1005,72,1606251600,-32400
2,Alaska,Anchorage,2,Thu 11/26,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,25.12,27.84,94,13,N,0,5.11,988,89,1606338000,-32400
3,Alaska,Anchorage,3,Fri 11/27,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,26.13,32.02,91,5,S,0,0,1002,59,1606424400,-32400
4,Alaska,Anchorage,4,Sat 11/28,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,25.47,30.4,97,2,NW,0,0.99,1005,100,1606510800,-32400
5,Alaska,Anchorage,5,Sun 11/29,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,25.9,32.18,97,15,NW,0.47,0,984,100,1606597200,-32400
6,Alaska,Fairbanks,1,Wed 11/25,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,-1.1,6.73,91,5,N,0,0,1009,81,1606251600,-32400
7,Alaska,Fairbanks,2,Thu 11/26,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,10.42,21.74,91,5,NE,0,0.4,990,86,1606338000,-32400
8,Alaska,Fairbanks,3,Fri 11/27,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,5.65,15.58,95,2,E,0,0.87,1001,100,1606424400,-32400
9,Alaska,Fairbanks,4,Sat 11/28,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,6.55,10.72,91,5,NE,0,0,1006,80,1606510800,-32400
10,Alaska,Fairbanks,5,Sun 11/29,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,8.35,19.76,92,5,NE,0,0.15,998,100,1606597200,-32400
11,Alaska,Juneau,1,Wed 11/25,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,24.42,36.46,81,1,N,0,0,1001,98,1606248000,-32400
12,Alaska,Juneau,2,Thu 11/26,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,22.89,37.36,93,5,E,0,0,1014,100,1606334400,-32400
13,Alaska,Juneau,3,Fri 11/27,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.62,37.85,81,10,S,0,0,1006,100,1606420800,-32400
14,Alaska,Juneau,4,Sat 11/28,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,24.64,35.62,92,4,N,0,0,1012,100,1606507200,-32400
15,Alaska,Juneau,5,Sun 11/29,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,21.85,35.33,90,7,E,0,0,1019,100,1606593600,-32400
16,Colorado,Denver/Boulder,1,Wed 11/25,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,29.41,39.18,75,3,NE,0.68,0,1014,98,1606240800,-25200
17,Colorado,Denver/Boulder,2,Thu 11/26,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,27.79,49.84,48,2,E,0,0,1012,0,1606327200,-25200
18,Colorado,Denver/Boulder,3,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,27.7,43,60,5,NE,0,0,1018,1,1606413600,-25200
19,Colorado,Denver/Boulder,4,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,23.77,46.6,47,1,E,0,0,1029,0,1606500000,-25200
20,Colorado,Denver/Boulder,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,35.91,58.69,31,7,SW,0,0,1022,4,1606586400,-25200
21,Colorado,Grand Junction,1,Wed 11/25,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,36.27,46.18,58,11,NW,0.42,0,1014,44,1606244400,-25200
22,Colorado,Grand Junction,2,Thu 11/26,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.86,47.55,55,9,SE,0,0,1018,0,1606330800,-25200
23,Colorado,Grand Junction,3,Fri 11/27,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,30.45,41.74,60,6,NW,0,0,1020,66,1606417200,-25200
24,Colorado,Grand Junction,4,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,27.27,40.75,60,4,E,0,0,1032,0,1606503600,-25200
25,Colorado,Grand Junction,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,29.95,45.36,52,3,E,0,0,1030,0,1606590000,-25200
26,Colorado,Pueblo,1,Wed 11/25,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,31.84,46.63,74,15,N,2.58,0,1009,76,1606240800,-25200
27,Colorado,Pueblo,2,Thu 11/26,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,30.33,44.65,64,4,S,0,0,1013,0,1606327200,-25200
28,Colorado,Pueblo,3,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,33.94,46.6,52,1,NE,0,0,1014,3,1606413600,-25200
29,Colorado,Pueblo,4,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,30.47,43.27,60,7,S,0,0,1027,0,1606500000,-25200
30,Colorado,Pueblo,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,33.73,55.87,41,5,SW,0,0,1021,0,1606586400,-25200
31,Illinois,Chicago,1,Tue 11/24,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,32.58,42.84,90,8,SE,11.07,0,1021,98,1606237200,-21600
32,Illinois,Chicago,2,Wed 11/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,43.74,50.2,96,5,E,9.59,0,1008,100,1606323600,-21600
33,Illinois,Chicago,3,Thu 11/26,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,44.82,51.46,76,10,SW,0,0,1015,89,1606410000,-21600
34,Illinois,Chicago,4,Fri 11/27,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,37.65,46.22,61,8,NW,0,0,1017,69,1606496400,-21600
35,Illinois,Chicago,5,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.08,41.86,64,8,SW,0,0,1022,0,1606582800,-21600
36,Illinois,Lincoln,1,Tue 11/24,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,39.16,48.34,70,15,SE,11.39,0,1019,98,1606237200,-21600
37,Illinois,Lincoln,2,Wed 11/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,45.41,60.22,71,10,SE,19.52,0,1006,76,1606323600,-21600
38,Illinois,Lincoln,3,Thu 11/26,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,45.93,51.94,74,9,SW,0,0,1017,84,1606410000,-21600
39,Illinois,Lincoln,4,Fri 11/27,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,38.57,49.84,61,12,NW,0,0,1017,16,1606496400,-21600
40,Illinois,Lincoln,5,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.5,44.11,60,6,W,0,0,1024,0,1606582800,-21600
41,Indiana,Indianapolis,1,Tue 11/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,39.06,46.92,67,12,SE,2.22,0,1023,98,1606237200,-18000
42,Indiana,Indianapolis,2,Wed 11/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,46.27,58.32,88,15,SE,23.93,0,1009,98,1606323600,-18000
43,Indiana,Indianapolis,3,Thu 11/26,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,50.38,54.79,73,7,SW,0.32,0,1017,94,1606410000,-18000
44,Indiana,Indianapolis,4,Fri 11/27,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,45.79,57.33,69,8,S,0,0,1016,20,1606496400,-18000
45,Indiana,Indianapolis,5,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.53,45.48,57,5,NW,0,0,1023,0,1606582800,-18000
46,Indiana,Northern Indiana,1,Tue 11/24,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,31.51,39.85,94,12,SE,4.39,0,1024,98,1606237200,-18000
47,Indiana,Northern Indiana,2,Wed 11/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,41.97,54.7,91,9,SE,21.84,0,1010,100,1606323600,-18000
48,Indiana,Northern Indiana,3,Thu 11/26,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,44.46,50.83,82,9,SW,0.19,0,1016,97,1606410000,-18000
49,Indiana,Northern Indiana,4,Fri 11/27,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.93,51.64,80,11,S,0.21,0,1015,88,1606496400,-18000
50,Indiana,Northern Indiana,5,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.72,42.6,63,8,W,0,0,1022,2,1606582800,-18000
51,Iowa,Davenport/Quad Cities,1,Tue 11/24,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,34,42.82,90,16,SE,25.61,0,1017,99,1606237200,-21600
52,Iowa,Davenport/Quad Cities,2,Wed 11/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,43.7,48.24,98,6,NE,19.7,0,1007,100,1606323600,-21600
53,Iowa,Davenport/Quad Cities,3,Thu 11/26,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,42.57,51.96,75,12,S,0,0,1015,21,1606410000,-21600
54,Iowa,Davenport/Quad Cities,4,Fri 11/27,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,34.18,43.95,66,10,NW,0,0,1018,90,1606496400,-21600
55,Iowa,Davenport/Quad Cities,5,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,30.74,43.92,64,10,SW,0,0,1023,0,1606582800,-21600
56,Iowa,Des Moines,1,Wed 11/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,35.15,44.1,94,7,SE,16.59,0,1012,98,1606240800,-21600
57,Iowa,Des Moines,2,Thu 11/26,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,43.54,45.21,91,13,NW,18.81,0,1010,100,1606327200,-21600
58,Iowa,Des Moines,3,Fri 11/27,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,35.76,50.88,52,14,SW,0,0,1013,0,1606413600,-21600
59,Iowa,Des Moines,4,Sat 11/28,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.79,44.73,59,11,W,0,0,1021,0,1606500000,-21600
60,Iowa,Des Moines,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.17,50.02,54,11,S,0,0,1021,0,1606586400,-21600
61,Kansas,Dodge City,1,Wed 11/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,36.68,58.62,74,15,S,7.14,0,1003,97,1606240800,-21600
62,Kansas,Dodge City,2,Thu 11/26,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.81,53.82,45,9,W,0,0,1017,0,1606327200,-21600
63,Kansas,Dodge City,3,Fri 11/27,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,37.02,49.51,48,8,N,0,0,1011,16,1606413600,-21600
64,Kansas,Dodge City,4,Sat 11/28,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,33.82,49.3,51,9,NW,0,0,1026,46,1606500000,-21600
65,Kansas,Dodge City,5,Sun 11/29,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,34.79,56.82,39,6,SW,0,0,1023,0,1606586400,-21600
66,Kansas,Goodland,1,Wed 11/25,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,33.6,45.09,90,25,NW,0.9,0,1010,98,1606240800,-25200
