id,First name,Last name,Date of birth,Country of birth,City of birth,Year of award,Category,Motivation
1,Elinor,Ostrom,8/7/1933,USA,"Los Angeles, CA",2009.0,economics,"for her analysis of economic governance, especially the commons"
2,Wangari Muta,Maathai,4/1/1940,Kenya,Nyeri,2004.0,peace,"for her contribution to sustainable development, democracy and peace"
3,Dorothy Crowfoot,Hodgkin,5/12/1910,Egypt,Cairo,1964.0,chemistry,for her determinations by X-ray techniques of the structures of important biochemical substances
4,Youyou,Tu,12/30/1930,China,Zhejiang Ningbo,2015.0,medicine,for her discoveries concerning a novel therapy against Malaria
5,Barbara,McClintock,6/16/1902,USA,"Hartford, CT",1983.0,medicine,for her discovery of mobile genetic elements
6,Shirin,Ebadi,6/21/1947,Iran,Hamadan,2003.0,peace,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children
7,Grazia,Deledda,09/27/1871,Italy,"Nuoro, Sardinia",1926.0,literature,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general
8,Gabriela,Mistral,04/07/1889,Chile,Vicu_a,1945.0,literature,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world"
9,Elfriede,Jelinek,10/20/1946,Austria,Morzzuschlag,2004.0,literature,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power
10,Aung San Suu,Kyi,6/19/1945,Burma (now Myanmar),Rangoon (now Yangon),1991.0,peace,for her non-violent struggle for democracy and human rights
11,Nelly,Sachs,12/10/1891,Germany,Berlin,1966.0,literature,"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength "
12,Svetlana,Alexievich,5/31/1948,Ukraine,Ivano-Frankivsk,2015.0,literature,"for her polyphonic writings, a monument to suffering and courage in our time"
13,Pearl,Buck,06/26/1892,USA,"Hillsboro, WV",1938.0,literature,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces
14,Wislawa,Szymborska,7/2/1923,Poland,Bnin (now Krnik),1996.0,literature,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality
15,Ada E.,Yonath,6/22/1939,British Mandate of Palestine (now Israel),Jerusalem,2009.0,chemistry,for studies of the structure and function of the ribosome
16,Rosalyn,Yalow,7/19/1921,USA,"New York, NY",1977.0,medicine,for the development of radioimmunoassays of peptide hormones
17,Carol W.,Greider,4/15/1961,USA,"San Diego, CA",2009.0,medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
18,Elizabeth H.,Blackburn,11/26/1948,Australia,"Hobart, Tasmania",2009.0,medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
19,Maria,Goeppert Mayer,6/28/1906,Germany (now Poland),Kattowitz (now Katowice),1963.0,physics,for their discoveries concerning nuclear shell structure
20,Christiane,Nosslein-Volhard,10/20/1942,Germany,Magdeburg,1995.0,medicine,for their discoveries concerning the genetic control of early embryonic development
21,May-Britt,Moser,1/4/1963,Norway,Fosnaveg,2014.0,medicine,for their discoveries of cells that constitute a positioning system in the brain
22,Rita,Levi-Montalcini,4/22/1909,Italy,Turin,1986.0,medicine,for their discoveries of growth factors
23,Gertrude B.,Elion,1/23/1918,USA,"New York, NY",1988.0,medicine,for their discoveries of important principles for drug treatment
24,Linda B.,Buck,1/29/1947,USA,"Seattle, WA",2004.0,medicine,for their discoveries of odorant receptors and the organization of the olfactory system
25,Francoise,Barr_-Sinoussi,7/30/1947,France,Paris,2008.0,medicine,for their discovery of human immunodeficiency virus
26,Gerty Theresa,Radnitz,08/15/1896,Austria-Hungary (now Czech Republic),Prague,1947.0,medicine,for their discovery of the course of the catalytic conversion of glycogen
27,Ellen,Johnson Sirleaf,10/29/1938,Liberia,Monrovia,2011.0,peace,for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work
28,Leymah,Gbowee,2/1/1972,Liberia,Monrovia,2011.0,peace,for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work
29,Tawakkol,Karman,2/7/1979,Yemen,Taizz,2011.0,peace,for their non-violent struggle for the safety of women and for women&apos;s rights to full participation in peace-building work
30,Malala,Yousafzai,7/12/1997,Pakistan,Mingora,2014.0,peace,for their struggle against the suppression of children and young people and for the right of all children to education
31,Jody,Williams,10/9/1950,USA,"Putney, VT",1997.0,peace,for their work for the banning and clearing of anti-personnel mines
32,Selma Ottilia Lovisa,Larerl,11/20/1858,Sweden,Merbacka,1909.0,literature,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings"
33,Marie,Curie,11/07/1867,Russian Empire (now Poland),Warsaw,1911.0,chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element"
34,Rigoberta,Menchì Tum,1/9/1959,Guatemala,Aldea Chimel,1992.0,peace,in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples
35,Irene,Joliot-Curie,09/12/1897,France,Paris,1935.0,chemistry,in recognition of their synthesis of new radioactive elements
36,Alice,Munro,7/10/1931,Canada,Wingham,2013.0,literature,master of the contemporary short story
37,Sigrid,Undset,05/20/1882,Denmark,Kalundborg,1928.0,literature,principally for her powerful descriptions of Northern life during the Middle Ages
38,Doris,Lessing,10/22/1919,Persia (now Iran),Kermanshah,2007.0,literature,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny"
39,Toni,Morrison,2/18/1931,USA,"Lorain, OH",1993.0,literature,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality"
40,Nadine,Gordimer,11/19/1923,South Africa,Springs,1991.0,literature,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity
41,Herta,Moller,8/17/1953,Romania,"Nitzkydorf, Banat",2009.0,literature,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed"
42,Betty,Williams,5/22/1943,Northern Ireland,Belfast,1976.0,peace,
43,Mairead,Corrigan,1/27/1944,Northern Ireland,Belfast,1976.0,peace,
44,Alva,Myrdal,1/31/1902,Sweden,Uppsala,1982.0,peace,
45,Mother,Teresa,8/26/1910,Ottoman Empire (now Republic of Macedonia),Uskup (now Skopje),1979.0,peace,
46,Baroness Bertha Sophie Felicita,"von Suttner, n_e Countess Kinsky von Chinic und Tettau",06/09/1843,Austrian Empire (now Czech Republic),Prague,1905.0,peace,
47,Jane,Addams,09/06/1860,USA,"Cedarville, IL",1931.0,peace,
48,Emily Greene,Balch,01/08/1867,USA,"Jamaica Plain, MA (now Boston)",1946.0,peace,
49,Bjernstjerne Martinus,Bjemson,12/08/1832,Norway,Kvikne,1903.0,literature,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"
