id,Period Number,Name,Symbol,Atomic Number,Atomic Weight,Melting Point,Boiling Point,Density,Phase at Room Temperature,Element Classification,Group,Uses
1,1.0,Hydrogen,H,1.0,1.00794,-434.81,-423.17,8.988e-05,Gas,Non-metal,No definitive group,"Sun and Stars, Water"
2,1.0,Helium,He,2.0,4.002602,-458.0,-452.07,0.0001785,Has,Non-metal,Noble Gas,"Ballons, Lasers, Refrigerants"
3,2.0,Lithium,Li,3.0,6.941,356.9,2448.0,0.534,Solid,Metal,Alkali Metals,"Batteries, Ceramic Cookware"
4,2.0,Beryllium,Be,4.0,9.1021831,2349.0,4480.0,1.85,Solid,Metal,Alkali Earth Metals,"Emeralds, Copper Alloy Tools"
5,2.0,Boron,Be,5.0,10.811,3767.0,7232.0,2.37,Solid,Semi-metal,Metalloids,"Sports Equipment, Fertilizer, Soap"
6,2.0,Carbon,C,6.0,12.0107,6422.0,6917.0,2.267,Solid,Non-metal,Non-metal,"Building Block of Life, Wood, Paper, Oil, Plastic"
7,2.0,Nitrogen,N,7.0,14.00674,-346.0,-320.44,0.0012506,Gas,Non-metal,Non-metal,"Muscles, DNA, Fertilizer, Refrigerants"
8,2.0,Oxygen,O,8.0,15.9994,-361.82,-297.31,0.001429,Gas,Non-metal,Non-metal,"Air, Earth's Crust, Minerals"
9,2.0,Fluorine,F,9.0,18.9984032,-363.32,-306.62,0.001696,Gas,Non-metal,Halogens,"Toothpaste, Refrigerants, Nonstick Cookware"
10,2.0,Neon,Ne,10.0,20.1797,-415.46,-410.94,0.0008999,Gas,Non-metal,Noble Gas,Advertising Signs
11,3.0,Sodium,Na,11.0,22.9897693,208.04,1621.0,0.97,Solid,Metal,Alkali Metals,"Salt, Soap, Glass, Street Lamps"
12,3.0,Magnesium,Mg,12.0,24.305,1202.0,1994.0,1.74,Solid,Metal,Alkali Earth Metals,"Chlorophyll, Aluminum Alloys, Cars, Planes, Bikes"
13,3.0,Aluminum,Al,13.0,26.9815385,1220.581,4566.0,2.7,Solid,Metal,Poor Metals,"Airplanes, Cars, Bikes, Granite, Clay, Ceramics, Kitchenware"
14,3.0,Silicon,Si,14.0,28.0855,2577.0,5909.0,2.3296,Solid,Semi-metal,Metalloids,"Stone, Sand, Soil, Ceramics, Glass, Computer Chips"
15,3.0,Phosphorus,P,15.0,30.973762,111.47,536.9,1.82,Solid,Non-metal,Non-metal,"Bones, DNA, Fertilizer, Acids, Detergent, Matches"
16,3.0,Sulfur,Si,16.0,32.066,239.38,832.28,2.067,Solid,Non-metal,Non-metal,"Eggs, Onions, Garlic, Volcans, Acids"
