id,Rollercoaster Name,Amusement Park,City,Country,Region,Construction Material,Height,Speed,Length,Inversion,Number of Inversions,Year Opened
1,Montana Rusa Infantil,Parque de la Ciudad,"Buenos Aires, BA",Argentina,Latin America,Steel,3.0,30.0,190.0,No,0.0,1983.0
2,Percy's Railway,Six Flags Magic Mountain,Valencia,USA,North America,Steel,3.048,16.2,106.68,No,0.0,1971.0
3,Marienkafer Hochbahn,Churpfalzpark,"Loifling, Bavaria",Germany,Europe,Steel,3.3,26.0,60.2,No,0.0,1983.0
4,Froschbahn,Bayern Park,"Reisbach, Bavaria",Germany,Europe,Steel,3.3,26.0,60.2,No,0.0,1995.0
5,Ronde des Rondins,Parc Asterix,"Plailly, Picardie",France,Europe,Steel,3.3,26.0,60.2,No,0.0,1991.0
6,Catarrinos,Parque Plaza Sesamo,Monterrey,Mexico,Latin America,Steel,3.3,26.0,60.2,No,0.0,2006.0
7,Wilde Mini Maus,Lollihop,"Munich, Bavaria",Germany,Europe,Steel,3.5,25.0,60.0,No,0.0,2007.0
8,Montana Ratan,Graje Villa,Lima,Peru,Latin America,Steel,3.6,22.7,60.0,No,0.0,2002.0
9,Shamu Express,SeaWorld San Antonio,San Antonio,USA,North America,Steel,3.9624,22.68,69.7992,No,0.0,2004.0
10,Grazy Worm,Schwaben Park,"Kaisersbach, Baden Wuerttemberg",Germany,Europe,Steel,4.0,24.0,70.0,No,0.0,2003.0
11,Familien-Achterbahn,Eifelpark,"Gondorf, Rhineland-Palatinate",Germany,Europe,Steel,4.5,30.0,128.0,No,0.0,1995.0
12,Indy-Blitz,Heide-Park Soltau,"Soltau, Lower Saxony",Germany,Europe,Steel,4.5,30.0,128.0,No,0.0,2008.0
13,Familien-Achterbahn,Tolk Schau,"Tolk, Schleswig-Holstein",Germany,Europe,Steel,4.5,30.0,128.0,No,0.0,2000.0
14,Familienachterbahn,Erse-Park,"Uetze, Lower Saxony",Germany,Europe,Steel,4.5,30.0,128.0,No,0.0,1992.0
15,Eichh rnchenbahn,Freizeitpark Lochmuhle,"Wehrheim, Hesse",Germany,Europe,Steel,4.5,30.0,128.0,No,0.0,1992.0
16,Die! Wilde Maus,Serengeti Park,"Hodenhagen, Lower Saxony",Germany,Europe,Steel,4.9,22.5,164.9,No,0.0,2007.0
17,Alpen Blitz,Parque de la Ciudad,"Buenos Aires, BA",Argentina,Latin America,Steel,5.0,72.0,210.0,No,0.0,1984.0
18,Coastersaurus,Legoland California,Carlsbad,USA,North America,Steel,5.4864,32.4,149.962,No,0.0,2004.0
19,Drachenjagd,Legoland Deutschland,"Gunzburg, Bavaria",Germany,Europe,Steel,5.5,33.0,150.0,No,0.0,2003.0
20,Jr. Gemini,Cedar Point,Sandusky,USA,North America,Steel,5.7912,9.72,135.026,No,0.0,1979.0
21,Kombo,Indianapolis Zoo,Indianapolis,USA,North America,Steel,5.7912,30.78,76.8096,No,0.0,2001.0
22,Familienachterbahn,Schloss Beck Freizeitpark,"Bottrop, North Rhine-Westphalia",Germany,Europe,Steel,6.0,32.0,199.0,No,0.0,1987.0
23,Holzwurmachterbahn,Jaderpark,"Jaderberg, Lower Saxony",Germany,Europe,Steel,6.0,32.0,199.0,No,0.0,1996.0
24,Speedy Gonzales,Parc du Bocasse,"Bocasse, Normandy",France,Europe,Steel,6.0,34.0,135.0,No,0.0,2006.0
25,Alpenexpress,Europa Park,"Rust, Baden Wuerttemberg",Germany,Europe,Steel,6.0,45.0,264.0,No,0.0,1984.0
26,Grottenblitz,Heide-Park Soltau,"Soltau, Lower Saxony",Germany,Europe,Steel,6.0,45.0,370.0,No,0.0,1985.0
27,Cobra,Six Flags Discovery Kingdom,Vallejo,USA,North America,Steel,7.9248,35.64,359.969,No,0.0,2000.0
28,Twisted Coaster,HotZone,Rio de Janeiro,Brazil,Latin America,Steel,8.0,28.0,175.0,Yes,0.0,2012.0
29,Vigia,Parque de la Costa,"Buenos Aires, BA",Argentina,Latin America,Steel,8.0,36.0,360.0,No,0.0,1998.0
30,Rasender Tausendfüßer,Erlebnispark Tripsdrill,"Cleebronn, Baden Wuerttemberg",Germany,Europe,Steel,8.0,36.0,360.0,No,0.0,1986.0
31,Froschflitzer,Serengeti Park,"Hodenhagen, Lower Saxony",Germany,Europe,Steel,8.0,36.0,360.0,No,0.0,1999.0
32,Marienkaferbahn,Zoo Safari- und Hollywoodpark Stukenbrock,"Stukenbrock, North Rhine-Westphalia",Germany,Europe,Steel,8.0,36.0,360.0,No,0.0,1979.0
33,Familienachterbahn,Magic Park Verden,"Verden, Lower Saxony",Germany,Europe,Steel,8.0,36.0,360.0,No,0.0,2003.0
34,Marienkaferbahn,Fort Fun Abenteuerland,"Wasserfall, North Rhine-Westphalia",Germany,Europe,Steel,8.0,36.0,360.0,No,0.0,1986.0
35,Serpent Hopi,OK Corral,"Cuges-les-Pins, Provence-Alpes-Cote d'Azur",France,Europe,Steel,8.0,36.0,360.0,No,0.0,2002.0
36,Coccinelle des Andes,Walibi Rhone-Alpes,"Les Avenieres, Rhône-Alpes",France,Europe,Steel,8.0,36.0,360.0,No,0.0,1992.0
37,Coccinelle,Walibi Aquitaine,"Roquefort, Aquitaine",France,Europe,Steel,8.0,36.0,360.0,No,0.0,1992.0
38,Roller Coaster,Papea Parc,"Yvré -l'Évêque, Pays de la Loire",France,Europe,Steel,8.0,36.0,360.0,No,0.0,2009.0
39,Choconoy,Xetulul,"Retalhuleu, Guatemala",Guatemala,Latin America,Steel,8.0,36.0,360.0,No,0.0,2002.0
40,Catarina,Selva Magica,Guadalajara,Mexico,Latin America,Steel,8.0,36.0,360.0,No,0.0,2001.0
