id,Volcano Name,Country,Type,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
1,West Eifel Volcanic Field,Germany,Maar(s),8300 BCE,Western Europe,50.17,6.85,600.0,Foidite,Rift zone / Continental crust (>25 km)
2,Chaine des Puys,France,Lava dome(s),4040 BCE,Western Europe,45.78,2.97,1464.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
3,Calatrava Volcanic Field,Spain,Pyroclastic cone(s),3600 BCE,Western Europe,38.87,-4.02,1117.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
4,Vulsini,Italy,Caldera,104 BCE,Italy,42.6,11.93,800.0,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km)
5,Campi Flegrei,Italy,Caldera,1538 CE,Italy,40.83,14.14,458.0,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km)
6,Vesuvius,Italy,Stratovolcano,1944 CE,Italy,40.82,14.43,1281.0,Phono-tephrite /  Tephri-phonolite,Subduction zone / Continental crust (>25 km)
7,Ischia,Italy,Complex,1302 CE,Italy,40.73,13.9,789.0,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km)
8,Palinuro,Italy,Submarine,8040 BCE,Italy,39.48,14.83,-70.0,Phonolite,Subduction zone / Continental crust (>25 km)
9,Stromboli,Italy,Stratovolcano,2020 CE,Italy,38.79,15.21,924.0,Trachyandesite / Basaltic Trachyandesite,Subduction zone / Continental crust (>25 km)
10,Lipari,Italy,Stratovolcano(es),1230 CE,Italy,38.49,14.93,590.0,Rhyolite,Subduction zone / Continental crust (>25 km)
11,Vulcano,Italy,Stratovolcano(es),1890 CE,Italy,38.4,14.96,500.0,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
12,Etna,Italy,Stratovolcano(es),2020 CE,Italy,37.75,15.0,3295.0,Trachybasalt / Tephrite Basanite,Subduction zone / Continental crust (>25 km)
13,Campi Flegrei del Mar di Sicilia,Italy,Submarine,1867 CE,Italy,37.1,12.7,-8.0,Trachybasalt / Tephrite Basanite,Rift zone / Continental crust (>25 km)
14,Pantelleria,Italy,Shield,1891 CE,Italy,36.77,12.02,836.0,Rhyolite,Rift zone / Continental crust (>25 km)
15,Methana,Greece,Lava dome(s),258 BCE,Greece,37.62,23.34,760.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
16,Milos,Greece,Stratovolcano(es),140 CE,Greece,36.7,24.44,751.0,Rhyolite,Subduction zone / Continental crust (>25 km)
17,Santorini,Greece,Shield(s),1950 CE,Greece,36.4,25.4,367.0,Dacite,Subduction zone / Continental crust (>25 km)
18,Nisyros,Greece,Stratovolcano,1888 CE,Greece,36.59,27.16,698.0,Dacite,Subduction zone / Continental crust (>25 km)
19,Acigol-Nevsehir,Turkey,Caldera,2080 BCE,Turkey,38.54,34.62,1683.0,Rhyolite,Intraplate / Continental crust (>25 km)
20,Erciyes Dagi,Turkey,Stratovolcano,6880 BCE,Turkey,38.53,35.45,3864.0,Dacite,Intraplate / Continental crust (>25 km)
21,Nemrut Dagi,Turkey,Stratovolcano,1650 CE,Turkey,38.65,42.23,2948.0,Rhyolite,Intraplate / Continental crust (>25 km)
22,Tenduruk Dagi,Turkey,Shield,1855 CE,Turkey,39.36,43.87,3514.0,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
23,Ararat,Turkey,Stratovolcano,1840 CE,Turkey,39.7,44.3,5165.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
24,Elbrus,Russia,Stratovolcano,50 CE,Western Asia,43.35,42.44,5642.0,Dacite,Intraplate / Continental crust (>25 km)
25,Kazbek,Georgia,Stratovolcano,750 BCE,Western Asia,42.7,44.5,5050.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
26,Ghegham Volcanic Ridge,Armenia,Volcanic field,1900 BCE,Western Asia,40.28,45.0,3597.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
27,Vaiyots-Sar,Armenia,Pyroclastic cone(s),2000 BCE,Western Asia,39.8,45.5,2575.0,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
