id,Year,Rank,Home Games,Team Name,Baseball Field,Team ID
1,1901.0,5.0,66.0,Baltimore Orioles,Oriole Park,BLA
2,1901.0,2.0,69.0,Boston Americans,Huntington Avenue Grounds,BOS
3,1901.0,3.0,68.0,Brooklyn Superbas,Washington Park III,BRO
4,1901.0,5.0,70.0,Boston Beaneaters,South End Grounds III,BSN
5,1901.0,1.0,71.0,Chicago White Sox,South Side Park II,CHW
6,1901.0,6.0,70.0,Chicago Orphans,West Side Park II,CHC
7,1901.0,8.0,72.0,Cincinnati Reds,League Park II in Cincinnati,CIN
8,1901.0,7.0,69.0,Cleveland Blues,League Park I,CLE
9,1901.0,3.0,70.0,Detroit Tigers,Bennett Park,DET
10,1901.0,8.0,70.0,Milwaukee Brewers,Lloyd Street Grounds,MLA
11,1901.0,7.0,71.0,New York Giants,Polo Grounds III,NYG
12,1901.0,4.0,66.0,Philadelphia Athletics,Columbia Park,PHA
13,1901.0,2.0,69.0,Philadelphia Phillies,Baker Bowl,PHI
14,1901.0,1.0,69.0,Pittsburgh Pirates,Exposition Park,PIT
15,1901.0,4.0,72.0,St. Louis Cardinals,Robison Field,STL
16,1901.0,6.0,68.0,Washington Senators,American League Park I,WSH
17,1902.0,8.0,64.0,Baltimore Orioles,Oriole Park,BLA
18,1902.0,3.0,71.0,Boston Americans,Huntington Avenue Grounds,BOS
19,1902.0,2.0,69.0,Brooklyn Superbas,Washington Park III,BRO
20,1902.0,3.0,72.0,Boston Beaneaters,South End Grounds III,BSN
21,1902.0,4.0,72.0,Chicago White Sox,South Side Park II,CHW
22,1902.0,5.0,70.0,Chicago Orphans,West Side Park II,CHC
23,1902.0,4.0,70.0,Cincinnati Reds,Palace of the Fans,CIN
24,1902.0,5.0,65.0,Cleveland Bronchos,League Park I,CLE
25,1902.0,7.0,67.0,Detroit Tigers,Bennett Park,DET
26,1902.0,8.0,71.0,New York Giants,Polo Grounds III,NYG
27,1902.0,1.0,73.0,Philadelphia Athletics,Columbia Park,PHA
28,1902.0,7.0,69.0,Philadelphia Phillies,Baker Bowl,PHI
29,1902.0,1.0,71.0,Pittsburgh Pirates,Exposition Park,PIT
30,1902.0,2.0,73.0,St. Louis Browns,Sportsman's Park III,SLB
