id,Edition,Year,Hosts,Champions,Final score,Venue of championship game,Runners-up,Third place,Fourth place,Number of participating teams
1,1.0,1930.0,Uruguay,Uruguay,4–2 ,"Estadio Centenario, Montevideo",Argentina,United States,Yugoslavia,13.0
2,2.0,1934.0,Italy,Italy,2–1 (a.e.t.) ,"Stadio Nazionale PNF, Rome",Czechoslovakia,Germany,Austria,16.0
3,3.0,1938.0,France,Italy,4–2 ,"Stade de Colombes, Paris",Hungary,Brazil,Sweden,15.0
4,4.0,1950.0,Brazil,Uruguay,2–1 ,"Maracana, Rio de Janeiro",Brazil,Sweden,Spain,13.0
5,5.0,1954.0,Switzerland,West Germany,3–2,"Wankdorfstadion, Bern",Hungary,Austria,Uruguay,16.0
6,6.0,1958.0,Sweden,Brazil,5–2,"Rasundastadion, Solna",Sweden,France,West Germany,16.0
7,7.0,1962.0,Chile,Brazil,3–1,"Estadio Nacional, Santiago",Czechoslovakia,Chile,Yugoslavia,16.0
8,8.0,1966.0,England,England,4–2 (a.e.t.),"Wembley Stadium, London",West Germany,Portugal,Soviet Union,16.0
9,9.0,1970.0,Mexico,Brazil,4–1,"Estadio Azteca, Mexico City",Italy,West Germany,Uruguay,16.0
10,10.0,1974.0,West Germany,West Germany,2–1,"Olympiastadion, Munich",Netherlands,Poland,Brazil,16.0
11,11.0,1978.0,Argentina,Argentina,3–1 (a.e.t.),"Monumental de Nunez, Buenos Aires",Netherlands,Brazil,Italy,16.0
12,12.0,1982.0,Spain,Italy,3–1,"Santiago Bernabeu, Madrid",West Germany,Poland,France,24.0
13,13.0,1986.0,Mexico,Argentina,3–2,"Estadio Azteca, Mexico City",West Germany,France,Belgium,24.0
14,14.0,1990.0,Italy,West Germany,1–0,"Stadio Olimpico, Rome",Argentina,Italy,England,24.0
15,15.0,1994.0,United States,Brazil,0–0 (a.e.t.)(3–2 pen.) ,"Rose Bowl, Pasadena",Italy,Sweden,Bulgaria,24.0
16,16.0,1998.0,France,France,3–0,"Stade de France, Saint-Denis",Brazil,Croatia,Netherlands,32.0
17,17.0,2002.0,"South Korea, Japan",Brazil,2–0,"International Stadium, Yokohama",Germany,Turkey,South Korea,32.0
18,18.0,2006.0,Germany,Italy,1–1 (a.e.t.)(5–3 pen.),"Olympiastadion, Berlin",France,Germany,Portugal,32.0
19,19.0,2010.0,South Africa,Spain,1–0 (a.e.t.),"Soccer City, Johannesburg",Netherlands,Germany,Uruguay,32.0
20,20.0,2014.0,Brazil,Germany,1–0 (a.e.t.),"Maracana, Rio de Janeiro",Argentina,Netherlands,Brazil,32.0
21,21.0,2018.0,Russia,France,4–2,"Luzhniki Stadium, Moscow",Croatia,Belgium,England,32.0
22,22.0,2022.0,Qatar,TBD,TBD,"Iconic Stadium, Lusail",TBD,TBD,TBD,32.0
23,23.0,2026.0,"Canada, Mexico, United States",TBD,TBD,"Metlife Stadium, East Rutherford",TBD,TBD,TBD,48.0
