id,Conference,Division,Team,Location,Arena,Arena capacity,Year joined to the NBA,Championship wins,Image
1,Eastern,Atlantic,Boston Celtics,"Boston, Massachusetts",TD Garden,18624.0,1946.0,17.0,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/200px-Boston_Celtics.svg.png
2,Eastern,Atlantic,Brooklyn Nets,"New York City, New York",Barclays Center,17732.0,1976.0,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/150px-Brooklyn_Nets_newlogo.svg.png
3,Eastern,Atlantic,New York Knicks,"New York City, New York",Madison Square Garden,19812.0,1946.0,2.0,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/200px-New_York_Knicks_logo.svg.png
4,Eastern,Atlantic,Philadelphia 76ers,"Philadelphia, Pennsylvania",Wells Fargo Center,21600.0,1949.0,3.0,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/200px-Philadelphia_76ers_logo.svg.png
5,Eastern,Atlantic,Toronto Raptors,"Toronto, Ontario",Scotiabank Arena,19800.0,1995.0,1.0,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/200px-Toronto_Raptors_logo.svg.png
6,Eastern,Central,Chicago Bulls,"Chicago, Illinois",United Center,20917.0,1966.0,6.0,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/200px-Chicago_Bulls_logo.svg.png
7,Eastern,Central,Cleveland Cavaliers,"Cleveland, Ohio",Rocket Mortgage FieldHouse,20562.0,1970.0,1.0,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Cleveland_Cavaliers_logo.svg/100px-Cleveland_Cavaliers_logo.svg.png
8,Eastern,Central,Detroit Pistons,"Detroit, Michigan",Little Caesars Arena,20491.0,1948.0,3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Pistons_logo17.svg/200px-Pistons_logo17.svg.png
9,Eastern,Central,Indiana Pacers,"Indianapolis, Indiana",Bankers Life Fieldhouse,17923.0,1976.0,0.0,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Indiana_Pacers.svg/200px-Indiana_Pacers.svg.png
10,Eastern,Central,Milwaukee Bucks,"Milwaukee, Wisconsin",Fiserv Forum,18717.0,1968.0,1.0,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Milwaukee_Bucks_logo.svg/180px-Milwaukee_Bucks_logo.svg.png
11,Eastern,Southeast,Atlanta Hawks,"Atlanta, Georgia",State Farm Arena,15711.0,1949.0,1.0,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/200px-Atlanta_Hawks_logo.svg.png
12,Eastern,Southeast,Charlotte Hornets,"Charlotte, North Carolina",Spectrum Center,19077.0,1988.0,0.0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/200px-Charlotte_Hornets_%282014%29.svg.png
13,Eastern,Southeast,Miami Heat,"Miami, Florida",American Airlines Arena,19600.0,1988.0,3.0,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/200px-Miami_Heat_logo.svg.png
14,Eastern,Southeast,Orlando Magic,"Orlando, Florida",Amway Center,18846.0,1989.0,0.0,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Orlando_Magic_logo.svg/200px-Orlando_Magic_logo.svg.png
15,Eastern,Southeast,Washington Wizards,"Washington, D.C.",Capital One Arena,20356.0,1961.0,1.0,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/200px-Washington_Wizards_logo.svg.png
16,Western,Northwest,Denver Nuggets,"Denver, Colorado",Pepsi Center,19520.0,1976.0,0.0,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/200px-Denver_Nuggets.svg.png
17,Western,Northwest,Minnesota Timberwolves,"Minneapolis, Minnesota",Target Center,19356.0,1989.0,0.0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Minnesota_Timberwolves_logo.svg/200px-Minnesota_Timberwolves_logo.svg.png
18,Western,Northwest,Oklahoma City Thunder,"Oklahoma City, Oklahoma",Chesapeake Energy Arena,18203.0,1967.0,1.0,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/200px-Oklahoma_City_Thunder.svg.png
19,Western,Northwest,Portland Trail Blazers,"Portland, Oregon",Moda Center,19441.0,1970.0,1.0,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/220px-Portland_Trail_Blazers_logo.svg.png
20,Western,Northwest,Utah Jazz,"Salt Lake City, Utah",Vivint Smart Home Arena,19911.0,1974.0,0.0,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Utah_Jazz_logo_%282016%29.svg/200px-Utah_Jazz_logo_%282016%29.svg.png
21,Western,Pacific,Golden State Warriors,"San Francisco, California",Chase Center,18064.0,1946.0,6.0,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/200px-Golden_State_Warriors_logo.svg.png
22,Western,Pacific,Los Angeles Clippers,"Los Angeles, California",Staples Center,19060.0,1970.0,0.0,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Los_Angeles_Clippers_%282015%29.svg/200px-Los_Angeles_Clippers_%282015%29.svg.png
23,Western,Pacific,Los Angeles Lakers,"Los Angeles, California",Staples Center,18997.0,1948.0,16.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/200px-Los_Angeles_Lakers_logo.svg.png
24,Western,Pacific,Phoenix Suns,"Phoenix, Arizona",Talking Stick Resort Arena,18055.0,1968.0,0.0,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Phoenix_Suns_logo.svg/200px-Phoenix_Suns_logo.svg.png
25,Western,Pacific,Sacramento Kings,"Sacramento, California",Golden 1 Center,17500.0,1948.0,1.0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/SacramentoKings.svg/200px-SacramentoKings.svg.png
26,Western,Southwest,Dallas Mavericks,"Dallas, Texas",American Airlines Center,19200.0,1980.0,1.0,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/200px-Dallas_Mavericks_logo.svg.png
27,Western,Southwest,Houston Rockets,"Houston, Texas",Toyota Center,18055.0,1967.0,2.0,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/150px-Houston_Rockets.svg.png
28,Western,Southwest,Memphis Grizzlies,"Memphis, Tennessee",FedExForum,18119.0,1995.0,0.0,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/200px-Memphis_Grizzlies.svg.png
