id,University,Team nickname,City,State,Enrollment,Current conference
1,Air Force,Falcons,Colorado Springs,Colorado,"4,237",Mountain West
2,Akron,Zips,Akron,Ohio,"19,200",MAC
3,Alabama,Crimson Tide,Tuscaloosa,Alabama,"38,500",SEC
4,Appalachian State,Mountaineers,Boone,North Carolina,"19,100",Sun Belt
5,Arizona,Wildcats,Tucson,Arizona,"45,200",Pac-12
6,Arizona State,Sun Devils,Tempe,Arizona,"51,800",Pac-12
7,Arkansas,Razorbacks,Fayetteville,Arkansas,"27,800",SEC
8,Arkansas State,Red Wolves,Jonesboro,Arkansas,"22,000",Sun Belt
9,Army,Black Knights,West Point,New York,"4,300",Independent
10,Auburn,Tigers,Auburn,Alabama,"30,400",SEC
11,Ball State,Cardinals,Muncie,Indiana,"22,500",MAC
12,Baylor,Bears,Waco,Texas,"17,200",Big 12
13,Boise State,Broncos,Boise,Idaho,"25,500",Mountain West
14,Boston College,Eagles,Chestnut Hill,Massachusetts,"14,700",ACC
15,Bowling Green,Falcons,Bowling Green,Ohio,"23,000",MAC
16,Buffalo,Bulls,Buffalo,New York,"31,500",MAC
17,BYU,Cougars,Provo,Utah,"33,600",Independent
18,California,Golden Bears,Berkeley,California,"42,500",Pac-12
19,Central Michigan,Chippewas,Mount Pleasant,Michigan,"21,700",MAC
20,Charlotte,49ers,Charlotte,North Carolina,"29,700",C-USA
21,Cincinnati,Bearcats,Cincinnati,Ohio,"46,000",American
22,Clemson,Tigers,Clemson,South Carolina,"25,000",ACC
23,Coastal Carolina,Chanticleers,Conway,South Carolina,"10,600",Sun Belt
24,Colorado,Buffaloes,Boulder,Colorado,"33,200",Pac-12
25,Colorado State,Rams,Fort Collins,Colorado,"33,800",Mountain West
26,Duke,Blue Devils,Durham,North Carolina,"15,900",ACC
27,East Carolina,Pirates,Greenville,North Carolina,"29,100",American
28,Eastern Michigan,Eagles,Ypsilanti,Michigan,"20,300",MAC
29,FIU,Panthers,Miami,Florida,"56,800",C-USA
30,Florida,Gators,Gainesville,Florida,"56,100",SEC
31,Florida Atlantic,Owls,Boca Raton,Florida,"30,800",C-USA
32,Florida State,Seminoles,Tallahassee,Florida,"41,900",ACC
33,Fresno State,Bulldogs,Fresno,California,"25,000",Mountain West
34,Georgia,Bulldogs,Athens,Georgia,"38,200",SEC
35,Georgia Southern,Eagles,Statesboro,Georgia,"26,400",Sun Belt
36,Georgia State,Panthers,Atlanta,Georgia,"52,800",Sun Belt
37,Georgia Tech,Yellow Jackets,Atlanta,Georgia,"32,700",ACC
38,Hawaii,Rainbow Warriors,Honolulu,Hawai'i,"17,700",Mountain West
39,Houston,Cougars,Houston,Texas,"42,700",American
40,Illinois,Fighting Illini,Urbana–Champaign,Illinois,"51,200",Big Ten
41,Indiana,Hoosiers,Bloomington,Indiana,"43,700",Big Ten
42,Iowa,Hawkeyes,Iowa City,Iowa,"33,000",Big Ten
43,Iowa State,Cyclones,Ames,Iowa,"33,400",Big 12
44,Kansas,Jayhawks,Lawrence,Kansas,"27,700",Big 12
45,Kansas State,Wildcats,Manhattan,Kansas,"21,700",Big 12
46,Kent State,Golden Flashes,Kent,Ohio,"39,300",MAC
47,Kentucky,Wildcats,Lexington,Kentucky,"29,200",SEC
48,Liberty,Flames,Lynchburg,Virginia,"15,000",FBS Independent
49,Louisiana,Ragin' Cajuns,Lafayette,Louisiana,"19,200",Sun Belt
50,Louisiana–Monroe,Warhawks,Monroe,Louisiana,"8,800",Sun Belt
51,Louisiana Tech,Bulldogs,Ruston,Louisiana,"12,400",C-USA
52,Louisville,Cardinals,Louisville,Kentucky,"22,600",ACC
53,LSU,Tigers,Baton Rouge,Louisiana,"30,800",SEC
54,Marshall,Thundering Herd,Huntington,West Virginia,"13,200",C-USA
55,Maryland,Terrapins,College Park,Maryland,"41,200",Big Ten
56,Memphis,Tigers,Memphis,Tennessee,"21,500",American
57,Miami (FL),Hurricanes,Coral Gables,Florida,"17,300",ACC
58,Miami (OH),RedHawks,Oxford,Ohio,"24,300",MAC
59,Michigan,Wolverines,Ann Arbor,Michigan,"46,000",Big Ten
60,Michigan State,Spartans,East Lansing,Michigan,"50,300",Big Ten
61,Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,"21,900",C-USA
62,Minnesota,Golden Gophers,Minneapolis,Minnesota,"47,800",Big Ten
63,Mississippi State,Bulldogs,Starkville,Mississippi,"22,200",SEC
64,Missouri,Tigers,Columbia,Missouri,"30,000",SEC
65,Navy,Midshipmen,Annapolis,Maryland,"4,600",American
66,NC State,Wolfpack,Raleigh,North Carolina,"35,500",ACC
67,Nebraska,Cornhuskers,Lincoln,Nebraska,"25,800",Big Ten
68,Nevada,Wolf Pack,Reno,Nevada,"21,600",Mountain West
69,New Mexico,Lobos,Albuquerque,New Mexico,"26,300",Mountain West
70,New Mexico State,Aggies,Las Cruces,New Mexico,"21,900",Independent
71,North Carolina,Tar Heels,Chapel Hill,North Carolina,"29,800",ACC
72,North Texas,Mean Green,Denton,Texas,"39,400",C-USA
73,Northern Illinois,Huskies,DeKalb,Illinois,"20,000",MAC
74,Northwestern,Wildcats,Evanston,Illinois,"21,200",Big Ten
75,Notre Dame,Fighting Irish,South Bend,Indiana,"12,300",Independent
76,Ohio,Bobcats,Athens,Ohio,"34,900",MAC
77,Ohio State,Buckeyes,Columbus,Ohio,"68,100",Big Ten
78,Oklahoma,Sooners,Norman,Oklahoma,"28,500",Big 12
79,Oklahoma State,Cowboys,Stillwater,Oklahoma,"25,300",Big 12
80,Old Dominion,Monarchs,Norfolk,Virginia,"25,000",C-USA
81,Ole Miss,Rebels,Oxford,Mississippi,"23,200",SEC
82,Oregon,Ducks,Eugene,Oregon,"22,700",Pac-12
83,Oregon State,Beavers,Corvallis,Oregon,"30,900",Pac-12
84,Penn State,Nittany Lions,University Park,Pennsylvania,"46,600",Big Ten
85,Pittsburgh,Panthers,Pittsburgh,Pennsylvania,"28,600",ACC
86,Purdue,Boilermakers,West Lafayette,Indiana,"43,400",Big Ten
87,Rice,Owls,Houston,Texas,"7,100",C-USA
88,Rutgers,Scarlet Knights,Piscataway,New Jersey,"70,900",Big Ten
89,San Diego State,Aztecs,San Diego,California,"34,900",Mountain West
90,San Jose State,Spartans,San Jose,California,"32,800",Mountain West
91,SMU,Mustangs,University Park,Texas,"11,800",American
92,South Alabama,Jaguars,Mobile,Alabama,"15,100",Sun Belt
93,South Carolina,Gamecocks,Columbia,South Carolina,"50,100",SEC
94,South Florida,Bulls,Tampa,Florida,"50,700",American
95,Southern Miss,Golden Eagles,Hattiesburg,Mississippi,"14,500",C-USA
96,Stanford,Cardinal,Stanford,California,"16,500",Pac-12
97,Syracuse,Orange,Syracuse,New York,"22,900",ACC
98,TCU,Horned Frogs,Fort Worth,Texas,"10,400",Big 12
99,Temple,Owls,Philadelphia,Pennsylvania,"40,000",American
100,Tennessee,Volunteers,Knoxville,Tennessee,"28,900",SEC
101,Texas,Longhorns,Austin,Texas,"51,800",Big 12
102,Texas A&M,Aggies,College Station,Texas,"69,400",SEC
