id,Conference,Division,Team,City,Arena,Capacity,Joined,General manager,Head coach,Captain,Logo
1,Eastern,Atlantic,Boston Bruins,"Boston, Massachusetts",TD Garden,"17,850",1924.0,Don Sweeney,Bruce Cassidy,Zdeno Chara,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Boston_Bruins.svg/220px-Boston_Bruins.svg.png
2,Eastern,Atlantic,Buffalo Sabres,"Buffalo, New York",KeyBank Center,"19,070",1970.0,Kevyn Adams,Ralph Krueger,Jack Eichel,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Buffalo_Sabres_Logo.svg/220px-Buffalo_Sabres_Logo.svg.png
3,Eastern,Atlantic,Detroit Red Wings,"Detroit, Michigan",Little Caesars Arena,"19,515",1926.0,Steve Yzerman,Jeff Blashill,Vacant,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Detroit_Red_Wings_logo.svg/220px-Detroit_Red_Wings_logo.svg.png
4,Eastern,Atlantic,Florida Panthers,"Sunrise, Florida",BB&T Center,"19,250",1993.0,Dale Tallon,Joel Quenneville,Aleksander Barkov,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Florida_Panthers_2016_logo.svg/220px-Florida_Panthers_2016_logo.svg.png
5,Eastern,Atlantic,Montreal Canadiens,"Montreal, Quebec",Bell Centre,"21,302",1917.0,Marc Bergevin,Claude Julien,Shea Weber,https://sportslogohistory.com/wp-content/uploads/2017/12/montreal_canadiens_1948-1956.png
6,Eastern,Atlantic,Ottawa Senators,"Ottawa, Ontario",Canadian Tire Centre,"18,652",1992.0,Pierre Dorion,D. J. Smith,Vacant,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Ottawa_Senators.svg/1200px-Ottawa_Senators.svg.png
7,Eastern,Atlantic,Tampa Bay Lightning,"Tampa, Florida",Amalie Arena,"19,092",1992.0,Julien BriseBois,Jon Cooper,Steven Stamkos,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Tampa_Bay_Lightning_Logo_2011.svg/220px-Tampa_Bay_Lightning_Logo_2011.svg.png
8,Eastern,Atlantic,Toronto Maple Leafs,"Toronto, Ontario",Scotiabank Arena,"18,819",1917.0,Kyle Dubas,Sheldon Keefe,John Tavares,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Toronto_Maple_Leafs_2016_logo.svg/220px-Toronto_Maple_Leafs_2016_logo.svg.png
9,Eastern,Metropolitan,Carolina Hurricanes,"Raleigh, North Carolina",PNC Arena,"18,680",1979.0,Don Waddell,Rod Brind'Amour,Jordan Staal,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Carolina_Hurricanes.svg/220px-Carolina_Hurricanes.svg.png
10,Eastern,Metropolitan,Columbus Blue Jackets,"Columbus, Ohio",Nationwide Arena,"18,144",2000.0,Jarmo Kekalainen,John Tortorella,Nick Foligno,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Columbus_Blue_Jackets_logo.svg/220px-Columbus_Blue_Jackets_logo.svg.png
