id,City,Year,Sport,Discipline,Symbol,Event,Athlete First Name,Athlete Last Name,Gender,Country Code,Country,Medal
1,Athens,2004.0,Aquatics,Diving,https://stillimg.olympic.org/sports/240x240/dv.png?interpolation=lanczos-none&resize=480:480,3m springboard, Alexandre,Despatie,Men,CAN,Canada,Silver
2,Athens,2004.0,Aquatics,Diving,https://stillimg.olympic.org/sports/240x240/dv.png?interpolation=lanczos-none&resize=480:480,3m springboard, Dmitry,Sautin,Men,RUS,Russia,Bronze
3,Athens,2004.0,Aquatics,Diving,https://stillimg.olympic.org/sports/240x240/dv.png?interpolation=lanczos-none&resize=480:480,3m springboard, Ioulia,Pakhalina,Women,RUS,Russia,Bronze
4,Athens,2004.0,Aquatics,Diving,https://stillimg.olympic.org/sports/240x240/dv.png?interpolation=lanczos-none&resize=480:480,synchronized diving 3m springboard, Robert,Newbery,Men,AUS,Australia,Bronze
5,Athens,2004.0,Aquatics,Diving,https://stillimg.olympic.org/sports/240x240/dv.png?interpolation=lanczos-none&resize=480:480,synchronized diving 3m springboard, Thomas,Bimis,Men,GRE,Greece,Gold
6,Athens,2004.0,Aquatics,Diving,https://stillimg.olympic.org/sports/240x240/dv.png?interpolation=lanczos-none&resize=480:480,synchronized diving 3m springboard, Vera,Ilyina,Women,RUS,Russia,Silver
7,Athens,2004.0,Aquatics,Diving,https://stillimg.olympic.org/sports/240x240/dv.png?interpolation=lanczos-none&resize=480:480,synchronized diving 10m platform, Ting,Li,Women,CHN,China,Gold
8,Athens,2004.0,Aquatics,Diving,https://stillimg.olympic.org/sports/240x240/dv.png?interpolation=lanczos-none&resize=480:480,synchronized diving 3m springboard, Irina,Lashko,Women,AUS,Australia,Bronze
9,Athens,2004.0,Aquatics,Diving,https://stillimg.olympic.org/sports/240x240/dv.png?interpolation=lanczos-none&resize=480:480,10m platform, Lishi,Lao,Women,CHN,China,Silver
10,Athens,2004.0,Aquatics,Diving,https://stillimg.olympic.org/sports/240x240/dv.png?interpolation=lanczos-none&resize=480:480,synchronized diving 3m springboard, Jingjing,Guo,Women,CHN,China,Gold
