id,Position,Track Name,Artist,Streams,URL
1,1,positions,Ariana Grande,1094197,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,2,Therefore I Am,Billie Eilish,1064802,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
3,3,Dakiti,Bad Bunny,945430,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
4,4,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,936711,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,5,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,930790,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
6,6,Mood (feat. iann dior),24kGoldn,925140,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
7,7,34+35,Ariana Grande,796459,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
8,8,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,755793,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
9,9,WAP (feat. Megan Thee Stallion),Cardi B,728143,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
10,10,Somebody’s Problem,Morgan Wallen,702796,https://open.spotify.com/track/0SErdEdRcVX1uJCf1eTGYH
11,11,pov,Ariana Grande,689538,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
12,12,What You Know Bout Love,Pop Smoke,682927,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
13,13,Life Goes On,BTS,660967,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
14,14,All I Want for Christmas Is You,Mariah Carey,649527,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
15,15,Laugh Now Cry Later (feat. Lil Durk),Drake,636013,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
16,16,Body,Megan Thee Stallion,623486,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
17,17,Prisoner (feat. Dua Lipa),Miley Cyrus,606193,https://open.spotify.com/track/5JqZ3oqF00jkT81foAFvqg
18,18,HOLIDAY,Lil Nas X,602297,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
19,19,Dynamite,BTS,601077,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
20,20,Lonely (with benny blanco),Justin Bieber,580140,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
21,21,Rockin' Around The Christmas Tree,Brenda Lee,561187,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
22,22,Come & Go (with Marshmello),Juice WRLD,548603,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
23,23,Tyler Herro,Jack Harlow,546736,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
24,24,Holy (feat. Chance The Rapper),Justin Bieber,535637,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
25,25,Jingle Bell Rock,Bobby Helms,524453,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
26,26,Wishing Well,Juice WRLD,520563,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
27,27,Blinding Lights,The Weeknd,519673,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
28,28,ROCKSTAR (feat. Roddy Ricch),DaBaby,507012,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
29,29,Whoopty,CJ,505306,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
30,30,It's the Most Wonderful Time of the Year,Andy Williams,500522,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
31,31,Heather,Conan Gray,494530,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
32,32,Last Christmas,Wham!,493451,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
33,33,Santa Tell Me,Ariana Grande,489555,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
34,34,Forever After All,Luke Combs,483379,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
35,35,Put Your Records On,Ritt Momney,481276,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
