id,Position,Track Name,Artist,Streams,URL
1,1,Dakiti,Bad Bunny,6458108,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,2,positions,Ariana Grande,4530747,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,3,Dynamite,BTS,4288745,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
4,4,Therefore I Am,Billie Eilish,4288067,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
5,5,Life Goes On,BTS,4268347,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
6,6,Mood (feat. iann dior),24kGoldn,4063504,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
7,7,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,4043310,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
8,8,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,3399850,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
9,9,Lonely (with benny blanco),Justin Bieber,3034362,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
10,10,BICHOTA,KAROL G,2962078,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
11,11,Prisoner (feat. Dua Lipa),Miley Cyrus,2854832,https://open.spotify.com/track/5JqZ3oqF00jkT81foAFvqg
12,12,What You Know Bout Love,Pop Smoke,2778316,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
13,13,Blinding Lights,The Weeknd,2624714,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,14,WAP (feat. Megan Thee Stallion),Cardi B,2425065,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
15,15,34+35,Ariana Grande,2391714,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
16,16,Hawái,Maluma,2362528,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
17,17,Holy (feat. Chance The Rapper),Justin Bieber,2290612,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
18,18,you broke me first,Tate McRae,2274548,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
19,19,Watermelon Sugar,Harry Styles,2244426,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,20,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,2174543,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
21,21,All I Want for Christmas Is You,Mariah Carey,2173948,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
22,22,Fly To My Room,BTS,2092566,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
23,23,Head & Heart (feat. MNEK),Joel Corry,2071286,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
24,24,Blue & Grey,BTS,2062863,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl
25,25,pov,Ariana Grande,1974948,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
26,26,Levitating (feat. DaBaby),Dua Lipa,1957687,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
27,27,Relación - Remix,Sech,1915016,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
28,28,Telepathy,BTS,1904277,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne
29,29,La Nota,Manuel Turizo,1888256,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
30,30,Heather,Conan Gray,1817913,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
31,31,Dis-ease,BTS,1800672,https://open.spotify.com/track/54DmTIv86D3sYdiawjULQ0
32,32,Someone You Loved,Lewis Capaldi,1789455,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
33,33,ROCKSTAR (feat. Roddy Ricch),DaBaby,1762048,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
34,34,Stay,BTS,1754739,https://open.spotify.com/track/3ndCsZfq8OVwwkz9mmZvUz
35,35,Hawái - Remix,Maluma,1753922,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
36,36,Put Your Records On,Ritt Momney,1753835,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
37,37,Wonder,Shawn Mendes,1745900,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
38,38,Last Christmas,Wham!,1741636,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
39,39,La Tóxica,Farruko,1730936,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
40,40,Se Te Nota (with Guaynaa),Lele Pons,1728095,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
41,41,Chica Ideal,Sebastian Yatra,1718262,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
42,42,Vida de Rico,Camilo,1690253,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
43,43,Whoopty,CJ,1672391,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
44,44,Laugh Now Cry Later (feat. Lil Durk),Drake,1616215,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
45,45,Jeans,Justin Quiles,1578887,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
46,46,HOLIDAY,Lil Nas X,1571143,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
47,47,La Curiosidad,Jay Wheeler,1554207,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
48,48,Mi Niña,Wisin,1545607,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
49,49,Parce (feat. Justin Quiles),Maluma,1521388,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
50,50,Before You Go,Lewis Capaldi,1496461,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
51,51,Una Locura,Ozuna,1492335,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
