id,Trip Length in Seconds,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
1,478.0,12:03:38 AM,12:11:36 AM,80.0,MIT Stata Center at Vassar St / Main St,42.36,-71.09,179.0,MIT Vassar St,42.36,-71.1,5341.0,Subscriber,1995.0,Male
2,497.0,12:05:03 AM,12:13:21 AM,225.0,Cambridge Dept. of Public Works -147 Hampshire St.,42.37,-71.1,378.0,191 Beacon St,42.38,-71.11,6052.0,Customer,1994.0,Male
3,1287.0,12:05:14 AM,12:26:42 AM,9.0,Commonwealth Ave at Agganis Way,42.35,-71.12,12.0,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.34,-71.09,5385.0,Subscriber,2000.0,Male
4,475.0,12:06:08 AM,12:14:03 AM,67.0,MIT at Mass Ave / Amherst St,42.36,-71.09,185.0,Third at Binney,42.37,-71.08,5074.0,Subscriber,1997.0,Male
5,615.0,12:07:43 AM,12:17:59 AM,11.0,Longwood Ave at Binney St,42.34,-71.11,131.0,Jackson Square T Stop,42.32,-71.1,5752.0,Subscriber,1995.0,Male
6,378.0,12:08:06 AM,12:14:24 AM,335.0,Harvard St at Greene-Rose Heritage Park,42.37,-71.1,141.0,Kendall Street,42.36,-71.08,5245.0,Subscriber,1999.0,Female
7,921.0,12:09:25 AM,12:24:46 AM,69.0,Coolidge Corner - Beacon St at Centre St,42.34,-71.12,446.0,700 Commonwealth Ave.,42.35,-71.1,5217.0,Subscriber,1998.0,Male
8,1153.0,12:10:08 AM,12:29:21 AM,77.0,Somerville City Hall,42.39,-71.1,8.0,Union Square - Brighton Ave at Cambridge St,42.35,-71.14,5515.0,Subscriber,1982.0,Male
9,103.0,12:10:12 AM,12:11:56 AM,59.0,Chinatown Gate Plaza,42.35,-71.06,22.0,South Station - 700 Atlantic Ave,42.35,-71.06,4256.0,Subscriber,1992.0,Male
10,375.0,12:10:44 AM,12:16:59 AM,76.0,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.37,-71.11,335.0,Harvard St at Greene-Rose Heritage Park,42.37,-71.1,3889.0,Subscriber,1993.0,Male
11,946.0,12:10:57 AM,12:26:44 AM,43.0,Rowes Wharf at Atlantic Ave,42.36,-71.05,356.0,Charlestown Navy Yard,42.37,-71.05,2811.0,Customer,1969.0,Not Specified
12,353.0,12:11:12 AM,12:17:06 AM,76.0,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.37,-71.11,335.0,Harvard St at Greene-Rose Heritage Park,42.37,-71.1,3278.0,Customer,1969.0,Not Specified
13,2062.0,12:11:58 AM,12:46:21 AM,23.0,Boston City Hall - 28 State St,42.36,-71.06,108.0,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.38,-71.12,3570.0,Subscriber,1989.0,Male
14,642.0,12:12:12 AM,12:22:55 AM,318.0,Ames St at Broadway,42.36,-71.09,377.0,Perry Park,42.38,-71.1,5696.0,Subscriber,1992.0,Female
15,1382.0,12:12:29 AM,12:35:32 AM,69.0,Coolidge Corner - Beacon St at Centre St,42.34,-71.12,197.0,MLK Blvd at Washington St,42.32,-71.09,2256.0,Subscriber,1990.0,Female
16,160.0,12:13:06 AM,12:15:47 AM,133.0,Green Street T Stop - Green St at Amory St,42.31,-71.11,279.0,Williams St at Washington St,42.31,-71.11,3561.0,Customer,1991.0,Female
17,111.0,12:13:12 AM,12:15:03 AM,99.0,Wilson Square,42.39,-71.11,407.0,Craigie at Summer St,42.38,-71.11,2511.0,Subscriber,1993.0,Female
18,464.0,12:13:14 AM,12:20:58 AM,370.0,Dartmouth St at Newbury St,42.35,-71.08,25.0,South End Library - Tremont St at W Newton St,42.34,-71.08,5860.0,Subscriber,1994.0,Female
19,651.0,12:14:23 AM,12:25:15 AM,22.0,South Station - 700 Atlantic Ave,42.35,-71.06,60.0,Charles Circle - Charles St at Cambridge St,42.36,-71.07,5746.0,Subscriber,1992.0,Male
20,695.0,12:14:48 AM,12:26:24 AM,318.0,Ames St at Broadway,42.36,-71.09,78.0,Union Square - Somerville,42.38,-71.09,4215.0,Subscriber,1972.0,Female
21,543.0,12:18:06 AM,12:27:09 AM,54.0,Tremont St at West St,42.35,-71.06,372.0,Boylston St at Exeter St,42.35,-71.08,2485.0,Subscriber,1986.0,Male
22,3053.0,12:18:08 AM,1:09:02 AM,394.0,Broadway at Maple St,42.41,-71.05,394.0,Broadway at Maple St,42.41,-71.05,4260.0,Customer,1969.0,Not Specified
23,1836.0,12:25:29 AM,12:56:06 AM,71.0,Conway Park - Somerville Avenue,42.38,-71.11,376.0,Honan Library,42.36,-71.13,5208.0,Subscriber,1998.0,Male
24,818.0,12:26:32 AM,12:40:11 AM,377.0,Perry Park,42.38,-71.1,105.0,Lower Cambridgeport at Magazine St / Riverside Rd,42.36,-71.11,5606.0,Subscriber,1994.0,Male
25,123.0,12:28:40 AM,12:30:44 AM,98.0,Warren St at Chelsea St,42.37,-71.06,94.0,Main St at Austin St,42.38,-71.06,6127.0,Subscriber,1991.0,Male
26,667.0,12:28:51 AM,12:39:59 AM,91.0,One Kendall Square at Hampshire St / Portland St,42.37,-71.09,378.0,191 Beacon St,42.38,-71.11,4772.0,Subscriber,1996.0,Male
27,657.0,12:29:23 AM,12:40:21 AM,192.0,Purchase St at Pearl St,42.35,-71.05,39.0,Washington St at Rutland St,42.34,-71.07,4168.0,Subscriber,1988.0,Male
28,285.0,12:29:44 AM,12:34:30 AM,380.0,Mass Ave at Albany St,42.36,-71.1,95.0,Cambridge St - at Columbia St / Webster Ave,42.37,-71.09,6135.0,Subscriber,1993.0,Male
29,700.0,12:31:30 AM,12:43:11 AM,380.0,Mass Ave at Albany St,42.36,-71.1,58.0,Mugar Way at Beacon St,42.36,-71.07,2694.0,Subscriber,1991.0,Male
30,354.0,12:31:32 AM,12:37:26 AM,67.0,MIT at Mass Ave / Amherst St,42.36,-71.09,179.0,MIT Vassar St,42.36,-71.1,3993.0,Subscriber,1996.0,Male
31,1023.0,12:31:48 AM,12:48:52 AM,380.0,Mass Ave at Albany St,42.36,-71.1,330.0,30 Dane St,42.38,-71.1,2099.0,Subscriber,1993.0,Male
32,973.0,12:32:51 AM,12:49:04 AM,380.0,Mass Ave at Albany St,42.36,-71.1,330.0,30 Dane St,42.38,-71.1,3452.0,Customer,1969.0,Not Specified
33,2422.0,12:34:10 AM,1:14:32 AM,42.0,Boylston St at Arlington St,42.35,-71.07,181.0,Huron Ave At Vassal Lane,42.38,-71.13,2267.0,Subscriber,1996.0,Male
34,695.0,12:35:24 AM,12:46:59 AM,47.0,Cross St at Hanover St,42.36,-71.06,150.0,State Street at Channel Center,42.34,-71.05,4962.0,Subscriber,1984.0,Male
35,478.0,12:37:54 AM,12:45:53 AM,121.0,W Broadway at Dorchester St,42.34,-71.05,26.0,Washington St at Waltham St,42.34,-71.07,3489.0,Customer,1969.0,Not Specified
36,542.0,12:43:05 AM,12:52:07 AM,374.0,Tremont St at Hamilton Pl,42.36,-71.06,372.0,Boylston St at Exeter St,42.35,-71.08,2489.0,Customer,1969.0,Not Specified
37,358.0,12:43:05 AM,12:49:04 AM,68.0,Central Square at Mass Ave / Essex St,42.37,-71.1,74.0,Harvard Square at Mass Ave/ Dunster,42.37,-71.12,5836.0,Subscriber,1991.0,Male
38,864.0,12:43:15 AM,12:57:40 AM,68.0,Central Square at Mass Ave / Essex St,42.37,-71.1,73.0,Harvard Square at Brattle St / Eliot St,42.37,-71.12,3946.0,Subscriber,1990.0,Female
39,312.0,12:43:18 AM,12:48:30 AM,149.0,175 N Harvard St,42.36,-71.13,97.0,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.37,-71.12,4857.0,Subscriber,1999.0,Male
40,717.0,12:45:01 AM,12:56:59 AM,96.0,Cambridge Main Library at Broadway / Trowbridge St,42.37,-71.11,178.0,MIT Pacific St at Purrington St,42.36,-71.1,3940.0,Subscriber,1996.0,Male
41,726.0,12:47:40 AM,12:59:47 AM,49.0,Stuart St at Charles St,42.35,-71.07,228.0,One Memorial Drive,42.36,-71.08,4200.0,Subscriber,1996.0,Male
42,305.0,12:48:55 AM,12:54:01 AM,163.0,The Lawn on D,42.34,-71.04,24.0,Seaport Square - Seaport Blvd at Northern Ave,42.35,-71.04,3100.0,Customer,1969.0,Not Specified
43,196.0,12:52:36 AM,12:55:52 AM,78.0,Union Square - Somerville,42.38,-71.09,381.0,Inman Square at Springfield St.,42.37,-71.1,5417.0,Subscriber,1995.0,Male
44,130.0,12:54:16 AM,12:56:27 AM,75.0,Lafayette Square at Mass Ave / Main St / Columbia St,42.36,-71.1,178.0,MIT Pacific St at Purrington St,42.36,-71.1,4964.0,Subscriber,1988.0,Male
45,656.0,12:56:40 AM,1:07:37 AM,104.0,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.38,-71.13,97.0,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.37,-71.12,4346.0,Subscriber,1998.0,Male
46,193.0,12:59:04 AM,1:02:17 AM,68.0,Central Square at Mass Ave / Essex St,42.37,-71.1,178.0,MIT Pacific St at Purrington St,42.36,-71.1,2979.0,Subscriber,1992.0,Male
47,197.0,12:59:46 AM,1:03:04 AM,91.0,One Kendall Square at Hampshire St / Portland St,42.37,-71.09,437.0,Berkshire Street at Cambridge Street,42.37,-71.09,5811.0,Subscriber,1996.0,Male
48,587.0,1:00:52 AM,1:10:39 AM,413.0,Kennedy-Longfellow School 158 Spring St,42.37,-71.09,116.0,359 Broadway - Broadway at Fayette Street,42.37,-71.1,6091.0,Subscriber,1992.0,Not Specified
49,1543.0,1:02:39 AM,1:28:23 AM,121.0,W Broadway at Dorchester St,42.34,-71.05,31.0,Seaport Hotel - Congress St at Seaport Ln,42.35,-71.04,3035.0,Customer,1969.0,Not Specified
50,1544.0,1:02:41 AM,1:28:26 AM,121.0,W Broadway at Dorchester St,42.34,-71.05,31.0,Seaport Hotel - Congress St at Seaport Ln,42.35,-71.04,5470.0,Customer,1969.0,Not Specified
51,1273.0,1:02:57 AM,1:24:11 AM,46.0,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34,-71.09,386.0,Sennott Park  Broadway at Norfolk Street,42.37,-71.1,2966.0,Subscriber,1991.0,Male
52,717.0,1:02:59 AM,1:14:56 AM,33.0,Kenmore Square,42.35,-71.1,76.0,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.37,-71.11,4904.0,Subscriber,1991.0,Male
53,1859.0,1:03:08 AM,1:34:08 AM,157.0,Seaport Blvd at Sleeper St,42.35,-71.05,415.0,Stuart St at Berkeley St,42.35,-71.07,3969.0,Customer,1969.0,Not Specified
54,343.0,1:03:44 AM,1:09:28 AM,225.0,Cambridge Dept. of Public Works -147 Hampshire St.,42.37,-71.1,330.0,30 Dane St,42.38,-71.1,5132.0,Subscriber,1993.0,Male
55,1446.0,1:03:59 AM,1:28:06 AM,121.0,W Broadway at Dorchester St,42.34,-71.05,31.0,Seaport Hotel - Congress St at Seaport Ln,42.35,-71.04,3840.0,Customer,1969.0,Not Specified
56,1438.0,1:04:05 AM,1:28:03 AM,121.0,W Broadway at Dorchester St,42.34,-71.05,31.0,Seaport Hotel - Congress St at Seaport Ln,42.35,-71.04,4849.0,Customer,1969.0,Not Specified
57,1087.0,1:04:10 AM,1:22:17 AM,46.0,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34,-71.09,413.0,Kennedy-Longfellow School 158 Spring St,42.37,-71.09,5199.0,Subscriber,1992.0,Male
58,1512.0,1:04:52 AM,1:30:05 AM,178.0,MIT Pacific St at Purrington St,42.36,-71.1,100.0,Davis Square,42.4,-71.12,5683.0,Customer,1994.0,Male
59,183.0,1:05:13 AM,1:08:16 AM,68.0,Central Square at Mass Ave / Essex St,42.37,-71.1,335.0,Harvard St at Greene-Rose Heritage Park,42.37,-71.1,5744.0,Subscriber,1991.0,Male
60,711.0,1:06:55 AM,1:18:47 AM,178.0,MIT Pacific St at Purrington St,42.36,-71.1,139.0,Dana Park,42.36,-71.11,5109.0,Subscriber,1996.0,Male
61,259.0,1:07:11 AM,1:11:30 AM,95.0,Cambridge St - at Columbia St / Webster Ave,42.37,-71.09,91.0,One Kendall Square at Hampshire St / Portland St,42.37,-71.09,5295.0,Customer,1969.0,Not Specified
62,806.0,1:08:44 AM,1:22:10 AM,386.0,Sennott Park  Broadway at Norfolk Street,42.37,-71.1,328.0,Grove St at Community Path,42.4,-71.12,5565.0,Subscriber,1993.0,Male
63,1095.0,1:08:48 AM,1:27:04 AM,138.0,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.33,-71.07,370.0,Dartmouth St at Newbury St,42.35,-71.08,2858.0,Subscriber,1959.0,Female
64,1278.0,1:10:07 AM,1:31:26 AM,57.0,Massachusetts Ave at Columbus Ave,42.34,-71.08,273.0,Forest Hills,42.3,-71.11,5823.0,Subscriber,1988.0,Female
65,1446.0,1:10:37 AM,1:34:43 AM,332.0,Harvard Ave at Brainerd Rd,42.35,-71.13,413.0,Kennedy-Longfellow School 158 Spring St,42.37,-71.09,3698.0,Subscriber,1996.0,Not Specified
66,1875.0,1:17:35 AM,1:48:50 AM,437.0,Berkshire Street at Cambridge Street,42.37,-71.09,21.0,Prudential Center - 101 Huntington Ave,42.35,-71.08,2729.0,Customer,1969.0,Not Specified
67,1233.0,1:17:35 AM,1:38:09 AM,437.0,Berkshire Street at Cambridge Street,42.37,-71.09,46.0,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34,-71.09,5079.0,Customer,1969.0,Not Specified
68,227.0,1:17:43 AM,1:21:31 AM,157.0,Seaport Blvd at Sleeper St,42.35,-71.05,22.0,South Station - 700 Atlantic Ave,42.35,-71.06,2171.0,Subscriber,1984.0,Male
69,637.0,1:19:02 AM,1:29:39 AM,108.0,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.38,-71.12,101.0,Ball Sq,42.4,-71.11,4984.0,Subscriber,1991.0,Male
70,1779.0,1:19:02 AM,1:48:42 AM,437.0,Berkshire Street at Cambridge Street,42.37,-71.09,21.0,Prudential Center - 101 Huntington Ave,42.35,-71.08,2461.0,Customer,1969.0,Not Specified
71,1765.0,1:19:14 AM,1:48:39 AM,437.0,Berkshire Street at Cambridge Street,42.37,-71.09,21.0,Prudential Center - 101 Huntington Ave,42.35,-71.08,2284.0,Customer,1969.0,Not Specified
72,929.0,1:21:20 AM,1:36:49 AM,67.0,MIT at Mass Ave / Amherst St,42.36,-71.09,46.0,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34,-71.09,4360.0,Subscriber,1961.0,Male
73,529.0,1:23:20 AM,1:32:10 AM,16.0,Back Bay T Stop - Dartmouth St at Stuart St,42.35,-71.08,60.0,Charles Circle - Charles St at Cambridge St,42.36,-71.07,5666.0,Subscriber,1983.0,Male
