id,Airline type,Airline name,IATA code,ICAO code,Callsign,Main hubs,Founded,Notes
1,Cargo,Bemidji Airlines,CH,BMJ,BEMIDJI,Bemidji,1946.0,Commenced operations in 1947.
2,Cargo,Air Cargo Carriers,2Q,SNC,NIGHT CARGO,Milwaukee,1986.0,Commenced operations in 1980.
3,Cargo,Skyway Enterprises,KI,SKZ,SKYWAY-INC,None,1981.0,Commenced operations in 1983.
4,Cargo,National Airlines,N8,NCR,NATIONAL CARGO,Orlando,1985.0,Commenced operations in 1986.
5,Cargo,Atlas Air,5Y,GTI,GIANT,New York JFK,1992.0,Commenced operations in 1993. Operates some Amazon Air flights.
6,Cargo,IFL Group,IF,IFL,EIFFEL,Waterford,1983.0,Founded as Air Contract Cargo.
7,Cargo,ABX Air,GB,ABX,ABEX,Wilmington,1980.0,Founded as Airborne Express. Operates some Amazon Air flights.
8,Cargo,Kalitta Air,K4,CKS,CONNIE,Anchorage,1967.0,Founded as American International Airways.
9,Cargo,Ameriflight,A8,AMF,AMFLIGHT,Dallas/Fort Worth,1968.0,Founded as California Air Charter.
10,Cargo,FedEx Express,FX,FDX,FEDEX,Memphis,1971.0,Founded as Federal Express and commenced operations in 1973.
11,Cargo,AirNet Express,None,USC,STAR CHECK,Columbus,1974.0,Founded as Financial Air Express.
12,Cargo,Aloha Air Cargo,KH,AAH,ALOHA,Honolulu,1946.0,Founded as Trans-Pacific Airlines and separated from now-defunct Aloha Airlines in 2008.
13,Cargo,Ryan Air Services,7S,RYA,RYAN AIR,Anchorage,1953.0,Founded as Unalakleet Air Taxi.
14,Cargo,Air Transport International,8C,ATN,AIR TRANSPORT,Wilmington,1978.0,Founded as US Airways and commenced operations in 1980. Operates some Amazon Air flights.
15,Cargo,Sky Lease Cargo,GG,KYE,SKY CUBE,Miami,1969.0,Founded as Wrangler Aviation and commenced operations in 1973.
16,Cargo,Southern Air,9S,SOO,SOUTHERN AIR,Cincinatti,1999.0,Operates some Amazon Air flights.
17,Cargo,Alaska Central Express,KO,AER,ACE AIR,Anchorage,1996.0,None
18,Cargo,Alpine Air Express,5A,AIP,ALPINE AIR,Provo,1971.0,None
19,Cargo,Ameristar Jet Charter,7Z,AJI,AMERISTAR,Dallas,2000.0,None
20,Cargo,Amerijet International,M6,AJT,AMERIJET,Miami,1974.0,None
21,Cargo,Empire Airlines,EM,CFS,EMPIRE,Spokane,1977.0,None
22,Cargo,Corporate Air,None,CPT,AIRSPUR,Billings,1981.0,None
23,Cargo,21 Air,2I,CSB,CARGO SOUTH,Miami,2014.0,None
24,Cargo,Castle Aviation,None,CSJ,CASTLE,Akron,1986.0,None
25,Cargo,Freight Runners Express,None,FRG,FREIGHT RUNNERS,Milwaukee,1985.0,None
26,Cargo,CSA Air,None,IRO,IRON AIR,Iron Mountain,1998.0,None
27,Cargo,USA Jet Airlines,UJ,JUS,JET USA,Laredo,1994.0,None
28,Cargo,Lynden Air Cargo,L2,LYC,LYNDEN,Anchorage,1995.0,None
29,Cargo,Mid-Atlantic Freight,None,MDC,NIGHT SHIP,Greensboro,1990.0,None
30,Cargo,Merlin Airways,None,MEI,AVALON,Billings,1983.0,None
31,Cargo,Asia Pacific Airlines,P9,MGE,MAGELLAN,Guam,1998.0,None
32,Cargo,Martinaire,None,MRA,MARTEX,Addison,1978.0,None
33,Cargo,Mountain Air Cargo,C2,MTN,MOUNTAIN,Kinston,1974.0,None
34,Cargo,Transair,KH,MUI,MAUI,Honolulu,1982.0,None
35,Cargo,Northern Air Cargo,NC,NAC,YUKON,Anchorage,1956.0,None
36,Cargo,Polar Air Cargo,PO,PAC,POLAR,Anchorage,1993.0,None
37,Cargo,West Air,None,PCM,PAC VALLEY,Las Vegas,1988.0,None
38,Cargo,Royal Air Freight,None,RAX,AIR ROYAL,Waterford,1961.0,None
39,Cargo,UPS Airlines,5X,UPS,UPS,Louisville,1988.0,None
