Week,Chocolate
11/29/15,55
12/6/15,64
12/13/15,77
12/20/15,97
12/27/15,53
1/3/16,47
1/10/16,48
1/17/16,53
1/24/16,53
1/31/16,53
2/7/16,70
2/14/16,57
2/21/16,44
2/28/16,43
3/6/16,42
3/13/16,44
3/20/16,49
3/27/16,43
4/3/16,41
4/10/16,41
4/17/16,41
4/24/16,42
5/1/16,45
5/8/16,42
5/15/16,43
5/22/16,41
5/29/16,39
6/5/16,38
6/12/16,39
6/19/16,39
6/26/16,40
7/3/16,41
7/10/16,38
7/17/16,39
7/24/16,39
7/31/16,39
8/7/16,36
8/14/16,37
8/21/16,38
8/28/16,43
9/4/16,40
9/11/16,41
9/18/16,40
9/25/16,41
10/2/16,40
10/9/16,44
10/16/16,44
10/23/16,45
10/30/16,42
11/6/16,42
11/13/16,51
11/20/16,68
11/27/16,55
12/4/16,65
12/11/16,76
12/18/16,100
12/25/16,58
1/1/17,49
1/8/17,48
1/15/17,49
1/22/17,49
1/29/17,51
2/5/17,60
2/12/17,68
2/19/17,45
2/26/17,44
3/5/17,44
3/12/17,45
3/19/17,42
3/26/17,45
4/2/17,44
4/9/17,49
4/16/17,44
4/23/17,42
4/30/17,42
5/7/17,44
5/14/17,41
5/21/17,40
5/28/17,41
6/4/17,40
6/11/17,42
6/18/17,40
6/25/17,41
7/2/17,44
7/9/17,41
7/16/17,41
7/23/17,43
7/30/17,41
8/6/17,41
8/13/17,40
8/20/17,38
8/27/17,38
9/3/17,40
9/10/17,40
9/17/17,41
9/24/17,40
10/1/17,41
10/8/17,43
10/15/17,44
10/22/17,46
10/29/17,47
11/5/17,49
11/12/17,53
11/19/17,68
11/26/17,54
12/3/17,65
12/10/17,76
12/17/17,97
12/24/17,70
12/31/17,55
1/7/18,48
1/14/18,52
1/21/18,50
1/28/18,54
2/4/18,58
2/11/18,70
2/18/18,45
2/25/18,44
3/4/18,45
3/11/18,46
3/18/18,46
3/25/18,51
4/1/18,45
4/8/18,40
4/15/18,42
4/22/18,42
4/29/18,41
5/6/18,46
5/13/18,41
5/20/18,40
5/27/18,40
6/3/18,39
6/10/18,40
6/17/18,38
6/24/18,40
7/1/18,41
7/8/18,39
7/15/18,41
7/22/18,41
7/29/18,41
8/5/18,40
8/12/18,39
8/19/18,39
8/26/18,39
9/2/18,41
9/9/18,39
9/16/18,40
9/23/18,42
9/30/18,41
10/7/18,43
10/14/18,46
10/21/18,46
10/28/18,47
11/4/18,47
11/11/18,57
11/18/18,68
11/25/18,54
12/2/18,65
12/9/18,77
12/16/18,89
12/23/18,79
12/30/18,53
1/6/19,48
1/13/19,50
1/20/19,52
1/27/19,56
2/3/19,56
2/10/19,78
2/17/19,51
2/24/19,45
3/3/19,46
3/10/19,45
3/17/19,43
3/24/19,43
3/31/19,43
4/7/19,43
4/14/19,48
4/21/19,42
4/28/19,41
5/5/19,43
5/12/19,41
5/19/19,39
5/26/19,40
6/2/19,38
6/9/19,40
6/16/19,41
6/23/19,39
6/30/19,39
7/7/19,39
7/14/19,40
7/21/19,41
7/28/19,41
8/4/19,41
8/11/19,40
8/18/19,39
8/25/19,39
9/1/19,38
9/8/19,38
9/15/19,40
9/22/19,40
9/29/19,42
10/6/19,42
10/13/19,44
10/20/19,45
10/27/19,47
11/3/19,48
11/10/19,53
11/17/19,55
11/24/19,69
12/1/19,59
12/8/19,69
12/15/19,85
12/22/19,83
12/29/19,52
1/5/20,48
1/12/20,49
1/19/20,49
1/26/20,50
2/2/20,53
2/9/20,77
2/16/20,51
2/23/20,44
3/1/20,43
3/8/20,39
3/15/20,42
3/22/20,52
3/29/20,59
4/5/20,69
4/12/20,60
4/19/20,59
4/26/20,58
5/3/20,64
5/10/20,58
5/17/20,54
5/24/20,49
5/31/20,45
6/7/20,46
6/14/20,49
6/21/20,45
6/28/20,45
7/5/20,44
7/12/20,43
7/19/20,45
7/26/20,43
8/2/20,45
8/9/20,43
8/16/20,42
8/23/20,42
8/30/20,42
9/6/20,44
9/13/20,41
9/20/20,43
9/27/20,43
10/4/20,47
10/11/20,49
10/18/20,52
10/25/20,57
11/1/20,41
11/8/20,55
11/15/20,62
11/22/20,81
